LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
CO,COLORADO,0800020,State Charter School Institute,1882,NEW AMERICA SCHOOL - LOWRY,080002001882,No,1703021.2,14.3,632792.77,1753803.8,0.0,-9.0,5.0,336111.8,13.0,734116.63,784260.87,0.0,0.0,5.89,336111.8,13.65,734116.63,1854489.8,1758983.8
CO,COLORADO,0800020,State Charter School Institute,1912,COLORADO SPRINGS CHARTER ACADEMY,080002001912,No,1500302.0,34.0,874730.0,217854.0,25.0,173978.0,9.0,185015.0,11.0,266579.0,874730.0,25.23,194809.0,9.19,185015.0,11.68,266579.0,1521133.0,217854.0
CO,COLORADO,0800020,State Charter School Institute,1913,ROSS MONTESSORI SCHOOL,080002001913,No,986293.98,13.81,615273.0,76097.82,6.08,230269.73,1.96,21336.42,1.44,119414.83,615273.0,6.8,230269.73,1.64,88050.0,0.76,119414.83,1053007.56,407736.39
CO,COLORADO,0800020,State Charter School Institute,1915,THE PINNACLE CHARTER SCHOOL HIGH,080002001915,No,2014960.85,32.3,1571074.36,139919.75,0.0,-9.0,6.66,255077.61,2.66,278808.88,1662122.36,0.0,0.0,6.66,255077.61,2.66,278808.88,2196008.85,190241.88
CO,COLORADO,0800020,State Charter School Institute,1926,THE PINNACLE CHARTER SCHOOL ELEMENTARY,080002001926,No,3117939.92,47.61,2332787.71,767827.39,4.0,112651.5,9.66,409590.93,2.66,262909.78,2530534.71,4.0,112651.5,9.66,409590.93,2.66,262909.78,3315686.92,858886.5
CO,COLORADO,0800020,State Charter School Institute,1998,T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,080002001998,No,669452.0,13.7,543967.0,602136.82,0.0,-9.0,0.1,980.0,2.42,124505.0,543967.0,0.38,7039.2,0.91,56880.0,2.43,124505.0,732391.2,604331.82
CO,COLORADO,0800020,State Charter School Institute,2010,THE PINNACLE CHARTER SCHOOL MIDDLE,080002002010,No,1696157.42,26.0,1346558.27,359951.04,0.0,-9.0,3.66,79544.64,2.66,270054.51,1503046.69,0.0,0.0,3.66,79544.64,2.66,270054.51,1852645.84,409122.96
CO,COLORADO,0800020,State Charter School Institute,2018,STONE CREEK SCHOOL,080002002018,No,1385070.0,20.75,967329.0,156484.0,0.69,27809.0,1.38,88566.0,4.85,301366.0,1057470.0,0.68,27809.0,1.38,88566.0,4.85,301366.0,1475211.0,79916.5
CO,COLORADO,0800020,State Charter School Institute,2033,HIGH POINT ACADEMY,080002002033,No,2844282.0,33.0,1575270.0,1038136.0,8.55,202644.0,2.7,154057.0,10.0,554917.0,1900668.0,8.55,202644.68,2.7,186053.6,10.0,554917.0,2844283.28,1224840.0
CO,COLORADO,0800020,State Charter School Institute,6305,CAPROCK ACADEMY,080002006305,No,3145927.0,54.96,1812056.0,4740699.0,31.0,363704.0,3.0,22472.0,28.0,947696.0,1858369.0,31.0,363704.0,3.0,62760.0,28.0,961164.0,3245997.0,4849964.0
