LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,EDUCATIONAL_ENVIRONMENT,BL_RACE_7,MU_RACE_7,PI_RACE_7,HI_RACE_7,WH_RACE_7,AS_RACE_7,AM_RACE_7,TOTAL_STUDENTS_REPORTED
CO,COLORADO,800020,State Charter School Institute,2010,THE PINNACLE CHARTER SCHOOL MIDDLE,80002002010,No,RC80,3,0,0,46,7,1,0,57
CO,COLORADO,800020,State Charter School Institute,2018,STONE CREEK SCHOOL,80002002018,No,RC80,0,1,0,12,39,2,0,54
CO,COLORADO,800020,State Charter School Institute,2033,HIGH POINT ACADEMY,80002002033,No,RC79TO40,0,0,0,0,1,0,0,1
CO,COLORADO,800020,State Charter School Institute,2033,HIGH POINT ACADEMY,80002002033,No,RC80,14,0,1,12,12,0,0,39
CO,COLORADO,800020,State Charter School Institute,6305,CAPROCK ACADEMY,80002006305,No,RC80,0,3,1,7,47,0,1,59
CO,COLORADO,800020,State Charter School Institute,6310,COLORADO SPRINGS EARLY COLLEGES,80002006310,No,RC80,1,1,0,3,4,0,0,9
CO,COLORADO,800020,State Charter School Institute,6320,RICARDO FLORES MAGON ACADEMY,80002006320,No,RC79TO40,0,0,0,1,0,0,0,1
CO,COLORADO,800020,State Charter School Institute,6320,RICARDO FLORES MAGON ACADEMY,80002006320,No,RC80,0,0,0,22,3,0,0,25
CO,COLORADO,800020,State Charter School Institute,6338,PIKES PEAK PREP,80002006338,No,RC80,5,0,0,9,13,0,0,27
CO,COLORADO,800020,State Charter School Institute,6390,EARLY COLLEGE OF ARVADA,80002006390,No,RC80,0,1,0,16,9,3,0,29
CO,COLORADO,800020,State Charter School Institute,6418,ANIMAS HIGH SCHOOL,80002006418,No,RC79TO40,0,0,0,1,1,0,0,2
CO,COLORADO,800020,State Charter School Institute,6418,ANIMAS HIGH SCHOOL,80002006418,No,RC80,0,0,0,1,17,0,1,19
CO,COLORADO,800020,State Charter School Institute,6437,THOMAS MACLAREN STATE CHARTER SCHOOL,80002006437,No,RC80,1,0,0,2,4,0,0,7
CO,COLORADO,800020,State Charter School Institute,6480,NEW AMERICA SCHOOL - THORNTON,80002006480,No,RC79TO40,0,0,0,6,1,0,0,7
CO,COLORADO,800020,State Charter School Institute,6480,NEW AMERICA SCHOOL - THORNTON,80002006480,No,RC80,2,1,0,15,4,0,0,22
CO,COLORADO,800020,State Charter School Institute,6502,MOUNTAIN MIDDLE SCHOOL,80002006502,No,RC80,0,0,0,1,8,0,0,9
CO,COLORADO,800020,State Charter School Institute,6503,GLOBAL VILLAGE ACADEMY - NORTHGLENN,80002006503,No,RC79TO40,0,0,0,0,1,0,0,1
CO,COLORADO,800020,State Charter School Institute,6503,GLOBAL VILLAGE ACADEMY - NORTHGLENN,80002006503,No,RC80,0,0,0,37,19,1,1,58
CO,COLORADO,800020,State Charter School Institute,6542,COLORADO EARLY COLLEGE FORT COLLINS,80002006542,No,RC79TO40,0,0,0,0,1,0,0,1
CO,COLORADO,800020,State Charter School Institute,6542,COLORADO EARLY COLLEGE FORT COLLINS,80002006542,No,RC80,0,1,1,3,22,1,0,28
CO,COLORADO,800020,State Charter School Institute,6579,VICTORY PREPARATORY ACADEMY MIDDLE STATE CHARTER S,80002006579,No,RC80,0,0,0,6,1,0,0,7
CO,COLORADO,800020,State Charter School Institute,6585,VICTORY PREPARATORY ACADEMY HIGH STATE CHARTER SCH,80002006585,No,RC80,0,0,0,4,0,0,0,4
CO,COLORADO,800020,State Charter School Institute,6586,GLOBAL VILLAGE ACADEMY - COLORADO SPRINGS,80002006586,No,RC79TO40,0,0,1,1,0,0,0,2
CO,COLORADO,800020,State Charter School Institute,6586,GLOBAL VILLAGE ACADEMY - COLORADO SPRINGS,80002006586,No,RC80,0,1,0,5,7,4,0,17
CO,COLORADO,800020,State Charter School Institute,6589,MOUNTAIN SONG COMMUNITY SCHOOL,80002006589,No,RC79TO40,0,0,0,1,2,1,0,4
CO,COLORADO,800020,State Charter School Institute,6589,MOUNTAIN SONG COMMUNITY SCHOOL,80002006589,No,RC80,0,5,0,4,23,0,0,32
CO,COLORADO,800020,State Charter School Institute,6595,JAMES IRWIN CHARTER ACADEMY,80002006595,No,RC80,1,0,0,4,8,0,0,13
CO,COLORADO,800020,State Charter School Institute,6596,GLOBAL VILLAGE ACADEMY - FORT COLLINS,80002006596,No,RC80,0,0,0,10,5,0,0,15
CO,COLORADO,800020,State Charter School Institute,6602,MONTESSORI DEL MUNDO CHARTER SCHOOL,80002006602,No,RC79TO40,0,0,0,2,0,0,0,2
CO,COLORADO,800020,State Charter School Institute,6602,MONTESSORI DEL MUNDO CHARTER SCHOOL,80002006602,No,RC80,0,0,0,18,5,0,0,23
CO,COLORADO,800020,State Charter School Institute,6634,COLORADO EARLY COLLEGES - PARKER,80002006634,No,RC80,0,0,0,0,5,0,0,5
CO,COLORADO,800020,State Charter School Institute,6635,TWO RIVERS COMMUNITY SCHOOL,80002006635,No,RC80,1,0,0,9,12,1,0,23
CO,COLORADO,800020,State Charter School Institute,6651,SALIDA MONTESSORI CHARTER SCHOOL,80002006651,No,RC80,0,3,0,1,9,0,0,13
CO,COLORADO,800020,State Charter School Institute,6661,NEW LEGACY CHARTER SCHOOL,80002006661,No,RC79TO40,1,0,0,5,0,0,0,6
CO,COLORADO,800020,State Charter School Institute,6661,NEW LEGACY CHARTER SCHOOL,80002006661,No,RC80,1,0,0,8,0,0,0,9
CO,COLORADO,800020,State Charter School Institute,6700,LAUNCH HIGH SCHOOL,80002006700,No,RC80,0,0,0,1,4,0,0,5
CO,COLORADO,800020,State Charter School Institute,6701,MOUNTAIN VILLAGE MONTESSORI CHARTER SCHOOL,80002006701,No,RC80,0,0,0,0,8,0,0,8
CO,COLORADO,800020,State Charter School Institute,6706,MONUMENT VIEW MONTESSORI CHARTER SCHOOL,80002006706,-8,RC79TO40,0,0,0,1,1,0,0,2
CO,COLORADO,800020,State Charter School Institute,6706,MONUMENT VIEW MONTESSORI CHARTER SCHOOL,80002006706,-8,RC80,0,0,0,0,3,0,0,3
CO,COLORADO,800020,State Charter School Institute,6708,COLORADO MILITARY ACADEMY,80002006708,-8,RC79TO40,0,0,0,0,1,0,0,1
CO,COLORADO,800020,State Charter School Institute,6708,COLORADO MILITARY ACADEMY,80002006708,-8,RC80,1,6,0,7,24,0,1,39
CO,COLORADO,800020,State Charter School Institute,6710,COLORADO EARLY COLLEGES AURORA,80002006710,-8,RC80,5,3,0,16,2,0,0,26
CO,COLORADO,800023,COLORADO SCHOOL FOR THE DEAF AND BLIND,6410,COLORADO SCHOOL FOR THE DEAF AND BLIND,80002306410,No,RF,5,5,0,33,26,5,0,74
CO,COLORADO,800023,COLORADO SCHOOL FOR THE DEAF AND BLIND,6410,COLORADO SCHOOL FOR THE DEAF AND BLIND,80002306410,No,SS,5,7,0,45,48,3,0,108
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6600,COLORADO PREP ACADEMY,80028206600,No,RC39,0,0,0,3,3,0,0,6
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6600,COLORADO PREP ACADEMY,80028206600,No,RC79TO40,1,0,0,0,3,0,0,4
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6600,COLORADO PREP ACADEMY,80028206600,No,RC80,10,1,1,26,78,3,2,121
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6664,PIKES PEAK ONLINE SCHOOL,80028206664,No,RC79TO40,1,0,0,1,0,0,0,2
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6664,PIKES PEAK ONLINE SCHOOL,80028206664,No,RC80,13,0,0,13,86,1,1,114
CO,COLORADO,800292,COLORADO RIVER BOCES,1503,YAMPAH MOUNTAIN SCHOOL,80029201503,-8,RC39,0,0,0,0,1,0,0,1
CO,COLORADO,800292,COLORADO RIVER BOCES,1503,YAMPAH MOUNTAIN SCHOOL,80029201503,-8,RC80,0,0,1,1,9,0,0,11
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1,CHALLENGER MIDDLE SCHOOL,80192000001,No,RC39,0,0,0,0,2,0,0,2
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1,CHALLENGER MIDDLE SCHOOL,80192000001,No,RC79TO40,3,2,0,3,11,1,0,20
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1,CHALLENGER MIDDLE SCHOOL,80192000001,No,RC80,5,4,0,10,40,6,0,65
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",2,AIR ACADEMY HIGH SCHOOL,80192000002,No,RC39,0,1,0,4,9,0,1,15
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",2,AIR ACADEMY HIGH SCHOOL,80192000002,No,RC79TO40,3,1,0,1,4,0,0,9
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",2,AIR ACADEMY HIGH SCHOOL,80192000002,No,RC80,3,2,0,18,45,4,1,73
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",3,DOUGLASS VALLEY ELEMENTARY SCHOOL,80192000003,No,RC80,2,3,1,7,17,0,0,30
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",4,EDITH WOLFORD ELEMENTARY SCHOOL,80192000004,No,RC39,0,0,0,2,8,0,0,10
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",4,EDITH WOLFORD ELEMENTARY SCHOOL,80192000004,No,RC79TO40,0,0,0,1,1,1,0,3
