LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,SCH_ABSENT_AM_M,SCH_ABSENT_AS_M,SCH_ABSENT_BL_M,SCH_ABSENT_HI_M,SCH_ABSENT_MU_M,SCH_ABSENT_PI_M,SCH_ABSENT_WH_M,SCH_ABSENT_AM_F,SCH_ABSENT_AS_F,SCH_ABSENT_BL_F,SCH_ABSENT_HI_F,SCH_ABSENT_MU_F,SCH_ABSENT_PI_F,SCH_ABSENT_WH_F,SCH_ABSENT_EUT,SCH_ABSENT_IDEA_M,SCH_ABSENT_IDEA_F,SCH_ABSENT_504_M,SCH_ABSENT_504_F,SCH_ABSENT_LEP_M,SCH_ABSENT_LEP_F,SCH_ABSENT_HMENRL_M,SCH_ABSENT_HMENRL_F
CO,COLORADO,800020,State Charter School Institute,6503,Global Village Academy - Northglenn,80002006503,0,1,0,40,3,-8,17,-8,1,1,39,0,2,17,121,8,9,0,1,18,20,-8,-8
CO,COLORADO,800020,State Charter School Institute,6542,Colorado Early College Fort Collins,80002006542,0,4,0,16,7,-8,67,-8,3,2,18,4,0,41,162,5,2,10,2,2,1,-8,-8
CO,COLORADO,800020,State Charter School Institute,6579,Victory Preparatory Academy Middle State Charter S,80002006579,-8,-8,1,20,-8,-8,0,-8,-8,0,20,0,-8,1,42,2,1,1,-8,15,9,1,1
CO,COLORADO,800020,State Charter School Institute,6585,Victory Preparatory Academy High State Charter Sch,80002006585,-8,-8,-8,15,-8,-8,1,-8,-8,-8,14,-8,-8,0,30,0,1,1,-8,3,1,-8,-8
CO,COLORADO,800020,State Charter School Institute,6586,Colorado International Language Academy,80002006586,0,0,2,9,4,-8,11,-8,0,4,14,3,1,3,51,10,6,0,0,5,9,1,1
CO,COLORADO,800020,State Charter School Institute,6589,Mountain Song Community School,80002006589,0,1,0,3,2,-8,13,-8,1,0,8,2,-8,11,41,4,4,3,1,0,-8,0,0
CO,COLORADO,800020,State Charter School Institute,6595,James Irwin Charter Academy,80002006595,0,0,2,5,0,-8,7,-8,0,0,5,3,-8,8,30,2,1,0,-8,2,1,-8,-8
CO,COLORADO,800020,State Charter School Institute,6602,Montessori del Mundo Charter School,80002006602,-8,0,2,22,0,-8,2,1,0,0,17,0,-8,5,49,7,5,-8,-8,16,11,-8,-8
CO,COLORADO,800020,State Charter School Institute,6634,Colorado Early Colleges Douglas County,80002006634,0,0,0,2,1,-8,14,-8,0,1,8,0,-8,15,41,2,0,3,8,0,0,-8,1
CO,COLORADO,800020,State Charter School Institute,6635,Two Rivers Community School,80002006635,0,0,0,1,0,-8,2,0,0,0,0,0,-8,0,3,1,0,-8,-8,0,0,-8,-8
