LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_HSE_IND,LEA_HSEPART_HI_M,LEA_HSEPART_HI_F,LEA_HSEPART_AM_M,LEA_HSEPART_AM_F,LEA_HSEPART_AS_M,LEA_HSEPART_AS_F,LEA_HSEPART_HP_M,LEA_HSEPART_HP_F,LEA_HSEPART_BL_M,LEA_HSEPART_BL_F,LEA_HSEPART_WH_M,LEA_HSEPART_WH_F,LEA_HSEPART_TR_M,LEA_HSEPART_TR_F,TOT_HSEPART_M,TOT_HSEPART_F,LEA_HSEPART_LEP_M,LEA_HSEPART_LEP_F,LEA_HSEPART_IDEA_M,LEA_HSEPART_IDEA_F
CO,Colorado,0802430,Bennett School District No. 29j,610 7th Street,Bennett,80102,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802460,Bethune School District No. R- 5,145 West 3rd Avenue,Bethune,80805,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802490,Boulder Valley School District No. Re2,6500 Arapahoe Road,Boulder,80303,No,-11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802520,Branson Reorganized School District No. 82,101 Saddle  Rock Drive,Branson,81027,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802550,School District No. Re-10 In The County Of Weld And State O,515 Leslie Street,Briggsdale,80611,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802580,School District 27j,18551 East 160th Avenue,Brighton,80601,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802610,School District No. Re-2 Brush,527 Industrial Park Road,Brush,80723,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802640,Buena Vista School District No. R-31,113 North Court Street,Buena Vista,81211,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802670,Burlington Public School District No. Re-6j,2600 Rose Avenue,Burlington,80807,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802700,Byers School District No. 32j,444 East Front Street,Byers,80103,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802730,Calhan District No. Rj1,800 Bulldog Drive,Calhan,80808,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802760,Campo School District No. Re-6,480 Maple Street,Campo,81029,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802790,Fremont Re-1,101 North 14th Street,Canon City,81212,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802850,Center Consolidated School District No. 26 Jt. Of The Count,550 S. Sylvester Avenue,Center,81125,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802880,Cheraw School District No. 31 In The County Of Otero And S,110 Lakeview Ave.,Cheraw,81030,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802910,Cherry Creek School District No. 5 In The County Of Arapah,4700 South Yosemite Street,Greenwood Village,80111,Yes,-11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802940,Cheyenne Mountain School District No. 12 In The County Of E,1775 Laclede Street,Colorado Springs,80905,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803000,Clear Creek School District No. Re-1,320 Highway 103,Idaho Springs,80452,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803030,Plateau Valley School District No. 50 In The County Of Mesa,56600 Highway 330,Collbran,81624,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803060,Colorado Springs School District No. 11 In The County Of E,1115 North El Paso Street,Colorado Springs,80903,Yes,Yes,48,112,0,0,5,8,1,1,14,20,53,56,5,9,126,206,10,190,0,0
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,400 North Elm,Cortez,81321,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803120,Fremont Re-3,0345 County Road 12,Cotopaxi,81223,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803150,Creede School District,450 Corsair Drvie,Creede,81130,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803180,Cripple Creek-Victor School District No. Re-1,410 North B Street,Cripple Creek,80813,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803210,Crowley County School District No. Re-1-J,1001 Main Street,Ordway,81063,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803240,De Beque Joint District No. 49 Of The Counties Of Mesa And,P.O. Box 70,De Beque,81630,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803270,Deer Trail School District No. 26j,130 South Second Avenue,Deer Trail,80105,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803300,Upper Rio Grande School District C-7,950 French Street,Del Norte,81132,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803330,Delta County Joint District No. 50,145 West 4th Street,Delta,81416,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1860 Lincoln St.,Denver,80203,Yes,Yes,102,97,0,1,0,1,1,0,29,39,20,23,8,8,160,169,44,42,28,14
CO,Colorado,0803390,Dolores School District No. Re-4a,100 N. 6th Street,Dolores,81323,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803420,Dolores County School District Re-2j,425 North Main Street Suite B,Dove Creek,81324,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803450,Douglas County School District No. Re 1,701 Prairie Hawk Drive,Castle Rock,80108,No,Yes,4,1,0,0,1,0,0,0,0,0,26,10,1,2,32,13,0,0,3,0
CO,Colorado,0803480,Durango School District No. 9-R,201 East 12th Street,Durango,81301,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803510,Kiowa County School District No. Re-1,210 West 10th,Eads,81036,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803540,Eagle County School District No. Re 50,948 Chambers Avenue,Eagle,81631,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803600,Weld County School District No. Re-2,211 1st St,Eaton,80615,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803630,Edison Joint District No. 54 Of The Counties Of El Paso And,14550 Edison Road,Yoder,80864,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803690,Elbert School District No. 200,24489 Main Street,Elbert,80106,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803720,Elizabeth School District,634 South Elbert Street,Elizabeth,80107,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803750,Ellicott School District No. 22 In The County Of El Paso A,322 South Ellicott Highway,Ellicott,80808,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803780,Englewood School District No. 1 In The County Of Arapahoe,4101 South Bannock Street,Englewood,80110,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803810,Estes Park School District R-3,1605 Brodie Avenue,Estes Park,80517,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
