LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
CO,Colorado,0800020,State Charter School Institute,6602,Montessori Del Mundo Charter School,080002006602,No,19.0,18.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0
CO,Colorado,0800020,State Charter School Institute,6634,Colorado Early Colleges Douglas County,080002006634,No,44.0,20.0,24.0,8.04,0.0,1.0,1.02,1.17,0.0
CO,Colorado,0800020,State Charter School Institute,6635,Two Rivers Community School,080002006635,No,25.0,19.0,6.0,1.0,0.0,0.0,0.05,0.05,0.0
CO,Colorado,0800020,State Charter School Institute,6639,Golden View Classical Academy,080002006639,No,41.12,11.34,29.78,2.69,0.0,2.0,0.0,0.0,0.0
CO,Colorado,0800020,State Charter School Institute,6651,Salida Montessori Charter School,080002006651,No,7.88,5.69,2.19,0.42,0.0,0.0,0.24,0.13,0.0
CO,Colorado,0800020,State Charter School Institute,6653,Early Learning Center At New Legacy Charter School,080002006653,No,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800020,State Charter School Institute,6661,New Legacy Charter School,080002006661,No,8.64,6.11,2.53,0.88,0.0,0.0,0.0,0.0,1.07
CO,Colorado,0800020,State Charter School Institute,6700,Launch High School,080002006700,No,6.48,5.3,1.18,1.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800020,State Charter School Institute,6701,Mountain Village Montessori Charter School,080002006701,No,8.5,6.23,2.27,0.0,0.0,0.0,0.0,0.13,0.0
CO,Colorado,0800020,State Charter School Institute,6706,Monument View Montessori Charter School,080002006706,No,3.04,1.04,2.0,0.0,0.0,0.0,0.04,0.0,0.0
CO,Colorado,0800020,State Charter School Institute,6708,Colorado Military Academy,080002006708,No,33.57,25.31,8.26,1.0,0.0,0.0,0.23,0.37,0.0
CO,Colorado,0800020,State Charter School Institute,6710,Colorado Early Colleges Aurora,080002006710,No,15.61,10.64,4.97,2.0,0.0,1.05,0.97,0.97,0.0
CO,Colorado,0800020,State Charter School Institute,6760,Ascent Classical Academy,080002006760,No,36.43,24.0,12.43,0.0,0.0,0.0,1.0,0.67,0.0
CO,Colorado,0800020,State Charter School Institute,6761,Coperni 2,080002006761,No,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800020,State Charter School Institute,6768,Axis International Academy,080002006768,No,14.3,9.05,5.25,0.0,0.0,0.0,0.02,0.01,0.0
CO,Colorado,0800020,State Charter School Institute,6777,Colorado Early Colleges Fort Collins West,080002006777,No,7.37,4.33,3.04,0.0,1.0,0.0,0.04,0.0,0.0
CO,Colorado,0800020,State Charter School Institute,6779,Colorado Early Colleges Windsor,080002006779,No,10.64,8.91,1.73,0.9,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800020,State Charter School Institute,6784,Coperni 3,080002006784,No,19.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
