LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
CO,Colorado,0803060,Colorado Springs School District No. 11 In The County Of E,6379,Galileo School Of Math And Science,080306006379,No,31.0,31.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0
CO,Colorado,0803060,Colorado Springs School District No. 11 In The County Of E,6416,West Elementary School,080306006416,No,17.34,17.34,0.0,1.0,0.0,0.0,0.0,0.0,0.92
CO,Colorado,0803060,Colorado Springs School District No. 11 In The County Of E,6421,Jack Swigert Aerospace Academy,080306006421,No,38.0,38.0,0.0,4.0,1.0,2.0,0.0,0.92,0.0
CO,Colorado,0803060,Colorado Springs School District No. 11 In The County Of E,6428,Achieve Online,080306006428,No,15.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.92
CO,Colorado,0803060,Colorado Springs School District No. 11 In The County Of E,6456,Academy For Advanced And Creative Learning,080306006456,No,23.42,17.74,5.68,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0803060,Colorado Springs School District No. 11 In The County Of E,6580,Odyssey Early College And Career Options,080306006580,No,17.5,17.5,0.0,3.1,0.0,5.0,0.0,0.0,0.09
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,235,Beech Street Preschool,080309000235,No,5.0,1.0,4.0,0.0,0.0,0.0,0.25,0.0,0.0
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,833,Montezuma-Cortez Middle School,080309000833,No,34.87,34.87,0.0,3.2,1.0,0.0,0.74,0.0,0.0
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,835,Kemper Elementary School,080309000835,No,21.0,21.0,0.0,1.06,0.0,0.0,0.88,0.4,0.0
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,837,Lewis-Arriola Elementary School,080309000837,No,7.5,7.5,0.0,0.0,0.0,0.0,0.31,0.0,0.0
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,838,Manaugh Elementary School,080309000838,No,14.75,14.75,0.0,1.06,0.0,0.0,1.18,0.0,0.0
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,839,Mesa Elementary School,080309000839,No,22.34,22.34,0.0,0.0,0.0,0.0,0.39,0.0,0.0
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,840,Montezuma-Cortez High School,080309000840,No,39.26,39.26,0.0,2.77,1.0,0.0,0.78,0.0,0.0
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,841,Pleasant View Elementary School,080309000841,No,2.13,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,1093,Battle Rock Charter School,080309001093,No,8.69,7.78,0.91,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,1692,Southwest Open Charter School,080309001692,No,9.16,9.16,0.0,1.04,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,6622,Children's Kiva Montessori School,080309006622,No,8.32,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0803120,Fremont Re-3,276,Cotopaxi Elementary School,080312000276,No,8.0,7.25,0.75,0.25,0.0,0.0,0.5,0.0,0.0
CO,Colorado,0803120,Fremont Re-3,277,Cotopaxi Junior-Senior High School,080312000277,No,10.0,10.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0
CO,Colorado,0803150,Creede School District,279,Creede School,080315000279,No,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0803180,Cripple Creek-Victor School District No. Re-1,280,Cresson Elementary School,080318000280,No,14.0,14.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
CO,Colorado,0803180,Cripple Creek-Victor School District No. Re-1,281,Cripple Creek-Victor Junior-Senior High School,080318000281,No,32.0,32.0,0.0,1.78,0.5,0.0,0.0,0.0,0.0
CO,Colorado,0803210,Crowley County School District No. Re-1-J,282,Crowley County Junior And Senior High School,080321000282,No,12.58,12.58,0.0,0.98,1.0,0.0,0.0,0.0,0.0
CO,Colorado,0803210,Crowley County School District No. Re-1-J,1519,Crowley County Elementary K-6,080321001519,No,13.68,13.68,0.0,1.02,1.0,0.0,0.0,0.0,0.0
CO,Colorado,0803240,De Beque Joint District No. 49 Of The Counties Of Mesa And,286,De Beque Pk-12 School District 49jt,080324000286,No,18.03,17.03,1.0,1.12,1.0,0.0,0.0,0.0,0.0
CO,Colorado,0803270,Deer Trail School District No. 26j,287,Deer Trail Elementary School,080327000287,No,10.97,8.97,2.0,0.0,1.0,0.0,0.0,0.0,0.0
CO,Colorado,0803270,Deer Trail School District No. 26j,288,Deer Trail Junior-Senior High School,080327000288,No,9.74,9.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CO,Colorado,0803300,Upper Rio Grande School District C-7,289,Del Norte Elementary School,080330000289,No,17.0,17.0,0.0,1.5,1.0,0.0,0.5,0.0,0.0
CO,Colorado,0803300,Upper Rio Grande School District C-7,290,Del Norte High Jr./Sr. High School,080330000290,No,15.0,15.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,293,Cedaredge Elementary School,080333000293,No,20.0,20.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,295,North Fork Montessori @ Crawford,080333000295,No,8.2,7.2,1.0,1.0,0.0,0.0,0.0,0.5,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,296,Delta Middle School,080333000296,No,29.5,29.5,0.0,1.0,0.5,0.0,0.0,1.0,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,297,Delta High School,080333000297,No,34.5,34.5,0.0,2.0,0.5,0.0,0.0,0.5,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,298,Garnet Mesa Elementary School,080333000298,No,30.38,30.38,0.0,1.0,0.0,0.0,0.0,1.37,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,299,Hotchkiss Elementary School,080333000299,No,19.5,19.5,0.0,1.0,0.0,0.0,0.0,0.31,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,300,Hotchkiss High School,080333000300,No,10.5,10.5,0.0,1.0,0.0,0.0,0.0,0.31,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,301,Lincoln Elementary School,080333000301,No,32.0,32.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,304,Paonia High School,080333000304,No,15.6,15.6,0.0,1.0,0.5,0.0,0.0,0.38,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,1334,Cedaredge Middle School,080333001334,No,12.0,12.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,1335,Cedaredge High School,080333001335,No,15.5,15.25,0.25,1.0,0.0,0.0,0.0,0.25,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,1337,Paonia Elementary School,080333001337,No,12.1,11.1,1.0,1.0,0.5,0.0,0.0,0.0,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,1893,Backpack Early Learning Academy,080333001893,No,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,1953,Grand Mesa Choice Academy,080333001953,No,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,2001,Delta Academy Of Applied Learning,080333002001,No,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0803330,Delta County Joint District No. 50,2024,Vision Charter Academy,080333002024,No,24.0,14.0,10.0,0.0,0.0,0.0,0.0,0.75,1.0
CO,Colorado,0803330,Delta County Joint District No. 50,6667,North Fork School Of Integrated Studies,080333006667,No,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,305,Abraham Lincoln High School,080336000305,No,64.34,64.34,0.0,4.0,0.0,2.0,0.63,1.0,1.2
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,306,John H. Amesse Elementary,080336000306,No,30.79,30.79,0.0,0.0,0.0,0.0,1.0,0.5,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,307,Asbury Elementary School,080336000307,No,22.0,22.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,309,Ashley Elementary School,080336000309,No,22.94,22.94,0.0,0.0,0.0,0.0,0.4,1.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,311,Barnum Elementary School,080336000311,No,21.25,21.25,0.0,0.0,0.0,0.0,0.4,0.4,0.6
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,313,Beach Court Elementary School,080336000313,No,16.84,16.84,0.0,0.0,0.0,0.0,0.2,0.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,317,Bradley International School,080336000317,No,33.19,33.19,0.0,0.0,0.0,0.0,0.55,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,318,Bromwell Elementary School,080336000318,No,19.49,19.49,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,319,Brown International Academy,080336000319,No,38.97,38.97,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,320,Bryant Webster Dual Language Ece-8 School,080336000320,No,27.03,27.03,0.0,1.0,0.0,0.0,0.4,0.8,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,322,Career Education Center Early College,080336000322,No,41.99,41.99,0.0,3.0,0.0,1.0,1.0,1.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,323,Carson Elementary School,080336000323,No,28.11,28.11,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,324,Centennial A School For Expeditionary Learning,080336000324,No,27.15,27.15,0.0,0.0,0.0,0.0,0.4,0.7,0.6
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,325,Cheltenham Elementary School,080336000325,No,24.82,24.82,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,327,Colfax Elementary School,080336000327,No,19.3,19.3,0.0,0.0,0.0,0.0,0.2,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,328,College View Elementary School,080336000328,No,24.74,24.74,0.0,0.0,0.0,0.0,0.4,1.0,0.6
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,329,Columbian Elementary School,080336000329,No,18.77,18.77,0.0,0.0,0.0,0.0,0.4,0.0,0.8
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,330,Columbine Elementary School,080336000330,No,19.68,19.68,0.0,0.0,0.0,0.0,0.2,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,331,Cory Elementary School,080336000331,No,24.21,24.21,0.0,0.0,0.0,0.0,0.6,0.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,332,Cowell Elementary School,080336000332,No,24.97,24.97,0.0,0.0,0.0,0.0,0.2,1.0,0.8
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,336,Doull Elementary School,080336000336,No,29.78,29.78,0.0,0.0,0.0,0.0,0.23,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,337,Eagleton Elementary School,080336000337,No,23.06,23.06,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,338,East High School,080336000338,No,126.33,125.33,1.0,9.0,0.0,3.0,1.0,3.2,2.4
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,340,Edison Elementary School,080336000340,No,32.21,32.21,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,341,Ellis Elementary School,080336000341,No,32.66,32.66,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,345,Emily Griffith High School,080336000345,No,18.2,18.2,0.0,4.0,0.0,4.0,0.41,0.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,347,Fairview Elementary School,080336000347,No,18.75,18.75,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,349,Force Elementary School,080336000349,No,25.4,25.4,0.0,0.0,0.0,0.0,0.4,1.0,0.6
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,351,Garden Place Academy,080336000351,No,27.57,27.57,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,352,George Washington High School,080336000352,No,65.85,65.85,0.0,1.0,1.0,3.0,1.0,0.8,1.6
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,354,Godsman Elementary School,080336000354,No,23.47,23.47,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,355,Goldrick Elementary School,080336000355,No,24.86,24.86,0.0,0.0,0.0,0.0,0.6,1.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,357,Grant Beacon Middle School,080336000357,No,24.17,24.17,0.0,0.0,0.0,1.0,0.6,0.5,1.6
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,359,Gust Elementary School,080336000359,No,39.36,39.36,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,361,Hamilton Middle School,080336000361,No,46.64,46.64,0.0,2.0,0.0,2.0,1.0,0.2,2.5
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,362,International Academy Of Denver At Harrington,080336000362,No,16.25,16.25,0.0,0.0,0.0,0.0,1.0,1.0,0.6
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,364,Hill Campus Of Arts And Sciences,080336000364,No,47.0,47.0,0.0,0.0,0.0,1.0,1.0,0.4,2.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,365,Holm Elementary School,080336000365,No,30.1,30.1,0.0,0.0,0.0,0.0,0.6,0.2,2.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,367,John F Kennedy High School,080336000367,No,61.3,61.3,0.0,3.0,0.0,2.0,1.0,1.5,3.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,368,Johnson Elementary School,080336000368,No,18.7,18.7,0.0,0.0,0.0,0.0,0.4,0.2,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,369,Kaiser Elementary School,080336000369,No,24.13,24.13,0.0,0.0,0.0,0.0,0.4,1.0,0.4
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,371,Knapp Elementary School,080336000371,No,28.43,28.43,0.0,1.0,0.0,0.0,1.0,0.8,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,372,Hallett Academy,080336000372,No,19.06,19.06,0.0,0.0,0.0,0.0,0.41,1.0,0.2
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,375,Lincoln Elementary School,080336000375,No,20.45,20.45,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,377,Mckinley-Thatcher Elementary School,080336000377,No,18.08,18.08,0.0,0.0,0.0,0.0,0.2,0.6,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,378,Mcmeen Elementary School,080336000378,No,34.44,34.44,0.0,1.0,0.0,0.0,0.0,0.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,379,Merrill Middle School,080336000379,No,35.88,35.88,0.0,1.0,0.0,1.0,0.6,0.8,1.4
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,380,Contemporary Learning Academy,080336000380,No,14.5,14.5,0.0,1.0,0.0,1.0,0.4,0.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,384,Montclair School Of Academics And Enrichment,080336000384,No,26.73,26.73,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,385,Dora Moore Ece-8 School,080336000385,No,23.72,23.72,0.0,0.6,0.0,0.0,0.2,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,386,Morey Middle School,080336000386,No,18.36,18.36,0.0,1.0,0.0,1.0,0.6,0.2,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,387,Munroe Elementary School,080336000387,No,28.22,28.22,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,388,Newlon Elementary School,080336000388,No,22.3,22.3,0.0,0.0,0.0,0.0,0.42,1.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,389,North High School,080336000389,No,96.29,96.29,0.0,5.0,1.0,3.0,0.9,2.9,3.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,390,Palmer Elementary School,080336000390,No,20.03,20.03,0.0,0.0,0.0,0.0,0.0,0.8,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,391,Park Hill School,080336000391,No,40.82,40.82,0.0,0.0,0.0,0.0,0.8,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,398,Sabin World School,080336000398,No,41.82,41.82,0.0,1.0,0.0,0.0,1.0,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,399,Samuels Elementary School,080336000399,No,34.49,34.49,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,400,Charles M. Schenck (Cms) Community School,080336000400,No,22.24,22.24,0.0,0.0,0.0,0.0,0.2,0.0,0.8
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,401,Schmitt Elementary School,080336000401,No,17.88,17.88,0.0,0.0,0.0,0.0,0.23,1.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,403,Skinner Middle School,080336000403,No,35.64,35.64,0.0,0.0,0.0,0.0,0.0,0.6,1.2
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,407,Smith Elementary School,080336000407,No,31.72,31.72,0.0,0.0,0.0,0.0,0.2,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,408,South High School,080336000408,No,91.54,91.54,0.0,6.0,0.0,3.0,1.0,2.0,2.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,410,Steck Elementary School,080336000410,No,20.09,20.09,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,411,Stedman Elementary School,080336000411,No,23.55,23.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,412,Steele Elementary School,080336000412,No,26.83,26.83,0.0,0.0,0.0,0.0,0.6,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,414,Swansea Elementary School,080336000414,No,34.02,34.02,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,415,Teller Elementary School,080336000415,No,28.5,28.5,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,417,Thomas Jefferson High School,080336000417,No,68.97,68.97,0.0,4.0,0.0,2.0,1.0,1.0,2.19
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,418,Traylor Academy,080336000418,No,27.83,27.83,0.0,0.0,0.0,0.0,0.4,0.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,419,University Park Elementary School,080336000419,No,26.98,26.98,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,420,Valdez Elementary School,080336000420,No,26.84,25.84,1.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,421,Valverde Elementary School,080336000421,No,22.11,22.11,0.0,2.0,0.0,0.0,0.2,0.2,0.8
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,424,Castro Elementary School,080336000424,No,24.55,24.55,0.0,0.0,0.0,0.0,0.6,0.0,0.8
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,426,Whittier Ece-8 School,080336000426,No,16.89,16.89,0.0,0.0,0.0,0.0,0.41,0.2,0.6
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1276,Mcglone Academy,080336001276,No,63.27,63.27,0.0,1.0,0.0,0.0,1.0,1.5,1.2
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1380,Marrama Elementary School,080336001380,No,29.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1406,Dr. Martin Luther King Jr. Early College,080336001406,No,72.56,71.57,0.99,4.0,1.0,2.0,1.0,1.0,3.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1522,Denison Montessori School,080336001522,No,21.4,21.4,0.0,0.0,0.0,0.0,0.23,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1524,Slavens K-8 School,080336001524,No,40.19,40.19,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1574,Denver School Of The Arts,080336001574,No,52.5,52.5,0.0,2.49,0.0,3.0,1.0,1.0,1.4
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1575,Florence Crittenton High School,080336001575,No,13.25,13.25,0.0,1.0,0.0,0.0,0.0,0.4,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1576,University Prep - Steele St.,080336001576,No,28.05,12.47,15.58,0.0,0.0,0.0,0.1,0.2,0.1
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1635,Maxwell Elementary School,080336001635,No,42.12,42.12,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1636,Odyssey School Of Denver,080336001636,No,18.82,13.58,5.24,0.0,0.0,0.0,0.13,0.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1637,Wyatt Academy,080336001637,No,14.27,9.97,4.3,0.0,0.0,0.0,0.0,0.1,1.08
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1679,Southmoor Elementary School,080336001679,No,27.66,27.66,0.0,0.0,0.0,0.0,0.4,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1724,Ridge View Academy Charter School,080336001724,No,17.22,13.8,3.42,3.1,0.0,0.0,0.17,0.1,1.26
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1738,Grant Ranch Ece-8 School,080336001738,No,25.5,25.5,0.0,0.8,0.0,0.0,0.4,0.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1739,Marie L. Greenwood Academy,080336001739,No,32.53,32.53,0.0,1.0,0.0,1.0,1.0,0.6,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1750,Academia Ana Marie Sandoval,080336001750,No,21.07,21.07,0.0,0.0,0.0,0.0,0.2,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1767,Polaris Elementary School,080336001767,No,19.73,19.73,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1776,Green Valley Elementary School,080336001776,No,46.69,46.69,0.0,0.0,0.0,0.0,0.0,1.0,0.59
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1795,Prep Academy,080336001795,No,17.75,17.75,0.0,1.0,0.0,1.0,1.0,1.0,1.6
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1833,Dsst: Montview High School,080336001833,No,38.82,16.54,22.28,0.0,0.0,0.0,0.25,1.2,2.11
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1835,Highline Academy Southeast,080336001835,No,45.5,24.51,20.99,1.08,0.0,0.0,0.5,0.0,0.4
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1838,Omar D Blair Charter School,080336001838,No,43.63,29.8,13.83,2.24,0.0,1.0,0.3,0.29,1.06
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1862,Colorado High School Charter,080336001862,No,13.89,10.48,3.41,2.11,0.0,0.0,0.12,0.15,1.1
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1864,Lena Archuleta Elementary School,080336001864,No,30.85,30.85,0.0,0.0,0.0,0.0,0.6,2.0,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1865,Kipp Sunshine Peak Academy,080336001865,No,33.17,16.52,16.65,0.0,0.0,0.0,0.25,1.21,1.21
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1867,Lowry Elementary School,080336001867,No,32.84,32.84,0.0,1.0,0.0,0.0,0.4,1.0,0.5
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1869,Bruce Randolph School,080336001869,No,54.52,54.52,0.0,2.0,0.0,1.0,1.0,1.0,1.5
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1894,Aul Denver,080336001894,No,9.92,7.94,1.98,0.0,0.0,0.0,0.2,0.5,0.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1917,Denver Center For International Studies,080336001917,No,34.83,34.83,0.0,3.0,0.0,1.0,1.0,1.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1928,Farrell B. Howell Ece-8 School,080336001928,No,43.95,43.95,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1933,Florida Pitt-Waller Ece-8 School,080336001933,No,46.7,46.7,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1955,Denver Online High School,080336001955,No,13.61,13.61,0.0,1.0,0.0,0.0,0.23,0.0,1.19
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1957,Westerly Creek Elementary,080336001957,No,42.14,42.14,0.0,0.4,0.0,0.0,0.4,0.2,0.4
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,2012,Strive Prep - Federal,080336002012,No,32.67,13.76,18.91,0.0,0.0,0.0,0.2,1.27,2.4
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,6328,Manual High School,080336006328,No,20.07,20.07,0.0,1.0,1.0,0.0,0.6,1.0,1.0
