LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
CO,COLORADO,0800020,State Charter School Institute,2018,STONE CREEK SCHOOL,080002002018,No,20.75,18.99,1.76,0.0,3.0,23.0,20.0,4.8,0.2,0.0,0.0,0.0,0.04,0.0
CO,COLORADO,0800020,State Charter School Institute,2033,HIGH POINT ACADEMY,080002002033,No,33.66,32.42,1.24,6.0,1.0,34.0,25.0,2.0,1.0,0.0,0.0,0.0,0.67,0.0
CO,COLORADO,0800020,State Charter School Institute,6305,CAPROCK ACADEMY,080002006305,No,54.96,47.29,7.67,13.0,5.0,55.0,43.0,4.0,2.12,0.0,0.0,0.0,2.0,0.0
CO,COLORADO,0800020,State Charter School Institute,6310,COLORADO SPRINGS EARLY COLLEGES,080002006310,No,21.45,20.26,1.19,0.0,0.0,30.0,18.0,1.0,5.38,0.0,0.0,1.0,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,6320,RICARDO FLORES MAGON ACADEMY,080002006320,No,14.0,14.0,0.0,2.0,2.0,14.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
CO,COLORADO,0800020,State Charter School Institute,6338,PIKES PEAK PREP,080002006338,No,15.83,9.89,5.94,0.0,0.0,16.0,3.0,2.0,0.0,0.0,0.0,0.0,0.16,0.97
CO,COLORADO,0800020,State Charter School Institute,6390,EARLY COLLEGE OF ARVADA,080002006390,No,23.0,23.0,0.0,5.0,1.0,23.0,16.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,6418,ANIMAS HIGH SCHOOL,080002006418,No,17.9,17.9,0.0,0.0,0.0,19.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.98
CO,COLORADO,0800020,State Charter School Institute,6437,THOMAS MACLAREN STATE CHARTER SCHOOL,080002006437,No,42.95,3.88,39.07,6.0,7.0,45.0,33.0,2.0,1.0,0.0,0.0,0.13,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,6480,NEW AMERICA SCHOOL - THORNTON,080002006480,No,10.32,10.32,0.0,1.0,0.0,13.0,10.0,0.0,1.83,0.0,1.88,0.92,0.15,0.0
CO,COLORADO,0800020,State Charter School Institute,6502,MOUNTAIN MIDDLE SCHOOL,080002006502,No,13.0,5.0,8.0,2.0,0.0,13.0,9.0,1.0,2.0,0.0,0.0,1.27,0.01,0.83
