LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
CO,COLORADO,0803750,Ellicott School District No. 22,322 SOUTH ELLICOTT HIGHWAY,ELLICOTT,80808,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803780,Englewood School District No. 1 in the county of Arapahoe,4101 SOUTH BANNOCK STREET,ENGLEWOOD,80110,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803810,Estes Park School District R-3,1605 BRODIE AVENUE,ESTES PARK,80517,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803840,Park County School District No. Re-2,P.O. BOX 189,FAIRPLAY,80440,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803870,Falcon School District No. 49 in the county of El Paso and,10850 EAST WOODMEN ROAD,PEYTON,80831,No,Yes,895,1219,123,142,7,10,29,30,86,114,1539,1926,109,141,2788,3582,214,356,205,166
CO,COLORADO,0803930,School District No. Re-3 Frenchman,506 NORTH FREMONTAVE,FLEMING,80728,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803960,Fremont Re-2,403 WEST 5TH STREET,FLORENCE,81226,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0803990,Poudre School District R-1,2407 LAPORTE AVENUE,Fort Collins,80521,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804020,Weld County Reorganized School District No. Re-8,200 South Fulton Ave,FORT LUPTON,80621,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804050,Morgan County School District Re-3,715 W. PLATTE AVENUE,FORT MORGAN,80701,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804080,Fountain School District No. 8 in the county of El Paso an,10665 JIMMY CAMP ROAD,FOUNTAIN,80817,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804110,Fowler School District No. R4J,P O BOX 218,FOWLER,81039,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804140,Sierra Grande School District No. R-30,17523 HIGHWAY 160,BLANCA,81123,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804200,Weld County Reorganized School District No. Re-1,P O BOX 157,GILCREST,80623,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804230,Gilpin County School District No. Re-1,10595 HIGHWAY 119,BLACK HAWK,80422,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804260,Roaring Fork School District No. Re-1,400 Sopris Avenue,Carbondale,81623,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804290,Granada School District No. Re-1,P O BOX 259,GRANADA,81041,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804320,East Grand School District No. 2,P O BOX 125,GRANBY,80446,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804350,Mesa County Valley School District No. 51,2115 GRAND AVENUE,GRAND JUNCTION,81501,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804380,Garfield County School District No. 16,P O BOX 68,PARACHUTE,81635,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804410,Greeley-Evans School District 6,1025  9TH AVENUE,GREELEY,80631,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804440,School District No. Re-12 in the county of Weld and State of,P O BOX 220,GROVER,80729,No,Yes,1,0,0,0,0,0,0,0,0,0,12,2,0,0,13,2,0,0,1,0
CO,COLORADO,0804470,Gunnison Watershed School District Re1J,800 NORTH BOULEVARD,GUNNISON,81230,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804500,Hanover School District No. 28 in the county of El Paso an,7930 Indian Village Heights,Fountain,80817,No,Yes,1,0,0,0,0,0,0,0,0,0,3,1,1,1,5,2,0,0,1,0
CO,COLORADO,0804530,Harrison School District No. 2 in the county of El Paso an,1060 HARRISON ROAD,COLORADO SPRINGS,80905,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804560,Haxtun School District No. Re-2J,201 WEST POWELL STREET,HAXTUN,80731,No,Yes,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,3,0,0,0,0
CO,COLORADO,0804590,Hayden School District No. Re 1,P O BOX 70,HAYDEN,81639,No,Yes,2,4,0,0,1,0,0,0,0,0,4,5,0,0,7,9,0,0,0,0
CO,COLORADO,0804620,Hinsdale County School District No. Re-1,P O BOX 39,LAKE CITY,81235,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804650,Hoehne Reorganized School District No. 3,P O BOX 91,HOEHNE,81046,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804680,Holly School District No. Re-3,P O BOX 608,HOLLY,81047,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804710,Holyoke School District No. Re-1J,435 SOUTH MORLAN,HOLYOKE,80734,No,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CO,COLORADO,0804740,Genoa-Hugo School District No. C-113,P O BOX 247,HUGO,80821,No,Yes,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,3,0,0,0,0
CO,COLORADO,0804770,Ignacio School District No. 11Jt,P O BOX 460,IGNACIO,81137,No,Yes,15,10,11,10,0,0,0,0,0,1,13,14,1,1,40,36,3,2,4,2
CO,COLORADO,0804800,Jefferson County School District No. R-1,P O BOX 4001,GOLDEN,80401,Yes,Yes,73,97,3,1,14,19,0,0,4,1,368,453,20,29,482,600,3,3,35,27
CO,COLORADO,0804830,Weld County School District No. Re-5J,110 SO CENTENNIAL DR SUITE A,MILLIKEN,80543,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804860,Julesburg School District No. Re1,102 WEST 6TH STREET,JULESBURG,80737,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804890,Karval School District No. Re 23,P.O. BOX 5,KARVAL,80823,No,Yes,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,2,0,0,0,1
CO,COLORADO,0804920,Weld County School District RE-3J,PO BOX 269,KEENESBURG,80643,No,Yes,0,4,0,0,0,0,0,0,0,0,6,8,0,0,6,12,0,2,1,1
CO,COLORADO,0804950,Weld County School District No. Re-7,P O BOX 485,KERSEY,80644,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0804980,Kim Reorganized School District No. 88,PO BOX 100,KIM,81049,No,Yes,0,1,0,0,0,0,0,0,1,1,2,3,0,0,3,5,0,0,0,0
CO,COLORADO,0805010,School District No. C-2 in the county of Elbert and State of,P O BOX 128,KIOWA,80117,No,Yes,0,0,0,0,0,0,0,0,0,0,6,8,0,0,6,8,0,0,0,0
CO,COLORADO,0805040,Kit Carson School District No. R-1,P O BOX 185,KIT CARSON,80825,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0805070,West Grand School District No. 1,P O BOX 515,KREMMLING,80459,No,Yes,4,3,0,0,0,0,0,0,0,0,10,5,0,0,14,8,1,1,0,1
CO,COLORADO,0805100,North Conejos School District No. Re1J,P O BOX 72,LA JARA,81140,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0805130,East Otero School District No. R1,301 RATON AVENUE,LA JUNTA,81050,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0805160,La Veta School District Re-2,PO BOX 85,LA VETA,81055,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0805190,Lake County School District No. R-1,328 W. 5th Street,LEADVILLE,80461,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0805220,Lamar School District No. Re-2,210 W PEARL,LAMAR,81052,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0805250,Las Animas School District No. Re-1,1021 2ND STREET,LAS ANIMAS,81054,No,Yes,1,4,0,0,0,1,0,0,0,0,1,2,0,0,2,7,0,0,0,1
CO,COLORADO,0805280,Limon School District No. Re 4J,P O BOX 249,LIMON,80828,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0805310,Littleton School District No. 6 in the county of Arapahoe,5776 SOUTH CROCKER STREET,LITTLETON,80120,No,Yes,10,9,1,0,0,2,0,0,1,0,28,35,1,2,41,48,1,1,1,5
CO,COLORADO,0805340,Lone Star School District No. 101,44940 COUNTY ROAD 54,OTIS,80743,No,Yes,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,7,0,0,1,2
CO,COLORADO,0805370,St. Vrain Valley School District No. Re1J,395 SOUTH PRATT PARKWAY,LONGMONT,80501,No,Yes,298,222,2,4,7,5,0,3,11,5,367,251,6,9,691,499,138,84,96,47
CO,COLORADO,0805400,Thompson School District R-2J,800 SOUTH TAFT AVENUE,LOVELAND,80537,No,Yes,5,3,0,0,0,0,0,0,0,1,17,26,0,2,22,32,0,0,0,0
