LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,CF_M,HH_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,SS_F,PPPS_M,RF_F,TOTAL_STUDENTS_REPORTED
CO,COLORADO,800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,80001601821,No,MD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CO,COLORADO,800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,80001601821,No,MR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CO,COLORADO,800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,80001601821,No,OHI,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,4
CO,COLORADO,800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,80001601821,No,OI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CO,COLORADO,800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,80001601821,No,SLD,0,0,0,5,7,0,0,0,0,0,0,2,3,0,0,0,17
CO,COLORADO,800017,Wray RD-2 School District,1816,WRAY ELEMENTARY SCHOOL,80001701816,No,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CO,COLORADO,800017,Wray RD-2 School District,1816,WRAY ELEMENTARY SCHOOL,80001701816,No,EMN,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
CO,COLORADO,800017,Wray RD-2 School District,1816,WRAY ELEMENTARY SCHOOL,80001701816,No,OHI,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
CO,COLORADO,800017,Wray RD-2 School District,1816,WRAY ELEMENTARY SCHOOL,80001701816,No,SLD,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,5
CO,COLORADO,800017,Wray RD-2 School District,1816,WRAY ELEMENTARY SCHOOL,80001701816,No,SLI,0,0,0,1,8,0,0,0,0,0,0,1,6,0,0,0,16
