LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_MATHCLASSES_ADVM,SCH_MATHCERT_ADVM,SCH_MATHENR_ADVM_HI_M,SCH_MATHENR_ADVM_HI_F,SCH_MATHENR_ADVM_AM_M,SCH_MATHENR_ADVM_AM_F,SCH_MATHENR_ADVM_AS_M,SCH_MATHENR_ADVM_AS_F,SCH_MATHENR_ADVM_HP_M,SCH_MATHENR_ADVM_HP_F,SCH_MATHENR_ADVM_BL_M,SCH_MATHENR_ADVM_BL_F,SCH_MATHENR_ADVM_WH_M,SCH_MATHENR_ADVM_WH_F,SCH_MATHENR_ADVM_TR_M,SCH_MATHENR_ADVM_TR_F,TOT_MATHENR_ADVM_M,TOT_MATHENR_ADVM_F,SCH_MATHENR_ADVM_LEP_M,SCH_MATHENR_ADVM_LEP_F,SCH_MATHENR_ADVM_IDEA_M,SCH_MATHENR_ADVM_IDEA_F
CO,COLORADO,0800020,State Charter School Institute,1998,T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,080002001998,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,2010,THE PINNACLE CHARTER SCHOOL MIDDLE,080002002010,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,2018,STONE CREEK SCHOOL,080002002018,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,2033,HIGH POINT ACADEMY,080002002033,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6305,CAPROCK ACADEMY,080002006305,No,3,0,0,2,0,0,0,0,0,0,0,0,5,5,0,0,5,7,0,0,0,0
CO,COLORADO,0800020,State Charter School Institute,6310,COLORADO SPRINGS EARLY COLLEGES,080002006310,No,5,5,5,3,0,1,0,0,0,0,0,1,20,6,2,2,27,13,0,0,0,0
CO,COLORADO,0800020,State Charter School Institute,6320,RICARDO FLORES MAGON ACADEMY,080002006320,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6338,PIKES PEAK PREP,080002006338,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6390,EARLY COLLEGE OF ARVADA,080002006390,No,3,0,16,13,0,0,1,1,0,0,0,0,9,6,0,0,26,20,9,6,5,3
CO,COLORADO,0800020,State Charter School Institute,6418,ANIMAS HIGH SCHOOL,080002006418,No,2,2,3,2,0,0,0,0,0,0,0,0,8,18,0,0,11,20,0,0,0,0
CO,COLORADO,0800020,State Charter School Institute,6437,THOMAS MACLAREN STATE CHARTER SCHOOL,080002006437,No,5,0,1,6,0,0,1,4,0,0,0,0,13,16,3,6,18,32,0,0,1,0
CO,COLORADO,0800020,State Charter School Institute,6480,NEW AMERICA SCHOOL - THORNTON,080002006480,No,5,5,40,44,0,0,0,0,0,0,0,0,4,4,0,0,44,48,13,19,1,0
CO,COLORADO,0800020,State Charter School Institute,6502,MOUNTAIN MIDDLE SCHOOL,080002006502,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6503,GLOBAL VILLAGE ACADEMY - NORTHGLENN,080002006503,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6542,COLORADO EARLY COLLEGE FORT COLLINS,080002006542,No,7,0,1,1,0,0,2,1,0,0,0,0,22,25,1,0,26,27,0,0,0,0
CO,COLORADO,0800020,State Charter School Institute,6579,VICTORY PREPARATORY ACADEMY MIDDLE STATE CHARTER S,080002006579,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6585,VICTORY PREPARATORY ACADEMY HIGH STATE CHARTER SCH,080002006585,No,1,1,5,9,0,0,0,0,0,0,0,0,0,1,0,0,5,10,2,1,0,0
CO,COLORADO,0800020,State Charter School Institute,6586,GLOBAL VILLAGE ACADEMY - COLORADO SPRINGS,080002006586,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6589,MOUNTAIN SONG COMMUNITY SCHOOL,080002006589,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6595,JAMES IRWIN CHARTER ACADEMY,080002006595,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6596,GLOBAL VILLAGE ACADEMY - FORT COLLINS,080002006596,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6602,MONTESSORI DEL MUNDO CHARTER SCHOOL,080002006602,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6634,COLORADO EARLY COLLEGES - PARKER,080002006634,No,5,0,6,6,2,0,8,1,0,0,1,1,33,26,6,3,56,37,0,0,1,0
CO,COLORADO,0800020,State Charter School Institute,6635,TWO RIVERS COMMUNITY SCHOOL,080002006635,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6651,SALIDA MONTESSORI CHARTER SCHOOL,080002006651,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6653,EARLY LEARNING CENTER AT NEW LEGACY CHARTER SCHOOL,080002006653,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6661,NEW LEGACY CHARTER SCHOOL,080002006661,No,1,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,2,7,1,2,0,0
CO,COLORADO,0800020,State Charter School Institute,6700,LAUNCH HIGH SCHOOL,080002006700,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6701,MOUNTAIN VILLAGE MONTESSORI CHARTER SCHOOL,080002006701,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6706,MONUMENT VIEW MONTESSORI CHARTER SCHOOL,080002006706,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6708,COLORADO MILITARY ACADEMY,080002006708,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800020,State Charter School Institute,6710,COLORADO EARLY COLLEGES AURORA,080002006710,No,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CO,COLORADO,0800023,COLORADO SCHOOL FOR THE DEAF AND BLIND,6410,COLORADO SCHOOL FOR THE DEAF AND BLIND,080002306410,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800282,COLORADO DIGITAL BOCES,6600,COLORADO PREP ACADEMY,080028206600,No,2,2,0,2,1,1,1,1,0,0,1,1,5,18,0,0,8,23,0,2,0,0
CO,COLORADO,0800282,COLORADO DIGITAL BOCES,6664,PIKES PEAK ONLINE SCHOOL,080028206664,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99995,ZEBULON PIKE YOUTH SERVICES CENTER,080028699995,No,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99996,PLATTE VALLEY YOUTH SERVICES CENTER,080028699996,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99997,MOUNT VIEW YOUTH SERVICES CENTER,080028699997,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99998,LOOKOUT MOUNTAIN YOUTH SERVICES CENTER,080028699998,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,99999,GRAND MESA YOUTH SERVICES CENTER,080028699999,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800292,COLORADO RIVER BOCES,1503,YAMPAH MOUNTAIN SCHOOL,080029201503,No,1,1,0,2,0,0,0,0,0,0,0,0,6,2,0,0,6,4,0,0,1,1
CO,COLORADO,0801920,Academy School District No. 20,1,CHALLENGER MIDDLE SCHOOL,080192000001,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,2,AIR ACADEMY HIGH SCHOOL,080192000002,No,12,12,18,13,1,0,6,3,1,0,0,1,101,127,10,15,137,159,0,0,3,1
CO,COLORADO,0801920,Academy School District No. 20,3,DOUGLASS VALLEY ELEMENTARY SCHOOL,080192000003,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,4,EDITH WOLFORD ELEMENTARY SCHOOL,080192000004,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,5,MOUNTAIN VIEW ELEMENTARY SCHOOL,080192000005,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,7,ROCKRIMMON ELEMENTARY SCHOOL,080192000007,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,8,WOODMEN-ROBERTS ELEMENTARY SCHOOL,080192000008,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,123,ANTELOPE TRAILS ELEMENTARY SCHOOL,080192000123,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,531,PRAIRIE HILLS ELEMENTARY SCHOOL,080192000531,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,858,ASPEN VALLEY CAMPUS,080192000858,No,1,1,2,3,0,0,0,0,1,0,0,0,2,4,0,0,5,7,0,0,1,0
CO,COLORADO,0801920,Academy School District No. 20,1319,FOOTHILLS ELEMENTARY SCHOOL,080192001319,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1320,HIGH PLAINS ELEMENTARY SCHOOL,080192001320,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1321,RAMPART HIGH SCHOOL,080192001321,No,13,13,19,22,0,0,20,13,0,2,9,4,108,106,10,6,166,153,4,2,5,1
CO,COLORADO,0801920,Academy School District No. 20,1387,FRONTIER ELEMENTARY SCHOOL,080192001387,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1402,EAGLEVIEW MIDDLE SCHOOL,080192001402,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1429,LIBERTY HIGH SCHOOL,080192001429,No,15,15,17,22,4,0,0,9,0,0,5,4,132,160,6,18,164,213,0,0,0,0
CO,COLORADO,0801920,Academy School District No. 20,1430,PIONEER ELEMENTARY SCHOOL,080192001430,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1462,TIMBERVIEW MIDDLE SCHOOL,080192001462,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1496,EXPLORER ELEMENTARY SCHOOL,080192001496,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1592,THE CLASSICAL ACADEMY CHARTER,080192001592,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1593,MOUNTAIN RIDGE MIDDLE SCHOOL,080192001593,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1643,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,080192001643,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1644,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,080192001644,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1645,PINE CREEK HIGH SCHOOL,080192001645,No,15,15,25,29,0,2,6,8,1,2,3,2,123,144,7,10,165,197,0,1,0,0
CO,COLORADO,0801920,Academy School District No. 20,1842,THE DA VINCI ACADEMY SCHOOL,080192001842,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0801920,Academy School District No. 20,1905,DISCOVERY CANYON CAMPUS HIGH SCHOOL,080192001905,No,14,14,22,20,0,0,10,10,0,3,1,2,135,153,5,6,173,194,0,0,1,4
CO,COLORADO,0801920,Academy School District No. 20,1931,THE CLASSICAL ACADEMY MIDDLE SCHOOL,080192001931,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
