LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_INTERNET_FIBER,SCH_INTERNET_WIFI,SCH_INTERNET_SCHDEV,SCH_INTERNET_STUDDEV,SCH_INTERNET_WIFIENDEV
CO,Colorado,0800020,State Charter School Institute,6768,Axis International Academy,080002006768,No,Yes,Yes,Yes,No,230
CO,Colorado,0800020,State Charter School Institute,6777,Colorado Early Colleges Fort Collins West,080002006777,No,Yes,Yes,Yes,Yes,70
CO,Colorado,0800020,State Charter School Institute,6779,Colorado Early Colleges Windsor,080002006779,No,Yes,Yes,Yes,No,170
CO,Colorado,0800020,State Charter School Institute,6784,Coperni 3,080002006784,No,Yes,Yes,Yes,No,200
CO,Colorado,0800020,State Charter School Institute,6796,Ascent Classical Academy Northern Colorado,080002006796,No,No,Yes,No,No,0
CO,Colorado,0800023,Colorado School For The Deaf And Blind,6410,Colorado School For The Deaf And Blind,080002306410,No,Yes,Yes,Yes,Yes,200
CO,Colorado,0800282,Education Reenvisioned Boces,6600,Colorado Preparatory Academy High School,080028206600,No,No,No,Yes,Yes,344
CO,Colorado,0800282,Education Reenvisioned Boces,6664,Pikes Peak Online School,080028206664,No,No,No,Yes,Yes,159
CO,Colorado,0800282,Education Reenvisioned Boces,6752,Colorado Preparatory Academy Elementary School,080028206752,No,No,No,Yes,Yes,1145
CO,Colorado,0800282,Education Reenvisioned Boces,6764,Colorado Preparatory Academy Middle School,080028206764,No,No,No,Yes,Yes,556
CO,Colorado,0800282,Education Reenvisioned Boces,6804,Orton Academy,080028206804,No,Yes,Yes,Yes,Yes,2
CO,Colorado,0800286,Division Of Youth Services,6659,Spring Creek Youth Services Center,080028606659,Yes,Yes,Yes,No,No,92
CO,Colorado,0800286,Division Of Youth Services,6702,Grand Mesa Youth Services Center,080028606702,Yes,Yes,Yes,No,No,57
CO,Colorado,0800286,Division Of Youth Services,6703,Mount View Youth Services Center,080028606703,Yes,Yes,Yes,No,No,115
CO,Colorado,0800286,Division Of Youth Services,6704,Platte Valley Youth Services Center,080028606704,Yes,Yes,Yes,No,No,72
CO,Colorado,0800286,Division Of Youth Services,99998,Lookout Mountain Youth Services Center,080028699998,Yes,Yes,Yes,No,No,104
CO,Colorado,0800292,Colorado River Boces,1503,Yampah Mountain School,080029201503,No,Yes,Yes,Yes,Yes,130
CO,Colorado,0801920,Academy School District No. 20,1,Challenger Middle School,080192000001,No,Yes,Yes,Yes,Yes,485
CO,Colorado,0801920,Academy School District No. 20,2,Air Academy High School,080192000002,No,Yes,Yes,Yes,Yes,315
CO,Colorado,0801920,Academy School District No. 20,3,Douglass Valley Elementary School,080192000003,No,Yes,Yes,Yes,Yes,97
CO,Colorado,0801920,Academy School District No. 20,4,Edith Wolford Elementary School,080192000004,No,Yes,Yes,Yes,Yes,137
CO,Colorado,0801920,Academy School District No. 20,5,Mountain View Elementary School,080192000005,No,Yes,Yes,Yes,Yes,608
CO,Colorado,0801920,Academy School District No. 20,7,Rockrimmon Elementary School,080192000007,No,Yes,Yes,Yes,Yes,344
CO,Colorado,0801920,Academy School District No. 20,8,Woodmen-Roberts Elementary School,080192000008,No,Yes,Yes,Yes,Yes,303
CO,Colorado,0801920,Academy School District No. 20,123,Antelope Trails Elementary School,080192000123,No,Yes,Yes,Yes,Yes,335
