LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004202395,Yes,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2396,Roanoke Valley Juvenile Detention Home,510004202396,Yes,6.0,6.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2397,Rappahannock Juvenile Detention Home,510004202397,Yes,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2398,Shenandoah Valley Juvenile Detention Home,510004202398,Yes,8.0,8.0,0.0,0.0,0.0,8.0,7.0,4.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2399,Middle Peninsula Juvenile Detention Home,510004202399,Yes,9.0,9.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2403,Prince William Juv. Detention Home,510004202403,Yes,10.0,10.0,0.0,0.0,0.0,10.0,10.0,7.0,0.0,0.0,-9.0,0.0,0.0,1.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2476,Virginia Beach Juvenile Detention Home,510004202476,Yes,10.0,10.0,0.0,0.0,0.0,10.0,9.0,3.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2890,N.W.  (Northwestern) Regional Juvenile Detention Home,510004202890,Yes,6.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,2558,Virginia School For Deaf,510005802558,No,14.0,14.0,0.0,2.0,2.0,14.0,17.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,2559,Virginia School For Blind,510005802559,No,11.0,11.0,0.0,1.0,0.0,9.0,11.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0
