LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,CF_M,HH_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,SS_F,PPPS_M,RF_F,TOTAL_STUDENTS_REPORTED
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2389,Lynchburg Juvenile Detention Home,510004202389,Yes,EMN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2389,Lynchburg Juvenile Detention Home,510004202389,Yes,OHI,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2389,Lynchburg Juvenile Detention Home,510004202389,Yes,SLD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2391,Newport News Juvenile Detention Home,510004202391,Yes,EMN,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2391,Newport News Juvenile Detention Home,510004202391,Yes,OHI,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2391,Newport News Juvenile Detention Home,510004202391,Yes,SLD,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2392,Norfolk Juvenile Detention Center,510004202392,Yes,AUT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2392,Norfolk Juvenile Detention Center,510004202392,Yes,EMN,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2392,Norfolk Juvenile Detention Center,510004202392,Yes,OHI,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2392,Norfolk Juvenile Detention Center,510004202392,Yes,SLD,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2393,Piedmont Regional Juvenile Detention Center,510004202393,Yes,AUT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2393,Piedmont Regional Juvenile Detention Center,510004202393,Yes,OHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2393,Piedmont Regional Juvenile Detention Center,510004202393,Yes,SLD,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2394,Crater Juvenile Detention Home,510004202394,Yes,EMN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2394,Crater Juvenile Detention Home,510004202394,Yes,SLD,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004202395,Yes,EMN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004202395,Yes,MD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004202395,Yes,MR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004202395,Yes,OHI,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004202395,Yes,SLD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2396,Roanoke Valley Juvenile Detention Home,510004202396,Yes,EMN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2396,Roanoke Valley Juvenile Detention Home,510004202396,Yes,OHI,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2396,Roanoke Valley Juvenile Detention Home,510004202396,Yes,SLD,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2397,Rappahannock Juvenile Detention Home,510004202397,Yes,EMN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2397,Rappahannock Juvenile Detention Home,510004202397,Yes,OHI,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2397,Rappahannock Juvenile Detention Home,510004202397,Yes,SLD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2398,Shenandoah Valley Juvenile Detention Home,510004202398,Yes,EMN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2398,Shenandoah Valley Juvenile Detention Home,510004202398,Yes,SLD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2399,Middle Peninsula Juvenile Detention Home,510004202399,Yes,EMN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2399,Middle Peninsula Juvenile Detention Home,510004202399,Yes,OHI,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2399,Middle Peninsula Juvenile Detention Home,510004202399,Yes,SLD,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2403,Prince William Juv. Detention Home,510004202403,Yes,EMN,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2403,Prince William Juv. Detention Home,510004202403,Yes,OHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2403,Prince William Juv. Detention Home,510004202403,Yes,SLD,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2476,Virginia Beach Juvenile Detention Home,510004202476,Yes,OHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2476,Virginia Beach Juvenile Detention Home,510004202476,Yes,SLD,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2890,N.W.  (Northwestern) Regional Juvenile Detention Home,510004202890,Yes,EMN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2890,N.W.  (Northwestern) Regional Juvenile Detention Home,510004202890,Yes,MR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2890,N.W.  (Northwestern) Regional Juvenile Detention Home,510004202890,Yes,SLD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
