LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SCICLASSES_PHYS,SCH_SCICCERT_PHYS,SCH_SCIENR_PHYS_HI_M,SCH_SCIENR_PHYS_HI_F,SCH_SCIENR_PHYS_AM_M,SCH_SCIENR_PHYS_AM_F,SCH_SCIENR_PHYS_AS_M,SCH_SCIENR_PHYS_AS_F,SCH_SCIENR_PHYS_HP_M,SCH_SCIENR_PHYS_HP_F,SCH_SCIENR_PHYS_BL_M,SCH_SCIENR_PHYS_BL_F,SCH_SCIENR_PHYS_WH_M,SCH_SCIENR_PHYS_WH_F,SCH_SCIENR_PHYS_TR_M,SCH_SCIENR_PHYS_TR_F,TOT_SCIENR_PHYS_M,TOT_SCIENR_PHYS_F,SCH_SCIENR_PHYS_LEP_M,SCH_SCIENR_PHYS_LEP_F,SCH_SCIENR_PHYS_IDEA_M,SCH_SCIENR_PHYS_IDEA_F
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2392,Norfolk Juvenile Detention Center,510004202392,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2393,Piedmont Regional Juvenile Detention Center,510004202393,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2394,Crater Juvenile Detention Home,510004202394,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004202395,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2396,Roanoke Valley Juvenile Detention Home,510004202396,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2397,Rappahannock Juvenile Detention Home,510004202397,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2398,Shenandoah Valley Juvenile Detention Home,510004202398,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2399,Middle Peninsula Juvenile Detention Home,510004202399,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2403,Prince William Juv. Detention Home,510004202403,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2476,Virginia Beach Juvenile Detention Home,510004202476,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
