LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_HSE_IND,LEA_HSEPART_HI_M,LEA_HSEPART_HI_F,LEA_HSEPART_AM_M,LEA_HSEPART_AM_F,LEA_HSEPART_AS_M,LEA_HSEPART_AS_F,LEA_HSEPART_HP_M,LEA_HSEPART_HP_F,LEA_HSEPART_BL_M,LEA_HSEPART_BL_F,LEA_HSEPART_WH_M,LEA_HSEPART_WH_F,LEA_HSEPART_TR_M,LEA_HSEPART_TR_F,TOT_HSEPART_M,TOT_HSEPART_F,LEA_HSEPART_LEP_M,LEA_HSEPART_LEP_F,LEA_HSEPART_IDEA_M,LEA_HSEPART_IDEA_F
VA,VIRGINIA,5100093,PROJECT BRIDGE/RUSSELL CO,PO Box 8,Lebanon,24266,No,Yes,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
VA,VIRGINIA,5100094,REGIONAL ALTERNATIVE/WYTHE CO,C/O Wythe Co Public Schls,Wytheville,24382,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100096,PIEDMONT ALTERNATIVE SCHOOL,148 Vo-Tech Road,Jetersville,23083,No,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
VA,VIRGINIA,5100097,NORTHERN NECK REGIONAL ALTERNATIVE ED,PO Box 787,Warsaw,22572,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100098,SHENANDOAH VALLEY REG ALTERNATIVE ED/GENESIS,1751 Shutterlee Mill Rd.,Staunton,24401,No,Yes,0,1,0,0,0,0,0,0,1,1,3,0,0,0,4,2,0,0,0,0
VA,VIRGINIA,5100099,BREAKING BARRIERS ALTERNATIVE ED/HENRY CO,C/O Henry Co Public Schls,Collinsville,24078,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100100,CARROLL-GALAX REG ALT ED PRGM/THE RAE CENTER,C/O Carroll Co Public Schls,Hillsville,24343,No,Yes,0,0,0,0,0,0,0,0,1,1,6,1,0,0,7,2,0,0,3,0
VA,VIRGINIA,5100102,REGIONAL LEARNING ACADEMY/WISE CO,C/O Wise Co Public Schools,Wise,24293,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,1340 Braddock Place,Alexandria,22314,No,Yes,4,4,0,0,0,0,0,0,0,0,2,5,0,0,6,9,4,2,1,0
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,100 Central Circle,Low Moor,24457,No,Yes,0,0,0,0,0,0,0,0,2,0,3,0,0,0,5,0,0,0,2,0
VA,VIRGINIA,5100180,AMELIA CO PBLC SCHS,8701 Otterburn Road Suite 101,Amelia,23002,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,P. O. Box 1257,Amherst,24521,No,Yes,0,1,0,0,0,0,0,0,2,0,5,3,2,0,9,4,0,0,0,2
VA,VIRGINIA,5100240,APPOMATTOX CO PBLC SCHS,P.O. Box 548,Appomattox,24522,No,Yes,1,0,0,0,0,0,0,0,2,1,6,3,1,0,10,4,0,0,1,1
VA,VIRGINIA,5100256,CODERVA REGIONAL HIGH SCHOOL,1405 Cummings Drive Suite 10,Richmond,23220,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
