LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_GT_IND,SCH_GTENR_HI_M,SCH_GTENR_HI_F,SCH_GTENR_AM_M,SCH_GTENR_AM_F,SCH_GTENR_AS_M,SCH_GTENR_AS_F,SCH_GTENR_HP_M,SCH_GTENR_HP_F,SCH_GTENR_BL_M,SCH_GTENR_BL_F,SCH_GTENR_WH_M,SCH_GTENR_WH_F,SCH_GTENR_TR_M,SCH_GTENR_TR_F,TOT_GTENR_M,TOT_GTENR_F,SCH_GTENR_LEP_M,SCH_GTENR_LEP_F,SCH_GTENR_IDEA_M,SCH_GTENR_IDEA_F
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2397,Rappahannock Juvenile Detention Home,510004202397,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2398,Shenandoah Valley Juvenile Detention Home,510004202398,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2399,Middle Peninsula Juvenile Detention Home,510004202399,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2403,Prince William Juv. Detention Home,510004202403,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2476,Virginia Beach Juvenile Detention Home,510004202476,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2890,N.W.  (Northwestern) Regional Juvenile Detention Home,510004202890,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,2558,Virginia School For Deaf,510005802558,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,2559,Virginia School For Blind,510005802559,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000006,No,Yes,0,0,0,0,0,1,0,0,3,2,14,20,0,0,17,23,0,0,1,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,Yes,0,0,0,0,0,0,0,0,0,0,15,11,0,0,15,11,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000009,No,Yes,1,4,0,0,0,0,0,0,0,3,9,22,1,1,11,30,1,1,3,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,12,Pungoteague Elementary,510006000012,No,Yes,1,0,0,0,0,0,0,0,2,4,8,10,0,0,11,14,1,0,1,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,14,Tangier Combined,510006000014,No,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1737,Accawmacke Elementary,510006001737,No,Yes,2,1,0,0,2,1,0,0,4,3,5,12,1,2,14,19,4,3,1,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1738,Metompkin Elementary,510006001738,No,Yes,5,2,0,0,1,0,0,0,0,7,5,4,1,0,12,13,4,1,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2003,Nandua High,510006002003,No,Yes,8,5,0,0,0,0,0,0,7,8,32,34,0,0,47,47,3,0,1,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2028,Arcadia High,510006002028,No,Yes,0,1,0,0,1,0,0,0,6,3,18,18,0,0,25,22,2,3,1,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2433,Nandua Middle,510006002433,No,Yes,1,1,0,0,0,0,0,0,2,5,14,6,0,0,17,12,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2434,Arcadia Middle,510006002434,No,Yes,7,12,0,0,2,0,0,0,3,3,12,20,0,1,24,36,0,0,0,0
VA,VIRGINIA,5100061,MAGGIE L. WALKER GOV SCH,2561,Maggie L. Walker Governor's School,510006102561,No,Yes,8,18,0,0,52,79,0,0,14,39,201,298,14,26,289,460,0,0,1,1
VA,VIRGINIA,5100070,DEPARTMENT OF JUVENILE JUSTICE,2967,Yvonne B. Miller High School,510007002967,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100072,LYNCHBURG CITY SECONDARY ALTERNATIVE,2347,Lynchburg City Secondary Alternative,510007202347,No,Yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VA,VIRGINIA,5100073,ENTERPRISE ACADEMY/NEWPORT NEWS CITY,2348,Enterprise Academy/Newport News City,510007302348,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100074,TIDEWATER REGIONAL ALTERNATIVE ED PROJECT,2349,Tidewater Regional Alternative Ed Project,510007402349,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
