LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_504_M,SCH_ENR_504_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_LEPENR_HI_M,SCH_LEPENR_HI_F,SCH_LEPENR_AM_M,SCH_LEPENR_AM_F,SCH_LEPENR_AS_M,SCH_LEPENR_AS_F,SCH_LEPENR_HP_M,SCH_LEPENR_HP_F,SCH_LEPENR_BL_M,SCH_LEPENR_BL_F,SCH_LEPENR_WH_M,SCH_LEPENR_WH_F,SCH_LEPENR_TR_M,SCH_LEPENR_TR_F,TOT_LEPENR_M,TOT_LEPENR_F,SCH_LEPPROGENR_HI_M,SCH_LEPPROGENR_HI_F,SCH_LEPPROGENR_AM_M,SCH_LEPPROGENR_AM_F,SCH_LEPPROGENR_AS_M,SCH_LEPPROGENR_AS_F,SCH_LEPPROGENR_HP_M,SCH_LEPPROGENR_HP_F,SCH_LEPPROGENR_BL_M,SCH_LEPPROGENR_BL_F,SCH_LEPPROGENR_WH_M,SCH_LEPPROGENR_WH_F,SCH_LEPPROGENR_TR_M,SCH_LEPPROGENR_TR_F,TOT_LEPPROGENR_M,TOT_LEPPROGENR_F,SCH_IDEAENR_HI_M,SCH_IDEAENR_HI_F,SCH_IDEAENR_AM_M,SCH_IDEAENR_AM_F,SCH_IDEAENR_AS_M,SCH_IDEAENR_AS_F,SCH_IDEAENR_HP_M,SCH_IDEAENR_HP_F,SCH_IDEAENR_BL_M,SCH_IDEAENR_BL_F,SCH_IDEAENR_WH_M,SCH_IDEAENR_WH_F,SCH_IDEAENR_TR_M,SCH_IDEAENR_TR_F,TOT_IDEAENR_M,TOT_IDEAENR_F,SCH_IDEAENR_LEP_M,SCH_IDEAENR_LEP_F,SCH_504ENR_HI_M,SCH_504ENR_HI_F,SCH_504ENR_AM_M,SCH_504ENR_AM_F,SCH_504ENR_AS_M,SCH_504ENR_AS_F,SCH_504ENR_HP_M,SCH_504ENR_HP_F,SCH_504ENR_BL_M,SCH_504ENR_BL_F,SCH_504ENR_WH_M,SCH_504ENR_WH_F,SCH_504ENR_TR_M,SCH_504ENR_TR_F,TOT_504ENR_M,TOT_504ENR_F,SCH_504ENR_LEP_M,SCH_504ENR_LEP_F
TX,Texas,4800007,Panther Creek Cisd,6343,Panther Creek School,480000706343,No,3,2,0,0,0,0,0,0,0,0,9,3,0,0,12,5,0,0,3,2,15,12,0,0,1,0,0,0,0,2,66,59,0,1,82,74,0,0,5,2,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,21,13,0,0,22,16,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,5,2,0,0
TX,Texas,4800008,Dripping Springs Isd,1507,Dripping Springs El,480000801507,No,13,10,0,0,2,0,0,0,0,0,16,12,1,1,32,23,6,4,9,4,113,126,2,0,9,14,0,0,2,4,284,278,20,22,430,444,61,67,35,20,71,39,58,64,0,0,1,1,0,0,0,0,1,2,1,0,61,67,58,64,0,0,1,1,0,0,0,0,1,2,1,0,61,67,14,11,1,0,5,0,0,0,0,0,46,27,5,1,71,39,9,6,1,4,0,0,1,0,0,0,0,0,32,16,1,0,35,20,1,0
TX,Texas,4800008,Dripping Springs Isd,1508,Dripping Springs H S,480000801508,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,242,223,5,8,28,24,1,0,10,10,789,735,44,48,1119,1048,35,30,198,160,124,78,29,29,0,0,1,0,0,0,1,0,4,1,0,0,35,30,28,28,0,0,1,0,0,0,1,0,4,1,0,0,34,29,46,26,0,0,2,2,0,0,4,2,67,43,5,5,124,78,10,6,38,37,0,1,3,2,0,0,1,1,142,110,14,9,198,160,3,3
TX,Texas,4800008,Dripping Springs Isd,6094,Dripping Springs Middle,480000806094,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,100,103,0,0,5,4,0,0,5,2,326,297,29,15,465,421,41,37,79,47,70,41,38,36,0,0,0,0,0,0,0,0,1,0,2,1,41,37,37,33,0,0,0,0,0,0,0,0,1,0,1,1,39,34,23,13,0,0,1,0,0,0,3,0,39,27,4,1,70,41,13,6,18,8,0,0,0,1,0,0,0,1,59,35,2,2,79,47,3,5
TX,Texas,4800008,Dripping Springs Isd,6989,Walnut Springs El,480000806989,No,2,8,0,0,0,0,0,0,1,0,12,13,0,0,15,21,0,0,4,7,77,75,0,0,0,2,0,0,4,1,274,254,12,6,367,338,13,9,31,31,74,45,12,9,0,0,0,0,0,0,0,0,1,0,0,0,13,9,12,9,0,0,0,0,0,0,0,0,1,0,0,0,13,9,21,14,0,0,0,0,0,0,2,1,51,30,0,0,74,45,4,5,6,8,0,0,0,0,0,0,0,0,25,23,0,0,31,31,1,0
TX,Texas,4800008,Dripping Springs Isd,11280,Rooster Springs El,480000811280,No,8,2,0,0,1,3,0,0,0,0,10,22,3,3,22,30,1,2,7,7,79,69,0,0,14,9,0,0,8,4,285,296,25,27,411,405,13,18,37,36,73,44,4,7,0,0,3,3,0,0,0,0,5,4,1,4,13,18,4,7,0,0,3,3,0,0,0,0,5,3,1,4,13,17,14,8,0,0,2,2,0,0,2,0,54,32,1,2,73,44,3,3,6,7,0,0,0,0,0,0,2,0,27,28,2,1,37,36,0,0
TX,Texas,4800008,Dripping Springs Isd,13086,Sycamore Springs El,480000813086,No,6,3,0,0,1,0,0,0,0,0,19,13,1,1,27,17,0,0,8,0,84,79,0,0,13,10,0,2,7,10,364,349,35,24,503,474,6,6,59,26,63,36,3,3,0,0,0,1,0,0,0,1,2,1,1,0,6,6,3,3,0,0,0,1,0,0,0,1,2,1,1,0,6,6,15,5,0,0,4,1,0,0,2,1,33,25,9,4,63,36,0,0,5,1,0,0,1,0,0,1,1,0,51,21,1,3,59,26,2,0
TX,Texas,4800008,Dripping Springs Isd,13151,Sycamore Springs Middle,480000813151,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,77,90,0,0,10,9,1,0,2,5,312,317,13,21,415,442,5,7,84,58,59,35,3,2,0,0,1,2,0,0,0,0,1,3,0,0,5,7,2,2,0,0,1,2,0,0,0,0,1,3,0,0,4,7,14,13,0,0,3,0,0,0,0,0,40,20,2,2,59,35,3,2,12,10,0,0,0,1,1,0,0,0,70,45,1,2,84,58,0,1
TX,Texas,4800009,Wimberley Isd,5246,Jacob's Well El,480000905246,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,69,71,0,1,2,2,0,0,4,3,202,176,8,5,285,258,23,23,34,26,47,14,22,23,0,0,1,0,0,0,0,0,0,0,0,0,23,23,22,23,0,0,1,0,0,0,0,0,0,0,0,0,23,23,7,2,0,0,0,0,0,0,0,0,38,12,2,0,47,14,3,1,8,7,0,0,0,1,0,0,0,0,25,15,1,3,34,26,1,1
TX,Texas,4800009,Wimberley Isd,6198,Wimberley H S,480000906198,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,102,109,2,2,2,3,0,0,1,5,309,261,12,6,428,386,7,10,76,49,28,20,7,10,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,7,10,8,7,0,0,0,0,0,0,1,2,16,11,3,0,28,20,3,4,13,9,1,0,0,1,0,0,0,0,60,39,2,0,76,49,0,0
TX,Texas,4800009,Wimberley Isd,6499,Blue Hole Pri,480000906499,No,10,15,1,1,0,0,0,0,0,2,16,28,3,1,30,47,3,6,5,4,66,73,2,4,2,0,1,0,1,3,198,170,13,13,283,263,19,35,9,1,35,12,19,35,0,0,0,0,0,0,0,0,0,0,0,0,19,35,19,34,0,0,0,0,0,0,0,0,0,0,0,0,19,34,9,6,0,0,1,0,0,0,0,0,23,6,2,0,35,12,5,2,0,1,0,0,0,0,0,0,0,0,8,0,1,0,9,1,0,1
TX,Texas,4800009,Wimberley Isd,7342,Danforth J H,480000907342,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,79,87,2,5,0,2,0,0,2,1,208,222,6,8,297,325,11,13,58,44,30,25,11,12,0,0,0,1,0,0,0,0,0,0,0,0,11,13,11,12,0,0,0,1,0,0,0,0,0,0,0,0,11,13,8,9,1,1,0,0,0,0,1,1,19,14,1,0,30,25,2,2,14,10,0,0,0,1,0,0,0,0,44,31,0,2,58,44,1,0
