LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,SCH_ABSENT_AM_M,SCH_ABSENT_AS_M,SCH_ABSENT_BL_M,SCH_ABSENT_HI_M,SCH_ABSENT_MU_M,SCH_ABSENT_PI_M,SCH_ABSENT_WH_M,SCH_ABSENT_AM_F,SCH_ABSENT_AS_F,SCH_ABSENT_BL_F,SCH_ABSENT_HI_F,SCH_ABSENT_MU_F,SCH_ABSENT_PI_F,SCH_ABSENT_WH_F,SCH_ABSENT_EUT,SCH_ABSENT_IDEA_M,SCH_ABSENT_IDEA_F,SCH_ABSENT_504_M,SCH_ABSENT_504_F,SCH_ABSENT_LEP_M,SCH_ABSENT_LEP_F,SCH_ABSENT_HMENRL_M,SCH_ABSENT_HMENRL_F
TX,TEXAS,4800010,HAYS CISD,6990,ALTER IMPACT CTR,480001006990,-8,-8,-8,19,-8,-8,3,-8,-8,-8,7,-8,-8,2,31,5,3,6,2,3,1,1,-8
TX,TEXAS,4800010,HAYS CISD,7343,BUDA EL,480001007343,-8,1,5,32,2,-8,13,-8,-8,4,34,-8,-8,9,100,17,12,7,3,5,1,4,4
TX,TEXAS,4800010,HAYS CISD,8835,LIVE OAK ACADEMY,480001008835,-8,-8,4,102,-8,-8,28,-8,-8,2,68,4,-8,25,233,20,11,31,15,24,12,4,9
TX,TEXAS,4800010,HAYS CISD,8836,ERIC DAHLSTROM MIDDLE,480001008836,1,-8,2,14,3,1,29,-8,-8,-8,13,1,-8,12,76,15,8,13,4,3,2,-8,1
TX,TEXAS,4800010,HAYS CISD,8837,LAURA B WALLACE MIDDLE,480001008837,-8,1,1,75,1,-8,11,-8,1,6,63,2,-8,8,169,23,14,17,14,18,11,1,2
TX,TEXAS,4800010,HAYS CISD,8838,ELM GROVE EL,480001008838,-8,-8,-8,8,-8,-8,15,-8,-8,-8,9,2,-8,15,49,9,6,2,2,-8,-8,-8,-8
TX,TEXAS,4800010,HAYS CISD,8839,SUSIE FUENTES EL,480001008839,-8,-8,2,51,4,-8,12,-8,2,2,35,1,-8,15,124,22,10,1,3,4,4,3,4
TX,TEXAS,4800010,HAYS CISD,8840,HEMPHILL EL,480001008840,-8,1,2,49,-8,-8,8,-8,-8,2,38,2,-8,5,107,15,3,2,-8,4,5,5,6
TX,TEXAS,4800010,HAYS CISD,9290,TOBIAS EL,480001009290,-8,1,5,40,3,-8,12,-8,1,3,36,-8,-8,13,114,21,5,7,3,1,1,1,3
TX,TEXAS,4800010,HAYS CISD,9624,LEHMAN H S,480001009624,-8,4,15,398,4,2,56,-8,2,10,325,3,-8,41,860,71,48,75,40,121,89,12,11
TX,TEXAS,4800010,HAYS CISD,10804,ARMANDO CHAPA MIDDLE,480001010804,-8,-8,4,69,5,-8,9,-8,-8,3,69,-8,-8,14,173,16,10,13,4,22,22,2,-8
TX,TEXAS,4800010,HAYS CISD,10805,D J RED SIMON MIDDLE,480001010805,-8,1,1,152,-8,-8,6,-8,-8,3,130,1,-8,8,302,35,13,24,16,91,70,4,7
TX,TEXAS,4800010,HAYS CISD,10806,LAURA B NEGLEY EL,480001010806,-8,-8,3,20,-8,-8,10,-8,-8,-8,20,-8,-8,10,63,10,1,2,3,1,-8,3,3
TX,TEXAS,4800010,HAYS CISD,10807,SCIENCE HALL EL,480001010807,-8,-8,1,48,1,-8,4,-8,-8,-8,32,-8,-8,3,89,12,1,3,2,18,17,8,4
TX,TEXAS,4800010,HAYS CISD,10808,BLANCO VISTA EL,480001010808,-8,-8,3,65,1,-8,14,-8,-8,1,39,-8,-8,13,136,17,6,7,6,43,25,2,2
TX,TEXAS,4800010,HAYS CISD,10809,CAMINO REAL EL,480001010809,-8,-8,-8,118,-8,-8,7,-8,-8,2,112,-8,-8,6,245,30,14,11,9,72,63,11,8
TX,TEXAS,4800010,HAYS CISD,11534,CARPENTER HILL EL,480001011534,-8,-8,-8,18,4,-8,14,-8,-8,1,13,2,1,20,73,7,4,2,3,1,-8,-8,-8
TX,TEXAS,4800010,HAYS CISD,12146,RALPH PFLUGER EL,480001012146,-8,2,3,54,2,-8,9,-8,-8,2,39,1,-8,12,124,20,10,3,2,8,3,4,2
TX,TEXAS,4800010,HAYS CISD,13113,DR T C MCCORMICK JR MIDDLE,480001013113,1,1,4,135,5,-8,17,1,2,3,126,3,-8,15,313,25,25,26,16,63,56,8,13
