LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
TX,TEXAS,4800010,HAYS CISD,6199,R C BARTON MIDDLE,480001006199,No,-8,-8,1,16,2,-8,8,-8,-8,2,10,-8,-8,4,27,16,6,1,-8,-8,2,-8,1,-8
TX,TEXAS,4800010,HAYS CISD,6346,TOM GREEN EL,480001006346,No,-8,-8,1,31,-8,-8,5,-8,-8,-8,20,1,-8,9,37,30,11,2,-8,-8,10,7,4,5
TX,TEXAS,4800010,HAYS CISD,7343,BUDA EL,480001007343,No,-8,-8,-8,10,1,-8,3,-8,-8,1,9,1,-8,8,14,19,5,6,-8,-8,2,-8,2,5
TX,TEXAS,4800010,HAYS CISD,8835,LIVE OAK ACADEMY,480001008835,No,-8,-8,3,35,-8,-8,29,-8,1,5,58,3,-8,30,67,97,11,7,-8,-8,2,3,3,8
TX,TEXAS,4800010,HAYS CISD,8836,ERIC DAHLSTROM MIDDLE,480001008836,No,-8,-8,-8,4,-8,-8,10,-8,-8,2,8,-8,-8,16,14,26,3,3,-8,-8,-8,2,1,-8
TX,TEXAS,4800010,HAYS CISD,8837,LAURA B WALLACE MIDDLE,480001008837,No,1,-8,-8,33,3,-8,10,-8,-8,1,32,1,-8,21,47,55,12,10,-8,-8,5,5,1,4
TX,TEXAS,4800010,HAYS CISD,8838,ELM GROVE EL,480001008838,No,-8,-8,-8,2,1,-8,7,-8,-8,-8,5,1,-8,10,10,16,2,3,-8,-8,1,1,-8,-8
TX,TEXAS,4800010,HAYS CISD,8839,SUSIE FUENTES EL,480001008839,No,-8,-8,1,13,1,-8,9,-8,-8,-8,21,-8,-8,8,24,29,4,6,-8,-8,1,1,1,1
TX,TEXAS,4800010,HAYS CISD,8840,HEMPHILL EL,480001008840,No,-8,-8,-8,29,-8,-8,4,-8,-8,1,46,1,-8,3,33,51,4,11,-8,-8,16,21,4,7
TX,TEXAS,4800010,HAYS CISD,9290,TOBIAS EL,480001009290,No,-8,1,1,20,3,-8,6,-8,-8,1,19,1,-8,12,31,33,9,5,-8,-8,1,1,3,2
TX,TEXAS,4800010,HAYS CISD,9624,LEHMAN H S,480001009624,No,1,1,11,224,4,-8,40,-8,-8,15,223,5,-8,38,281,281,59,54,-8,-8,50,22,14,28
TX,TEXAS,4800010,HAYS CISD,10804,ARMANDO CHAPA MIDDLE,480001010804,No,-8,-8,-8,39,1,-8,11,-8,-8,-8,44,-8,-8,7,51,51,10,11,-8,-8,6,3,1,3
TX,TEXAS,4800010,HAYS CISD,10805,D J RED SIMON MIDDLE,480001010805,No,-8,-8,1,44,-8,-8,13,-8,-8,1,37,3,-8,5,58,46,13,9,-8,-8,11,12,6,6
TX,TEXAS,4800010,HAYS CISD,10806,LAURA B NEGLEY EL,480001010806,No,-8,-8,1,10,-8,-8,10,-8,-8,-8,13,1,-8,13,21,27,10,4,-8,-8,2,1,2,4
TX,TEXAS,4800010,HAYS CISD,10807,SCIENCE HALL EL,480001010807,No,-8,-8,1,29,-8,-8,7,-8,-8,3,25,-8,-8,2,37,30,9,2,-8,-8,10,9,4,4
TX,TEXAS,4800010,HAYS CISD,10808,BLANCO VISTA EL,480001010808,No,-8,1,2,27,-8,-8,9,-8,-8,4,29,-8,-8,7,39,40,6,3,-8,-8,11,12,2,4
TX,TEXAS,4800010,HAYS CISD,10809,CAMINO REAL EL,480001010809,No,-8,-8,-8,39,1,-8,8,-8,-8,-8,27,-8,-8,5,48,32,7,5,-8,-8,26,15,4,2
TX,TEXAS,4800010,HAYS CISD,11534,CARPENTER HILL EL,480001011534,No,-8,-8,-8,7,-8,-8,7,-8,-8,-8,3,-8,-8,8,14,11,5,2,-8,-8,1,-8,-8,1
TX,TEXAS,4800010,HAYS CISD,12146,RALPH PFLUGER EL,480001012146,No,-8,-8,1,17,2,-8,9,-8,-8,1,22,1,1,5,29,30,10,8,-8,-8,-8,-8,3,1
TX,TEXAS,4800010,HAYS CISD,13113,DR T C MCCORMICK JR MIDDLE,480001013113,No,-8,1,1,35,2,-8,9,-8,-8,1,27,1,2,8,48,39,13,6,-8,-8,7,6,4,1
TX,TEXAS,4800011,ALVARADO ISD,128,ALVARADO H S,480001100128,No,1,-8,-8,37,3,-8,58,-8,-8,4,28,3,-8,42,99,77,16,6,-8,-8,7,7,4,4
TX,TEXAS,4800011,ALVARADO ISD,129,ALVARADO J H,480001100129,No,2,-8,2,12,2,-8,35,-8,-8,2,9,2,-8,15,53,28,6,2,-8,-8,1,1,1,2
TX,TEXAS,4800011,ALVARADO ISD,130,ALVARADO EL-SOUTH,480001100130,No,-8,-8,2,4,1,-8,16,-8,-8,1,6,1,-8,10,23,18,3,2,-8,-8,2,2,-8,2
TX,TEXAS,4800011,ALVARADO ISD,3090,LILLIAN EL,480001103090,No,-8,-8,-8,18,-8,-8,9,-8,-8,-8,7,2,-8,9,27,18,4,-8,-8,-8,8,4,1,-8
TX,TEXAS,4800011,ALVARADO ISD,6201,ALVARADO EL-NORTH,480001106201,No,-8,-8,-8,6,1,-8,16,-8,1,1,8,1,-8,13,23,24,6,2,-8,-8,-8,1,1,-8
TX,TEXAS,4800011,ALVARADO ISD,7367,ALVARADO INT,480001107367,No,-8,-8,-8,7,1,-8,22,-8,-8,1,9,-8,1,15,30,26,7,1,-8,-8,1,2,2,3
TX,TEXAS,4800012,CHISUM ISD,1430,CHISUM EL,480001201430,No,1,-8,1,5,2,-8,14,-8,-8,-8,1,-8,-8,11,23,12,10,-8,-8,-8,1,-8,3,2
