LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_GT_IND,SCH_GTENR_HI_M,SCH_GTENR_HI_F,SCH_GTENR_AM_M,SCH_GTENR_AM_F,SCH_GTENR_AS_M,SCH_GTENR_AS_F,SCH_GTENR_HP_M,SCH_GTENR_HP_F,SCH_GTENR_BL_M,SCH_GTENR_BL_F,SCH_GTENR_WH_M,SCH_GTENR_WH_F,SCH_GTENR_TR_M,SCH_GTENR_TR_F,TOT_GTENR_M,TOT_GTENR_F,SCH_GTENR_LEP_M,SCH_GTENR_LEP_F,SCH_GTENR_IDEA_M,SCH_GTENR_IDEA_F
TX,Texas,4800010,Hays Cisd,8840,Hemphill El,480001008840,No,Yes,4,2,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0
TX,Texas,4800010,Hays Cisd,9290,Tobias El,480001009290,No,Yes,8,6,0,0,0,0,0,0,0,0,4,5,0,0,12,11,0,0,1,0
TX,Texas,4800010,Hays Cisd,9624,Lehman H S,480001009624,No,Yes,55,47,0,0,0,0,0,0,2,2,21,16,1,1,79,66,3,1,0,0
TX,Texas,4800010,Hays Cisd,10804,Armando Chapa Middle,480001010804,No,Yes,12,12,0,0,0,0,0,0,0,1,6,6,0,0,18,19,0,0,0,1
TX,Texas,4800010,Hays Cisd,10805,D J Red Simon Middle,480001010805,No,Yes,5,12,0,0,0,0,0,0,0,1,1,2,0,0,6,15,2,2,0,0
TX,Texas,4800010,Hays Cisd,10806,Laura B Negley El,480001010806,No,Yes,14,10,0,1,0,0,0,0,1,0,21,16,1,1,37,28,0,1,3,0
TX,Texas,4800010,Hays Cisd,10807,Science Hall El,480001010807,No,Yes,13,11,0,0,1,0,0,0,0,1,2,1,0,0,16,13,10,5,1,0
TX,Texas,4800010,Hays Cisd,10808,Blanco Vista El,480001010808,No,Yes,5,7,0,0,0,0,0,0,0,0,6,3,1,0,12,10,1,2,1,0
TX,Texas,4800010,Hays Cisd,10809,Camino Real El,480001010809,No,Yes,5,4,0,0,0,0,0,0,0,0,4,0,0,0,9,4,4,3,1,0
TX,Texas,4800010,Hays Cisd,11534,Carpenter Hill El,480001011534,No,Yes,11,3,0,0,1,0,0,0,0,0,22,13,4,0,38,16,0,0,3,0
