state,category,link_text,url,source_page,description
hawaii,other,All SFAs – October 2015 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2016/01/NSLP008-October-Data-Report.xls,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2015 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2015 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2016/01/NSLP008-October-Data-Report.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2015 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2014 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/NSLP008-October-Data-Report.xls,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2014 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2014 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/NSLP008-October-Data-Report.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2014 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs Oct 2013 Excel,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/FISCAL-All-SFAs-Oct-2013-excel.xls,https://hcnp.hawaii.gov/fiscal/,All SFAs Oct 2013 Excel (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs Oct 2013 PDF,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/FISCAL-All-SFAs-Oct-2013-PDF.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs Oct 2013 PDF (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,"All SFAs and Site Attendance Factors, and Oct 12 Free and Reduced Price Eligibility Data v2",https://hcnp.hawaii.gov/wp-content/uploads/2013/09/12-All-SFAs-and-Site-Attendance-Factors-and-Oct-12-Free-and-Reduced-Price-Eligibility-Data-v2.xls,https://hcnp.hawaii.gov/fiscal/,"All SFAs and Site Attendance Factors, and Oct 12 Free and Reduced Price Eligibility Data v2 (from https://hcnp.hawaii.gov/fiscal/)"
hawaii,other,HI DOE School Sites – Oct 12 Free and reduced Price Eligibility Data,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/12-HIi-DOE-School-Sites-Oct-12-Free-and-reduced-Price-Eligibility-Data.xls,https://hcnp.hawaii.gov/fiscal/,HI DOE School Sites – Oct 12 Free and reduced Price Eligibility Data (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All HI School Food Authorities – Alpha,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/11-All-HI-School-Food-Authorities-Alpha.xls,https://hcnp.hawaii.gov/fiscal/,All HI School Food Authorities – Alpha (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All HI School Food Authorities – Free & Reduced Percentage,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/11-All-HIi-School-Food-Authorities-Free-Reduced-Percentage.xls,https://hcnp.hawaii.gov/fiscal/,All HI School Food Authorities – Free & Reduced Percentage (from https://hcnp.hawaii.gov/fiscal/)
