state,category,dataset_title,resource_name,format,url,description
virginia,enrollment,1997 Fall Membership Division Summary Excluding PK and UG,1997 Fall Membership Division Summary,XLSX,https://data.virginia.gov/dataset/8e7d532c-89d9-49db-9b03-7382bad6e588/resource/12733572-b823-4336-8a95-87bd109d472b/download/1997-fall-membership-division-summary-excluding.xlsx,1997 Fall Membership Division Summary Excluding PK and UG — 1997 Fall Membership Division Summary
virginia,enrollment,1999 Fall Membership Division Summary, 1999 Fall Membership Division Summary,XLSX,https://data.virginia.gov/dataset/6d4dbb0a-fa0d-4b08-8806-c232805b3701/resource/a4afddc6-20cb-49ad-b869-2db9ba72292f/download/99-fall-membership-division-summary.xlsx,1999 Fall Membership Division Summary —  1999 Fall Membership Division Summary
virginia,other,Total Instructional Positions and Average Annual Salaries - 2023,Total Instructional Positions and Average Annual Salaries  - 2023,XLSX,https://data.virginia.gov/dataset/b0c9a049-58f1-4d24-bd9f-c5cd1d9f1437/resource/eef69274-7523-4b5b-b76e-b43bfb466589/download/2022-2023-superintendents-annual-report-table-19.xlsx,Total Instructional Positions and Average Annual Salaries - 2023 — Total Instructional Positions and Average Annual Salaries  - 2023
virginia,other,Age/Grade Distribution 2022 - 2023,Age/Grade Distribution 2022 - 2023,XLSX,https://data.virginia.gov/dataset/ae3dd46b-6367-476f-8cef-164e7c896038/resource/e1353f36-a81c-42ee-bc0d-26dff7164929/download/2022-23-table-7.xlsx,Age/Grade Distribution 2022 - 2023 — Age/Grade Distribution 2022 - 2023
virginia,enrollment,1996-1997 Fall Membership Division Summaries by Ethnic Group,1996-1997 Fall Membership Division Summaries by Ethnic Group,XLSX,https://data.virginia.gov/dataset/b908907c-c175-4f85-8210-5a0150120dfe/resource/f1f3ce12-56fd-4717-9284-4a56701659c8/download/96-97-fall-mem-division-and-ethnicity.xlsx,1996-1997 Fall Membership Division Summaries by Ethnic Group — 1996-1997 Fall Membership Division Summaries by Ethnic Group
virginia,enrollment,2007-2008 Fall Membership School Totals by Grade,2007-2008 Fall Membership School Totals by Grade,XLSX,https://data.virginia.gov/dataset/a6f1271b-3d08-4b78-9a5a-03ce62fa5622/resource/6239807c-75f0-4cd7-bf15-9425b6e48781/download/school-totals-by-grade-2007.xls,2007-2008 Fall Membership School Totals by Grade — 2007-2008 Fall Membership School Totals by Grade
virginia,other,2016-2017 Gifted Annual Report,2016-2017 Gifted Annual Report,PDF,https://data.virginia.gov/dataset/8579cd00-e12a-49c5-91ac-080106a4a8c6/resource/9930653b-a0c5-41ab-a93d-161ecd87e8d0/download/2016-2017-gifted.pdf,2016-2017 Gifted Annual Report — 2016-2017 Gifted Annual Report
virginia,other,Local and Regional Schools and Centers 2012-13,Local and Regional Schools and Centers 2012-13 ,PDF,https://data.virginia.gov/dataset/ef29bba4-36d9-451d-9d35-98262575b838/resource/0714a715-73dd-4fd3-849e-57cbb399dce9/download/2012_13_local_reg_sch_ctrs_a.pdf,Local and Regional Schools and Centers 2012-13 — Local and Regional Schools and Centers 2012-13 
virginia,other,Annual Reports of Graduates & Completers - Graduate by Diploma Type 2022 - 2023,Division totals type 2022-2023,XLS,https://data.virginia.gov/dataset/82cda990-3166-460b-b70c-7b485f4dc52d/resource/9ad5c48f-9947-4ca7-9819-15538748dcc1/download/2022-2023-division-totals-doctype.xls,Annual Reports of Graduates & Completers - Graduate by Diploma Type 2022 - 2023 — Division totals type 2022-2023
virginia,test_scores,2022-2023 Division Participation Rates,2022- 2023 Division Participation Rates,XLSX,https://data.virginia.gov/dataset/d5d1ce25-0524-443a-be90-c741b295cef8/resource/3d135d90-3b9f-491e-8c0f-f507eb2a86c5/download/division_particpation_rates_2022_2023.xlsx,2022-2023 Division Participation Rates — 2022- 2023 Division Participation Rates
virginia,other,Local and Regional Schools and Centers 2014-15,Local and Regional Schools and Centers 2014-15,PDF,https://data.virginia.gov/dataset/867b75ee-95b8-4146-9abb-5a69039ee843/resource/9184b421-f53e-4585-89c6-c0a81613389e/download/2014_15_local_reg_sch_ctrs_a.pdf,Local and Regional Schools and Centers 2014-15 — Local and Regional Schools and Centers 2014-15
virginia,other,Total Instructional Positions and Average Annual Salaries - 2022,Total Instructional Positions and Average Annual Salaries - 2022,XLSX,https://data.virginia.gov/dataset/eb607c72-3a05-410e-8e6b-814dc708cd55/resource/0445c89a-02dc-4b66-8e0b-f157d5839c2b/download/table19-fy22.xlsx,Total Instructional Positions and Average Annual Salaries - 2022 — Total Instructional Positions and Average Annual Salaries - 2022
virginia,enrollment,1998-1999 Fall Membership Division Summaries by Ethnic Group,1998 - 1999 Fall Membership Division Summaries by Ethnic Group,XLSX,https://data.virginia.gov/dataset/b3596896-2898-451d-bb6a-80a725815b71/resource/acc947df-0f76-4459-9c23-5625a4f61ff4/download/98-99-division-by-ethnicity.xlsx,1998-1999 Fall Membership Division Summaries by Ethnic Group — 1998 - 1999 Fall Membership Division Summaries by Ethnic Group
virginia,enrollment,2005-2006 Fall Membership Division Totals by Grade,05 Division Totals by Grade,XLSX,https://data.virginia.gov/dataset/78058962-0b32-4312-bf3f-2f106fd2c475/resource/b0a364ea-1bb1-4456-9d83-00c07929a12a/download/05-division-totals-by-grade.xls,2005-2006 Fall Membership Division Totals by Grade — 05 Division Totals by Grade
virginia,enrollment,1996 Fall Membership Division Summary Excluding PK And PG,1996 Fall Membership Division Summary Excluding PK and PG ,XLSX,https://data.virginia.gov/dataset/2edf0e9d-0525-421b-b304-3ef2e91e0527/resource/b10729e2-03a3-46d6-b42d-e5a5e49ad4ad/download/1996-fall-mem-division-summary.xlsx,1996 Fall Membership Division Summary Excluding PK And PG — 1996 Fall Membership Division Summary Excluding PK and PG 
virginia,other,Local and Regional Schools and Centers 2022 - 2023,2022-23-local-and-regional-schools,XLSX,https://data.virginia.gov/dataset/852fc612-5dbc-4754-b89c-ee06c8c31d69/resource/a1d270b7-8f38-4562-afe2-df40f134f287/download/2022-23-local-and-regional-schools.xlsx,Local and Regional Schools and Centers 2022 - 2023 — 2022-23-local-and-regional-schools
virginia,enrollment,Fall Membership Statistics 2022- 2023,Fall membership statistics 2022 - 2023,CSV,https://data.virginia.gov/dataset/45f92067-e220-4412-8c7c-f21e27564432/resource/a21478a1-90d8-4f13-bc14-4c93eeeef0ea/download/fall_membership_statistics-4.csv,Fall Membership Statistics 2022- 2023 — Fall membership statistics 2022 - 2023
virginia,test_scores,Division Subject-Area 2015-2018,2015- 2018-division-subject-area,CSV,https://data.virginia.gov/dataset/c0ec08c8-9b01-452b-a14c-eff7d54e6410/resource/703ef5b4-9df3-4c1f-89f5-4ffdd95d726d/download/2017-2018-division-subject-area.xlsx,Division Subject-Area 2015-2018 — 2015- 2018-division-subject-area
virginia,enrollment,Student Enrollment and Attendance Data by Teaching Modality - 2020 - 2021,Mode of Instruction 2020 - 2021,XLSX,https://data.virginia.gov/dataset/94d44272-9504-4965-9a60-7f08405bd6e7/resource/2aa0dee9-3dd2-41c4-b487-38639bb3ac4f/download/2020-2021-mode-of-instruction.xlsx,Student Enrollment and Attendance Data by Teaching Modality - 2020 - 2021 — Mode of Instruction 2020 - 2021
virginia,other,Superintendent's Annual Report - Receipts of Division - Fiscal Year 2020,Fiscal Year 2020,XLSX,https://data.virginia.gov/dataset/f2b18957-4a96-444c-817b-adb257f46701/resource/a19f00d0-ee50-4374-ba90-bb54fd2653be/download/table-12-fy20.xlsx,Superintendent's Annual Report - Receipts of Division - Fiscal Year 2020 — Fiscal Year 2020
virginia,enrollment,"School Enrollment Projections data - April 15, 2024","School Enrollment Projections data - April 15, 2024",XLSX,https://data.virginia.gov/dataset/0be90d34-daa1-4602-8334-0f0905e3cdd8/resource/45d227dd-1a81-4b26-a94c-a20215e51b82/download/school_enrollment_projections_2024-04-15.xlsx,"School Enrollment Projections data - April 15, 2024 — School Enrollment Projections data - April 15, 2024"
virginia,other,Report of Graduates 2002-03,2002-03 Report of Combined Term High School Graduates by Document Type.,PDF,https://data.virginia.gov/dataset/80714336-ac87-4a0e-8ea1-c7281a1f43cc/resource/945cd2e6-04c4-437a-b5ee-79dd216d4f9f/download/grad-sch0203.pdf,Report of Graduates 2002-03 — 2002-03 Report of Combined Term High School Graduates by Document Type.
virginia,other,Report of Graduates 2002-03,2002-03 Combined Term High School Graduates by Continuing Education Plans,PDF,https://data.virginia.gov/dataset/80714336-ac87-4a0e-8ea1-c7281a1f43cc/resource/14dc3b9d-8267-4207-a6d9-b6053edeb7be/download/gradp0203.pdf,Report of Graduates 2002-03 — 2002-03 Combined Term High School Graduates by Continuing Education Plans
virginia,other,Report of Graduates 2002-03,2002-03 Report of Graduate and Completer Totals by School. ,PDF,https://data.virginia.gov/dataset/80714336-ac87-4a0e-8ea1-c7281a1f43cc/resource/58d833aa-458d-4d9e-945f-8d66c5351491/download/gradd0203.pdf,Report of Graduates 2002-03 — 2002-03 Report of Graduate and Completer Totals by School. 
virginia,enrollment,"Number of Days Taught, ADA, ADM 2019 - 2020","Number of Days Taught, ADA, ADM 2019 - 2020",XLSX,https://data.virginia.gov/dataset/dcf72521-462d-479c-a210-df18703d7bf1/resource/b79802c7-c348-4e51-b6f8-6ddd5d02c73c/download/2019-2020-table-08.xlsx,"Number of Days Taught, ADA, ADM 2019 - 2020 — Number of Days Taught, ADA, ADM 2019 - 2020"
virginia,enrollment,2007-08 Division Totals by Grade,2007-08 Division Totals by Grade,XLSX,https://data.virginia.gov/dataset/03fd8063-581a-4694-86fe-0f76e161cb74/resource/9d08025c-802d-404d-9017-5a40d4404791/download/div-totals-by-grade-2007.xls,2007-08 Division Totals by Grade — 2007-08 Division Totals by Grade
virginia,discipline,Dropout Information 2022 - 2023,Dropout information,XLSX,https://data.virginia.gov/dataset/373330cf-804a-4c13-a476-98ce93cfb484/resource/5ef440c8-e43e-4ab5-bfde-74d50067e640/download/2022-23-table-6.xlsx,Dropout Information 2022 - 2023 — Dropout information
virginia,other,Superintendent's Annual Report - Disbursements by Division - Fiscal Year - 2023,Disbursements by Division 2022  - 2023,XLSX,https://data.virginia.gov/dataset/50886103-c8a6-4180-8de7-6c52dbfe700a/resource/1dd73310-c811-41ac-acab-c381617831ca/download/2022-2023-superintendents-annual-report-table-13_-disbursements-by-division.xlsx,Superintendent's Annual Report - Disbursements by Division - Fiscal Year - 2023 — Disbursements by Division 2022  - 2023
