url,category,description,source,dataset_title,format
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Enrollment/All-Enrollment/Enrollment-Overall.xlsx,enrollment,CRDC: 2017-18 Student Enrollment Civil Rights Data Collection — Enrollment-Overall.xlsx,CRDC,2017-18 Student Enrollment Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Staff/School-Support-Staff/Counselors_High-School.xlsx,teachers,CRDC: 2017-18 School Staff Civil Rights Data Collection — Counselors High School,CRDC,2017-18 School Staff Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Staff/Classroom-Teachers/Teacher-Certification-and-Years-of-Experience.xlsx,teachers,CRDC: 2017-18 School Staff Civil Rights Data Collection — Teacher Certification and Years of Experience,CRDC,2017-18 School Staff Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Programs/International-Baccalaureate-(IB)/IB-Enrollment-by-state.xlsx,enrollment,CRDC: 2017-18 School Programs Civil Rights Data Collection — International Baccalaureate Enrollment,CRDC,2017-18 School Programs Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Programs/Gifted-and-Talented/Gifted-Talented-Enrollment.xlsx,enrollment,CRDC: 2017-18 School Programs Civil Rights Data Collection — Gifted and Talented Enrollment,CRDC,2017-18 School Programs Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Programs/English-Language-Instruction-Education-Programs/English-Language-Instruction-Programs.xlsx,other,CRDC: 2017-18 School Programs Civil Rights Data Collection — English Language Instruction Program Enrollment,CRDC,2017-18 School Programs Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Discipline/Discipline/Preschool-Discipline.xlsx,discipline,CRDC: 2017-18 Preschool Discipline Civil Rights Data Collection — Incidents of Preschool corporal punishment and suspension,CRDC,2017-18 Preschool Discipline Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Discipline/Discipline/Preschool-One-or-More-Out-of-School-Suspensions.xlsx,discipline,CRDC: 2017-18 Preschool Discipline Civil Rights Data Collection — Preschool one or more out-of-school suspensions,CRDC,2017-18 Preschool Discipline Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Discipline/Discipline/Preschool-One-Out-of-School-Suspension.xlsx,discipline,CRDC: 2017-18 Preschool Discipline Civil Rights Data Collection — Preschool one out-of-school suspension,CRDC,2017-18 Preschool Discipline Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Discipline/Discipline/Preschool-Expulsions.xlsx,discipline,CRDC: 2017-18 Preschool Discipline Civil Rights Data Collection — Preschool expulsions,CRDC,2017-18 Preschool Discipline Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Discipline/Discipline/Preschool-More-than-One-Out-of-School-Suspension.xlsx,discipline,CRDC: 2017-18 Preschool Discipline Civil Rights Data Collection — Preschool more than one out-of-school suspension,CRDC,2017-18 Preschool Discipline Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Discipline/Discipline/Preschool-Corporal-Punishment.xlsx,discipline,CRDC: 2017-18 Preschool Discipline Civil Rights Data Collection — Preschool corporal punishment,CRDC,2017-18 Preschool Discipline Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-12.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 12,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-11.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 11,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-10.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 10,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-9.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 9,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-8.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 8,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-7.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 7,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-6.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 6,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-5.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 5,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-4.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 4,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-3.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 3,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-2.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 2,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Grade-1.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Grade 1,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Student-Retention/Retention-(by-grade)/Retention-in-Kindergarten.xlsx,other,CRDC: 2017-18 Student Retention Civil Rights Data Collection — Kindergarten,CRDC,2017-18 Student Retention Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/College-Prepatory-Exams/SAT-ACT/SAT-or-ACT-Participation-by-state.xlsx,other,CRDC: 2017-18 College Preparatory Exams Civil Rights Data Collection — SAT/ACT Participation,CRDC,2017-18 College Preparatory Exams Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/College-Prepatory-Exams/Advanced-Placement-Exams/Advanced-Placement-Participation-by-state_Took-Exam.xlsx,other,CRDC: 2017-18 College Preparatory Exams Civil Rights Data Collection — Took AP Exam,CRDC,2017-18 College Preparatory Exams Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/College-Prepatory-Exams/Advanced-Placement-Exams/Advanced-Placement-Participation-by-state_Did-Not-Take-Exam.xlsx,other,CRDC: 2017-18 College Preparatory Exams Civil Rights Data Collection — Did not take AP Exam,CRDC,2017-18 College Preparatory Exams Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Advanced-Placement-(courses)/Advanced-Placement-Other-Subjects-Enrollment.xlsx,enrollment,CRDC: 2017-18 Advanced Placement Courses Civil Rights Data Collection — AP other subjects,CRDC,2017-18 Advanced Placement Courses Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Advanced-Placement-(courses)/Advanced-Placement-Science-Enrollment.xlsx,enrollment,CRDC: 2017-18 Advanced Placement Courses Civil Rights Data Collection — AP science,CRDC,2017-18 Advanced Placement Courses Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Advanced-Placement-(courses)/Advanced-Placement-Mathematics-Enrollment.xlsx,enrollment,CRDC: 2017-18 Advanced Placement Courses Civil Rights Data Collection — AP mathematics,CRDC,2017-18 Advanced Placement Courses Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Course-Enrollment/Advanced-Placement-(courses)/Advanced-Placement-Enrollment.xlsx,enrollment,CRDC: 2017-18 Advanced Placement Courses Civil Rights Data Collection — Advanced Placement Total Enrollment,CRDC,2017-18 Advanced Placement Courses Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-disability_discplined.xlsx,discipline,CRDC: 2017-18 Harassment or Bullying Civil Rights Data Collection — On basis of disability - disciplined,CRDC,2017-18 Harassment or Bullying Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-disability_reported.xlsx,discipline,CRDC: 2017-18 Harassment or Bullying Civil Rights Data Collection — On basis of disability - reported,CRDC,2017-18 Harassment or Bullying Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-race_disciplined.xlsx,discipline,CRDC: 2017-18 Harassment or Bullying Civil Rights Data Collection — On basis of race - disciplined,CRDC,2017-18 Harassment or Bullying Civil Rights Data Collection,XLSX
