state,category,link_text,url,source_page,description
hawaii,other,BOE Policy 500-21 Student Information and Confidential Records (PDF),https://boe.hawaii.gov/policies/Board%20Policies/Student%20Information%20and%20Confidential%20Records.pdf,https://hawaiipublicschools.org/data-reports/research-and-data-requests/,BOE Policy 500-21 Student Information and Confidential Records (PDF) (from https://hawaiipublicschools.org/data-reports/research-and-data-requests/)
hawaii,other,Application for Proposed Research Projects (PDF),https://hawaiipublicschools.org/DOE%20Forms/DataGov/ResearchApplication.pdf,https://hawaiipublicschools.org/data-reports/research-and-data-requests/,Application for Proposed Research Projects (PDF) (from https://hawaiipublicschools.org/data-reports/research-and-data-requests/)
hawaii,other,Research Review Committee Meeting Schedule 2025-26 (PDF),https://hawaiipublicschools.org/wp-content/uploads/Research-Schedule.pdf,https://hawaiipublicschools.org/data-reports/research-and-data-requests/,Research Review Committee Meeting Schedule 2025-26 (PDF) (from https://hawaiipublicschools.org/data-reports/research-and-data-requests/)
hawaii,other,Adult Participant Consent Form Guidance and Checklist (PDF),https://hawaiipublicschools.org/DOE%20Forms/DataGov/AdultConsent.pdf,https://hawaiipublicschools.org/data-reports/research-and-data-requests/,Adult Participant Consent Form Guidance and Checklist (PDF) (from https://hawaiipublicschools.org/data-reports/research-and-data-requests/)
hawaii,other,Student Assent Form Guidance and Checklist (PDF),https://hawaiipublicschools.org/DOE%20Forms/DataGov/StudentAssent.pdf,https://hawaiipublicschools.org/data-reports/research-and-data-requests/,Student Assent Form Guidance and Checklist (PDF) (from https://hawaiipublicschools.org/data-reports/research-and-data-requests/)
hawaii,other,Parent/Guardian Consent Form Guidance and Checklist (PDF),https://hawaiipublicschools.org/DOE%20Forms/DataGov/ParentConsent.pdf,https://hawaiipublicschools.org/data-reports/research-and-data-requests/,Parent/Guardian Consent Form Guidance and Checklist (PDF) (from https://hawaiipublicschools.org/data-reports/research-and-data-requests/)
hawaii,other,download a list of schools as a spreadsheet (Excel),https://hawaiipublicschools.org/wp-content/uploads/List-of-Schools.xlsx,https://hawaiipublicschools.org/enrolling-in-school/find-your-school/,download a list of schools as a spreadsheet (Excel) (from https://hawaiipublicschools.org/enrolling-in-school/find-your-school/)
hawaii,other,Maps of Hawaiʻi Complex Areas (PDF),https://hawaiipublicschools.org/wp-content/uploads/HIDOEmap.pdf,https://hawaiipublicschools.org/enrolling-in-school/find-your-school/,Maps of Hawaiʻi Complex Areas (PDF) (from https://hawaiipublicschools.org/enrolling-in-school/find-your-school/)
hawaii,other,FY 12-13 A-133 Audit Certification,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/FY-12-13-A-133-Audit-Certification.xls,https://hcnp.hawaii.gov/fiscal/,FY 12-13 A-133 Audit Certification (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,ICN Financial Management Information System Manual,https://hcnp.hawaii.gov/wp-content/uploads/2023/05/ICN-Financial-Management-Information-System-2nd-Edition-2018.pdf,https://hcnp.hawaii.gov/fiscal/,ICN Financial Management Information System Manual (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,ICN Procurement in the 21st Century Resource Manual,https://hcnp.hawaii.gov/wp-content/uploads/2023/05/ICN-Procurement-in-the-21st-Century-Resource-Manual-2015.pdf,https://hcnp.hawaii.gov/fiscal/,ICN Procurement in the 21st Century Resource Manual (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,SY 12-13 NSLP Annual Financial Report of Child Nutrition Programs,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/HCNP-SY2012-2013-NSLP-ANNUAL-FINANCIAL-REPORT-OF-Child-Nutrition-Programs-Due-Oct-15.xls,https://hcnp.hawaii.gov/fiscal/,SY 12-13 NSLP Annual Financial Report of Child Nutrition Programs (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,CFDA Numbers,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/CFDA-Numbers.pdf,https://hcnp.hawaii.gov/fiscal/,CFDA Numbers (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,DUNS-Certification Form,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/FISCAL-DUNS-Certification-Form.xls,https://hcnp.hawaii.gov/fiscal/,DUNS-Certification Form (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,NOTICE: SY 2021-2022 Schedule for Submitting Online Claims,https://hcnp.hawaii.gov/wp-content/uploads/2022/11/Notice-SY-21-22-Schedule-for-Submitting-Online-Claims.pdf,https://hcnp.hawaii.gov/fiscal/,NOTICE: SY 2021-2022 Schedule for Submitting Online Claims (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,NOTICE: SY 2022-2023 Schedule for Submitting Online Claims,https://hcnp.hawaii.gov/wp-content/uploads/2022/11/Notice-SY-22-23-Schedule-for-Submitting-Online-Claims-1.pdf,https://hcnp.hawaii.gov/fiscal/,NOTICE: SY 2022-2023 Schedule for Submitting Online Claims (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,NOTICE: SY 2023-2024 Schedule for Submitting Online Claims,https://hcnp.hawaii.gov/wp-content/uploads/2023/12/NOTICE-SY-2023-2024-Schedule-for-Submitting-Online-Claims.pdf,https://hcnp.hawaii.gov/fiscal/,NOTICE: SY 2023-2024 Schedule for Submitting Online Claims (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,NOTICE: SY 2024-2025 Schedule for Submitting Online Claims,https://hcnp.hawaii.gov/wp-content/uploads/2024/09/NOTICE-SY-2024-2025-Schedule-for-Submitting-Online-Claims.pdf,https://hcnp.hawaii.gov/fiscal/,NOTICE: SY 2024-2025 Schedule for Submitting Online Claims (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,SY 2025-2026 Edit Check Worksheet,https://hcnp.hawaii.gov/wp-content/uploads/2025/07/SY-2025-2026-Edit-Check-Worksheet.xls,https://hcnp.hawaii.gov/fiscal/,SY 2025-2026 Edit Check Worksheet (from https://hcnp.hawaii.gov/fiscal/)
