LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_PSENR_NONIDEA_A3,SCH_PSENR_NONIDEA_A4,SCH_PSENR_NONIDEA_A5,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_504_M,SCH_ENR_504_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_LEPENR_HI_M,SCH_LEPENR_HI_F,SCH_LEPENR_AM_M,SCH_LEPENR_AM_F,SCH_LEPENR_AS_M,SCH_LEPENR_AS_F,SCH_LEPENR_HP_M,SCH_LEPENR_HP_F,SCH_LEPENR_BL_M,SCH_LEPENR_BL_F,SCH_LEPENR_WH_M,SCH_LEPENR_WH_F,SCH_LEPENR_TR_M,SCH_LEPENR_TR_F,TOT_LEPENR_M,TOT_LEPENR_F,SCH_LEPPROGENR_HI_M,SCH_LEPPROGENR_HI_F,SCH_LEPPROGENR_AM_M,SCH_LEPPROGENR_AM_F,SCH_LEPPROGENR_AS_M,SCH_LEPPROGENR_AS_F,SCH_LEPPROGENR_HP_M,SCH_LEPPROGENR_HP_F,SCH_LEPPROGENR_BL_M,SCH_LEPPROGENR_BL_F,SCH_LEPPROGENR_WH_M,SCH_LEPPROGENR_WH_F,SCH_LEPPROGENR_TR_M,SCH_LEPPROGENR_TR_F,TOT_LEPPROGENR_M,TOT_LEPPROGENR_F,SCH_LEPPROGENR_IDEA_M,SCH_LEPPROGENR_IDEA_F,SCH_IDEAENR_HI_M,SCH_IDEAENR_HI_F,SCH_IDEAENR_AM_M,SCH_IDEAENR_AM_F,SCH_IDEAENR_AS_M,SCH_IDEAENR_AS_F,SCH_IDEAENR_HP_M,SCH_IDEAENR_HP_F,SCH_IDEAENR_BL_M,SCH_IDEAENR_BL_F,SCH_IDEAENR_WH_M,SCH_IDEAENR_WH_F,SCH_IDEAENR_TR_M,SCH_IDEAENR_TR_F,TOT_IDEAENR_M,TOT_IDEAENR_F,SCH_IDEAENR_LEP_M,SCH_IDEAENR_LEP_F,SCH_504ENR_HI_M,SCH_504ENR_HI_F,SCH_504ENR_AM_M,SCH_504ENR_AM_F,SCH_504ENR_AS_M,SCH_504ENR_AS_F,SCH_504ENR_HP_M,SCH_504ENR_HP_F,SCH_504ENR_BL_M,SCH_504ENR_BL_F,SCH_504ENR_WH_M,SCH_504ENR_WH_F,SCH_504ENR_TR_M,SCH_504ENR_TR_F,TOT_504ENR_M,TOT_504ENR_F,SCH_504ENR_LEP_M,SCH_504ENR_LEP_F
CO,COLORADO,0800018,Idalia RJ-3 School District,1741,IDALIA ELEMENTARY SCHOOL,080001801741,No,Yes,Yes,Yes,0,1,0,0,0,0,0,0,0,0,6,8,0,0,6,9,0,1,1,2,10,17,1,0,0,0,0,0,0,0,48,54,0,0,59,71,9,15,3,0,5,7,8,15,0,0,0,0,0,0,0,0,1,0,0,0,9,15,8,15,0,0,0,0,0,0,0,0,1,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
CO,COLORADO,0800018,Idalia RJ-3 School District,1742,IDALIA JUNIOR-SENIOR HIGH SCHOOL,080001801742,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,9,12,1,3,0,0,0,0,0,0,31,29,1,0,42,44,4,7,2,1,10,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,1,1,1,0,0,0,0,0,0,0,0,8,1,1,0,10,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0
CO,COLORADO,0800019,Liberty J-4 School District,1743,LIBERTY ELEMENTARY SCHOOL,080001901743,No,Yes,Yes,Yes,0,1,0,0,0,0,0,0,0,0,7,5,0,0,7,6,0,0,1,0,2,2,0,0,0,0,0,0,0,0,23,16,0,2,25,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800019,Liberty J-4 School District,1744,LIBERTY SCHOOL,080001901744,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,7,0,0,0,0,0,0,0,0,39,23,0,3,41,33,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CO,COLORADO,0800020,State Charter School Institute,727,ACADEMY OF CHARTER SCHOOLS,080002000727,No,No,Yes,Yes,5,7,0,0,1,1,0,0,0,0,15,17,1,3,22,28,0,0,0,2,258,266,2,2,67,70,1,0,7,5,589,540,42,38,966,921,66,66,38,35,75,36,36,31,0,0,12,21,0,0,1,0,16,13,1,1,66,66,36,31,0,0,12,21,0,0,1,0,16,13,1,1,66,66,4,1,31,12,0,0,2,1,0,0,0,0,37,22,5,1,75,36,4,1,3,4,0,0,0,0,0,0,0,1,32,29,3,1,38,35,1,1
CO,COLORADO,0800020,State Charter School Institute,1569,CROWN POINTE CHARTER ACADEMY,080002001569,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,136,144,1,0,8,14,1,0,1,1,80,79,4,5,231,243,46,44,3,6,25,18,42,39,0,0,1,3,0,0,0,0,3,2,0,0,46,44,42,39,0,0,1,3,0,0,0,0,1,2,0,0,44,44,7,6,13,11,0,0,0,1,0,0,0,0,12,5,0,1,25,18,7,6,3,2,0,0,0,0,0,0,0,0,0,4,0,0,3,6,2,1
CO,COLORADO,0800020,State Charter School Institute,1720,FRONTIER CHARTER ACADEMY,080002001720,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,1,0,0,0,0,0,1,1,0,18,22,0,0,19,24,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800020,State Charter School Institute,1780,INDIAN PEAKS CHARTER SCHOOL,080002001780,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,1,0,0,0,0,0,0,0,0,19,16,0,0,21,17,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,0800020,State Charter School Institute,1876,COMMUNITY LEADERSHIP ACADEMY,080002001876,No,No,Yes,Yes,12,16,0,0,0,0,0,0,0,0,0,1,1,0,13,17,0,0,2,2,251,258,0,2,1,0,0,0,1,4,11,16,3,2,267,282,193,164,1,0,17,7,192,162,0,1,1,0,0,0,0,0,0,1,0,0,193,164,192,162,0,1,1,0,0,0,0,0,0,1,0,0,193,164,15,3,17,5,0,0,0,0,0,0,0,1,0,1,0,0,17,7,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
CO,COLORADO,0800020,State Charter School Institute,1882,NEW AMERICA SCHOOL - LOWRY,080002001882,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,179,167,9,4,31,9,0,1,29,29,10,6,0,1,258,217,184,151,2,1,16,9,134,129,5,3,29,9,0,0,13,8,3,2,0,0,184,151,134,129,5,3,29,9,0,0,13,8,3,2,0,0,184,151,8,5,11,8,3,0,0,0,0,1,1,0,1,0,0,0,16,9,8,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0
