School Year,Division Number,Division Name,School Number,School Name,FT Count,PT Count,Total Count
2022-2023,1,Accomack County,701,Accawmacke Elementary,             396,,             396
2022-2023,1,Accomack County,540,Arcadia High,             713,,             713
2022-2023,1,Accomack County,704,Arcadia Middle ,             482,,             482
2022-2023,1,Accomack County,80,Chincoteague Elementary,             224,,             224
2022-2023,1,Accomack County,580,Chincoteague High,             295,,             295
2022-2023,1,Accomack County,600,Kegotank Elementary,             479,,             479
2022-2023,1,Accomack County,702,Metompkin Elementary,             535,,             535
2022-2023,1,Accomack County,70,Nandua High,             636,               1,             637
2022-2023,1,Accomack County,703,Nandua Middle,             474,,             474
2022-2023,1,Accomack County,590,Pungoteague Elementary,             451,,             451
2022-2023,1,Accomack County,530,Tangier Combined,              41,,              41
2022-2023,2,Albemarle County,160,Agnor-Hurt Elementary,             438,,             438
2022-2023,2,Albemarle County,880,Albemarle High,"           1,993",               5,"           1,998"
2022-2023,2,Albemarle County,1053,Baker-Butler Elem,             740,,             740
2022-2023,2,Albemarle County,100,Broadus Wood Elementary,             288,,             288
2022-2023,2,Albemarle County,941,Brownsville Elementary,             591,,             591
2022-2023,2,Albemarle County,890,Community Lab School,             192,,             192
2022-2023,2,Albemarle County,340,Crozet Elementary,             514,,             514
2022-2023,2,Albemarle County,10,Hollymead Elementary,             352,,             352
2022-2023,2,Albemarle County,69,Jackson P. Burley Middle,             588,,             588
2022-2023,2,Albemarle County,942,Joseph T. Henley Middle,             808,               4,             812
2022-2023,2,Albemarle County,950,Journey Middle,             634,,             634
2022-2023,2,Albemarle County,1051,Lakeside Middle,             513,               1,             514
2022-2023,2,Albemarle County,20,Leslie H. Walton Middle,             340,,             340
2022-2023,2,Albemarle County,40,Mary Carr Greer Elementary,             495,,             495
2022-2023,2,Albemarle County,250,Meriwether Lewis Elementary,             343,,             343
2022-2023,2,Albemarle County,1052,Monticello High,"           1,231",               4,"           1,235"
2022-2023,2,Albemarle County,150,Mountain View Elementary,             752,,             752
2022-2023,2,Albemarle County,540,Red Hill Elementary,             201,,             201
2022-2023,2,Albemarle County,30,Scottsville Elementary,             227,,             227
2022-2023,2,Albemarle County,920,Stone Robinson Elementary,             473,,             473
2022-2023,2,Albemarle County,240,Stony Point Elementary,             189,,             189
2022-2023,2,Albemarle County,910,Virginia L. Murray Elementary,             282,,             282
2022-2023,2,Albemarle County,140,Western Albemarle High,"           1,159",               4,"           1,163"
2022-2023,2,Albemarle County,930,Woodbrook Elementary,             609,,             609
2022-2023,101,Alexandria City,210,Alexandria City High School,"           4,535",               5,"           4,540"
2022-2023,101,Alexandria City,120,Charles Barrett Elementary,             548,               3,             551
2022-2023,101,Alexandria City,160,Cora Kelly School for Math Science and Technology,             296,,             296
2022-2023,101,Alexandria City,110,Douglas MacArthur Elementary,             572,               5,             577
2022-2023,101,Alexandria City,360,Early Childhood Center,             174,,             174
2022-2023,101,Alexandria City,350,Ferdinand T. Day Elementary,             608,,             608
2022-2023,101,Alexandria City,140,Francis C. Hammond Middle,"           1,473",               1,"           1,474"
