School Year,Division Number,Division Name,School Number,School Name,FT Count,PT Count,Total Count
2023-2024,1,Accomack County,701,Accawmacke Elementary,             426,,             426
2023-2024,1,Accomack County,540,Arcadia High,             695,,             695
2023-2024,1,Accomack County,704,Arcadia Middle ,             487,,             487
2023-2024,1,Accomack County,80,Chincoteague Elementary,             226,,             226
2023-2024,1,Accomack County,580,Chincoteague High,             296,,             296
2023-2024,1,Accomack County,600,Kegotank Elementary,             455,,             455
2023-2024,1,Accomack County,702,Metompkin Elementary,             558,,             558
2023-2024,1,Accomack County,70,Nandua High,             632,,             632
2023-2024,1,Accomack County,703,Nandua Middle,             468,,             468
2023-2024,1,Accomack County,590,Pungoteague Elementary,             442,,             442
2023-2024,1,Accomack County,530,Tangier Combined,              41,,              41
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,             474,,             474
2023-2024,2,Albemarle County,880,Albemarle High,"           2,013",               6,"           2,019"
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,             735,,             735
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,             284,,             284
2023-2024,2,Albemarle County,941,Brownsville Elementary,             572,,             572
2023-2024,2,Albemarle County,890,Community Lab School,             179,,             179
2023-2024,2,Albemarle County,340,Crozet Elementary,             545,,             545
2023-2024,2,Albemarle County,10,Hollymead Elementary,             347,,             347
2023-2024,2,Albemarle County,250,Ivy Elementary,             352,,             352
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,             552,,             552
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,             804,,             804
2023-2024,2,Albemarle County,950,Journey Middle,             608,,             608
2023-2024,2,Albemarle County,1051,Lakeside Middle,             520,,             520
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,             329,               1,             330
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,             496,,             496
2023-2024,2,Albemarle County,1052,Monticello High,"           1,206",               5,"           1,211"
2023-2024,2,Albemarle County,150,Mountain View Elementary,             756,,             756
2023-2024,2,Albemarle County,540,Red Hill Elementary,             196,,             196
2023-2024,2,Albemarle County,30,Scottsville Elementary,             211,,             211
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,             488,,             488
2023-2024,2,Albemarle County,240,Stony Point Elementary,             188,,             188
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,             277,,             277
2023-2024,2,Albemarle County,140,Western Albemarle High,"           1,164",               2,"           1,166"
2023-2024,2,Albemarle County,930,Woodbrook Elementary,             525,,             525
2023-2024,101,Alexandria City,210,Alexandria City High School,"           4,559",               4,"           4,563"
2023-2024,101,Alexandria City,120,Charles Barrett Elementary,             584,               2,             586
2023-2024,101,Alexandria City,160,Cora Kelly School for Math Science and Technology,             309,,             309
2023-2024,101,Alexandria City,110,Douglas MacArthur Elementary,             640,               2,             642
2023-2024,101,Alexandria City,360,Early Childhood Center,             202,,             202
2023-2024,101,Alexandria City,350,Ferdinand T. Day Elementary,             621,,             621
2023-2024,101,Alexandria City,140,Francis C. Hammond Middle,"           1,510",               1,"           1,511"
2023-2024,101,Alexandria City,100,George Mason Elementary,             336,,             336
2023-2024,101,Alexandria City,130,George Washington Middle,"           1,359",               1,"           1,360"
2023-2024,101,Alexandria City,220,James K. Polk Elementary,             833,,             833
2023-2024,101,Alexandria City,90,Jefferson-Houston PK-8 School,             587,               4,             591
2023-2024,101,Alexandria City,230,John Adams Elementary,             746,,             746
2023-2024,101,Alexandria City,80,Lyles-Crouch Elementary,             434,               6,             440
2023-2024,101,Alexandria City,30,Mount Vernon Elementary,             902,               3,             905
2023-2024,101,Alexandria City,60,Naomi L. Brooks Elementary,             345,               1,             346
2023-2024,101,Alexandria City,50,Patrick Henry K-8 School,"           1,058",,"           1,058"
2023-2024,101,Alexandria City,333,Samuel W. Tucker Elementary,             736,,             736
2023-2024,101,Alexandria City,190,William Ramsay Elementary,             654,,             654
2023-2024,3,Alleghany Highlands,310,Alleghany High,             831,               1,             832
2023-2024,3,Alleghany Highlands,110,Callaghan Elementary,             257,,             257
2023-2024,3,Alleghany Highlands,1040,Covington Middle,             622,,             622
2023-2024,3,Alleghany Highlands,360,Jeter-Watson Elementary,             502,,             502
2023-2024,3,Alleghany Highlands,1041,Mountain View Elementary,             435,,             435
2023-2024,3,Alleghany Highlands,90,Sharon Elementary,             188,,             188
2023-2024,4,Amelia County,220,Amelia County Elementary,             758,,             758
2023-2024,4,Amelia County,10,Amelia County High,             497,,             497
2023-2024,4,Amelia County,210,Amelia County Middle,             351,,             351
2023-2024,5,Amherst County,780,Amelon Elementary,             415,,             415
2023-2024,5,Amherst County,750,Amherst County High,"           1,243",,"           1,243"
2023-2024,5,Amherst County,790,Amherst Elementary,             267,,             267
2023-2024,5,Amherst County,670,Amherst Middle,             356,,             356
2023-2024,5,Amherst County,770,Central Elementary,             323,,             323
2023-2024,5,Amherst County,760,Elon Elementary,             318,,             318
2023-2024,5,Amherst County,500,Madison Heights Elementary,             429,,             429
2023-2024,5,Amherst County,20,Monelison Middle,             512,,             512
2023-2024,5,Amherst County,740,Temperance Elementary,             102,,             102
2023-2024,6,Appomattox County,260,Appomattox County High,             718,,             718
2023-2024,6,Appomattox County,110,Appomattox Elementary,             533,,             533
2023-2024,6,Appomattox County,160,Appomattox Middle,             512,,             512
2023-2024,6,Appomattox County,250,Appomattox Primary,             609,,             609
2023-2024,7,Arlington County,350,Abingdon Elementary,             717,,             717
2023-2024,7,Arlington County,160,Alice West Fleet Elementary,             593,,             593
2023-2024,7,Arlington County,618,Arlington Community High,             149,,             149
2023-2024,7,Arlington County,629,Arlington Science Focus School,             583,,             583
2023-2024,7,Arlington County,470,Arlington Traditional,             663,,             663
2023-2024,7,Arlington County,490,Ashlawn Elementary,             530,,             530
2023-2024,7,Arlington County,150,Barcroft Elementary,             474,,             474
2023-2024,7,Arlington County,250,Barrett Elementary,             519,,             519
2023-2024,7,Arlington County,615,Campbell Elementary,             406,,             406
2023-2024,7,Arlington County,380,Cardinal Elementary,             714,,             714
2023-2024,7,Arlington County,90,Carlin Springs Elementary,             547,,             547
2023-2024,7,Arlington County,622,Claremont Immersion,             622,,             622
2023-2024,7,Arlington County,626,Discovery Elementary,             523,,             523
2023-2024,7,Arlington County,628,Dorothy Hamm Middle,             933,,             933
2023-2024,7,Arlington County,200,Dr. Charles R. Drew Elementary,             435,,             435
2023-2024,7,Arlington County,111,Escuela Key Elementary,             579,,             579
2023-2024,7,Arlington County,100,Glebe Elementary,             543,,             543
2023-2024,7,Arlington County,611,Gunston Middle,"           1,031",,"           1,031"
2023-2024,7,Arlington County,614,Hoffman-Boston Elementary,             602,,             602
2023-2024,7,Arlington County,613,Innovation Elementary ,             496,,             496
2023-2024,7,Arlington County,37,Integration Station,              31,,              31
2023-2024,7,Arlington County,440,Jamestown Elementary,             465,,             465
2023-2024,7,Arlington County,180,Jefferson Middle,"           1,090",,"           1,090"
2023-2024,7,Arlington County,500,Kenmore Middle,"           1,009",,"           1,009"
2023-2024,7,Arlington County,460,Long Branch Elementary,             423,,             423
2023-2024,7,Arlington County,627,Montessori Public School of Arlington,             517,,             517
2023-2024,7,Arlington County,410,Nottingham Elementary,             374,,             374
2023-2024,7,Arlington County,360,Oakridge Elementary,             645,,             645
2023-2024,7,Arlington County,510,Randolph Elementary,             396,,             396
2023-2024,7,Arlington County,240,Swanson Middle,             965,,             965
2023-2024,7,Arlington County,420,Taylor Elementary,             530,,             530
2023-2024,7,Arlington County,211,Tuckahoe Elementary,             453,,             453
2023-2024,7,Arlington County,450,Wakefield High,"           2,722",,"           2,722"
2023-2024,7,Arlington County,80,Washington-Liberty High,"           2,904",,"           2,904"
2023-2024,7,Arlington County,480,Williamsburg Middle,             856,,             856
2023-2024,7,Arlington County,330,Yorktown High,"           2,495",               2,"           2,497"
2023-2024,8,Augusta County,212,Beverley Manor Middle,             612,,             612
2023-2024,8,Augusta County,660,Buffalo Gap High,             416,,             416
2023-2024,8,Augusta County,30,Cassell Elementary,             639,,             639
2023-2024,8,Augusta County,140,Churchville Elementary,             449,,             449
2023-2024,8,Augusta County,370,Craigsville Elementary,             128,,             128
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,             776,,             776
2023-2024,8,Augusta County,670,Fort Defiance High,             737,               1,             738
2023-2024,8,Augusta County,843,Guy K. Stump Elementary,             453,,             453
2023-2024,8,Augusta County,40,North River Elementary,             237,,             237
2023-2024,8,Augusta County,740,Riverheads Elementary,             721,,             721
2023-2024,8,Augusta County,680,Riverheads High,             447,               1,             448
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,             516,,             516
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,             613,,             613
2023-2024,8,Augusta County,730,Stuarts Draft High,             712,               1,             713
2023-2024,8,Augusta County,60,Stuarts Draft Middle,             504,,             504
2023-2024,8,Augusta County,640,Wilson Elementary,             660,,             660
2023-2024,8,Augusta County,720,Wilson Memorial High,             863,               2,             865
2023-2024,8,Augusta County,844,Wilson Middle,             656,,             656
2023-2024,9,Bath County,140,Bath County High,             183,,             183
2023-2024,9,Bath County,120,Millboro Elementary,             141,,             141
2023-2024,9,Bath County,150,Valley Elementary,             185,,             185
2023-2024,10,Bedford County,480,Bedford Elementary,             447,,             447
2023-2024,10,Bedford County,1200,Bedford Primary,             289,,             289
2023-2024,10,Bedford County,30,Big Island Elementary,             148,,             148
2023-2024,10,Bedford County,160,Boonsboro Elementary,             321,,             321
2023-2024,10,Bedford County,500,Forest Elementary,             362,,             362
2023-2024,10,Bedford County,1211,Forest Middle,             890,,             890
2023-2024,10,Bedford County,1214,Goodview Elementary,             506,,             506
2023-2024,10,Bedford County,980,Huddleston Elementary,             223,,             223
2023-2024,10,Bedford County,1212,Jefferson Forest High,"           1,311",,"           1,311"
2023-2024,10,Bedford County,1180,Liberty High,             727,,             727
2023-2024,10,Bedford County,490,Liberty Middle,             535,,             535
2023-2024,10,Bedford County,970,Moneta Elementary,             230,,             230
2023-2024,10,Bedford County,180,Montvale Elementary,             260,,             260
2023-2024,10,Bedford County,610,New London Academy Elementary,             327,,             327
2023-2024,10,Bedford County,1170,Otter River Elementary,             169,,             169
2023-2024,10,Bedford County,1190,Staunton River High,             869,,             869
2023-2024,10,Bedford County,1191,Staunton River Middle,             584,,             584
2023-2024,10,Bedford County,640,Stewartsville Elementary,             323,,             323
2023-2024,10,Bedford County,1213,Thomas Jefferson Elementary,             540,,             540
2023-2024,11,Bland County,250,Bland County Elementary ,             357,,             357
2023-2024,11,Bland County,260,Bland County High,             436,,             436
2023-2024,12,Botetourt County,220,Breckinridge Elementary,             201,,             201
2023-2024,12,Botetourt County,20,Buchanan Elementary,             300,,             300
2023-2024,12,Botetourt County,420,Central Academy Middle,             362,,             362
2023-2024,12,Botetourt County,390,Cloverdale Elementary,             243,,             243
2023-2024,12,Botetourt County,400,Colonial Elementary,             461,,             461
2023-2024,12,Botetourt County,30,Eagle Rock Elementary,             123,,             123
2023-2024,12,Botetourt County,460,Greenfield Elementary,             435,,             435
2023-2024,12,Botetourt County,430,James River High,             461,,             461
2023-2024,12,Botetourt County,440,Lord Botetourt High,             983,,             983
2023-2024,12,Botetourt County,450,Read Mountain Middle,             661,,             661
2023-2024,12,Botetourt County,40,Troutville Elementary,             258,,             258
2023-2024,102,Bristol City,60,Highland View Elementary,             164,,             164
2023-2024,102,Bristol City,100,Joseph Van Pelt Elementary,             425,,             425
2023-2024,102,Bristol City,70,Stonewall Jackson Elementary,             263,,             263
2023-2024,102,Bristol City,80,Virginia High,             625,,             625
2023-2024,102,Bristol City,10,Virginia Middle,             458,,             458
2023-2024,102,Bristol City,90,Washington-Lee Elementary,             219,,             219
2023-2024,13,Brunswick County,650,Brunswick High,             422,,             422
2023-2024,13,Brunswick County,660,James S. Russell Middle,             295,,             295
