School Year,Division Number,Division Name,School Number,School Name,FT Count,PT Count,Total Count
2023-2024,13,Brunswick County,690,Meherrin Powellton Elementary,             184,,             184
2023-2024,13,Brunswick County,700,Red Oak-Sturgeon Elementary,             184,,             184
2023-2024,13,Brunswick County,720,Totaro Elementary,             310,,             310
2023-2024,14,Buchanan County,90,Council Elementary/Middle,             194,,             194
2023-2024,14,Buchanan County,1000,Council High ,             111,,             111
2023-2024,14,Buchanan County,990,Grundy High,             348,,             348
2023-2024,14,Buchanan County,120,Hurley Elementary/Middle,             322,,             322
2023-2024,14,Buchanan County,1020,Hurley High,             226,,             226
2023-2024,14,Buchanan County,1040,Riverview Elementary/Middle,             729,,             729
2023-2024,14,Buchanan County,1041,Twin Valley Elementary/Middle,             262,,             262
2023-2024,14,Buchanan County,1042,Twin Valley High,             186,,             186
2023-2024,15,Buckingham County,724,Buckingham Co Elementary,             392,,             392
2023-2024,15,Buckingham County,20,Buckingham Co Prekindergarten Center,             108,,             108
2023-2024,15,Buckingham County,723,Buckingham Co Primary,             351,,             351
2023-2024,15,Buckingham County,700,Buckingham County High,             685,,             685
2023-2024,15,Buckingham County,721,Buckingham County Middle,             430,,             430
2023-2024,103,Buena Vista City,40,Enderly Heights Elementary,             247,,             247
2023-2024,103,Buena Vista City,70,F.W. Kling Jr. Elementary,             176,,             176
2023-2024,103,Buena Vista City,62,Parry McCluer High,             314,,             314
2023-2024,103,Buena Vista City,61,Parry McCluer Middle,             119,,             119
2023-2024,16,Campbell County,560,Altavista Elementary,             521,,             521
2023-2024,16,Campbell County,200,Altavista High,             634,,             634
2023-2024,16,Campbell County,650,Brookneal Elementary,             426,,             426
2023-2024,16,Campbell County,720,Brookville High,"           1,015",,"           1,015"
2023-2024,16,Campbell County,20,Brookville Middle,             678,,             678
2023-2024,16,Campbell County,130,Concord Elementary,             412,,             412
2023-2024,16,Campbell County,690,Leesville Road Elementary,             642,,             642
2023-2024,16,Campbell County,821,Rustburg Elementary,             442,,             442
2023-2024,16,Campbell County,222,Rustburg High,             851,,             851
2023-2024,16,Campbell County,211,Rustburg Middle,             631,,             631
2023-2024,16,Campbell County,60,Tomahawk Elementary,             679,,             679
2023-2024,16,Campbell County,542,William Campbell High,             405,,             405
2023-2024,16,Campbell County,710,Yellow Branch Elementary,             560,,             560
2023-2024,17,Caroline County,620,Bowling Green Elementary,             811,,             811
2023-2024,17,Caroline County,460,Caroline High,"           1,278",,"           1,278"
2023-2024,17,Caroline County,450,Caroline Middle,"           1,000",,"           1,000"
2023-2024,17,Caroline County,9020,Lewis and Clark Elementary,             983,,             983
2023-2024,17,Caroline County,630,Madison Elementary,             492,,             492
2023-2024,18,Carroll County,1230,Carroll County High,"           1,057",               2,"           1,059"
2023-2024,18,Carroll County,450,Carroll County Middle,             726,,             726
2023-2024,18,Carroll County,1180,Fancy Gap Elementary,             131,,             131
2023-2024,18,Carroll County,1150,Gladesboro Elementary,              93,,              93
2023-2024,18,Carroll County,1210,Gladeville Elementary,             259,,             259
2023-2024,18,Carroll County,1170,Hillsville Elementary,             467,,             467
2023-2024,18,Carroll County,1160,Laurel Elementary,             217,,             217
2023-2024,18,Carroll County,1130,Oakland Elementary,             187,,             187
2023-2024,18,Carroll County,1110,St. Paul,             305,,             305
2023-2024,19,Charles City County,80,Charles City County Elementary,             315,,             315
2023-2024,19,Charles City County,100,Charles City County High,             215,,             215
2023-2024,20,Charlotte County,470,Bacon District Elementary,             170,,             170
2023-2024,20,Charlotte County,210,Central Middle,             385,,             385
2023-2024,20,Charlotte County,100,Eureka Elementary,             447,,             447
2023-2024,20,Charlotte County,450,Phenix Elementary,             226,,             226
2023-2024,20,Charlotte County,460,Randolph-Henry High,             477,,             477
2023-2024,104,Charlottesville City,100,Buford Middle,             559,               2,             561
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,             285,,             285
2023-2024,104,Charlottesville City,140,Charlottesville High,"           1,405",               6,"           1,411"
2023-2024,104,Charlottesville City,50,Clark Elementary,             308,,             308
2023-2024,104,Charlottesville City,90,Greenbrier Elementary,             270,,             270
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,             351,,             351
2023-2024,104,Charlottesville City,10,Johnson Elementary,             329,,             329
2023-2024,104,Charlottesville City,40,Venable Elementary,             322,,             322
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,             604,               3,             607
2023-2024,136,Chesapeake City,630,B.M. Williams Primary,             835,,             835
2023-2024,136,Chesapeake City,860,Butts Road Intermediate,             575,,             575
2023-2024,136,Chesapeake City,770,Butts Road Primary,             539,,             539
2023-2024,136,Chesapeake City,90,Camelot Elementary,             506,,             506
2023-2024,136,Chesapeake City,900,Cedar Road Elementary,             940,,             940
2023-2024,136,Chesapeake City,700,Crestwood Intermediate,             694,,             694
2023-2024,136,Chesapeake City,560,Crestwood Middle,             560,,             560
2023-2024,136,Chesapeake City,660,Deep Creek Central Elementary,             884,,             884
2023-2024,136,Chesapeake City,210,Deep Creek Elementary,             766,,             766
2023-2024,136,Chesapeake City,100,Deep Creek High,"           1,646",,"           1,646"
2023-2024,136,Chesapeake City,610,Deep Creek Middle,             801,,             801
2023-2024,136,Chesapeake City,640,Edwin W. Chittum Elementary,             759,,             759
2023-2024,136,Chesapeake City,720,G.A. Treakle Elementary,             403,,             403
2023-2024,136,Chesapeake City,50,George W. Carver Intermediate,             524,,             524
2023-2024,136,Chesapeake City,820,Georgetown Primary,             772,,             772
2023-2024,136,Chesapeake City,950,Grassfield Elementary,"           1,348",,"           1,348"
2023-2024,136,Chesapeake City,960,Grassfield High,"           2,313",,"           2,313"
2023-2024,136,Chesapeake City,120,Great Bridge High,"           1,532",,"           1,532"
2023-2024,136,Chesapeake City,850,Great Bridge Intermediate,             727,,             727
2023-2024,136,Chesapeake City,590,Great Bridge Middle,"           1,297",,"           1,297"
2023-2024,136,Chesapeake City,680,Great Bridge Primary,             668,,             668
2023-2024,136,Chesapeake City,870,Greenbrier Intermediate,             622,,             622
2023-2024,136,Chesapeake City,972,Greenbrier Middle,             792,,             792
2023-2024,136,Chesapeake City,140,Greenbrier Primary,             698,,             698
2023-2024,136,Chesapeake City,340,Hickory Elementary,             649,,             649
2023-2024,136,Chesapeake City,890,Hickory High,"           1,606",,"           1,606"
2023-2024,136,Chesapeake City,280,Hickory Middle,"           1,298",,"           1,298"
2023-2024,136,Chesapeake City,920,Hugo A. Owens Middle,"           1,309",,"           1,309"
2023-2024,136,Chesapeake City,830,Indian River High,"           1,702",,"           1,702"
2023-2024,136,Chesapeake City,710,Indian River Middle,             764,,             764
2023-2024,136,Chesapeake City,973,Jolliff Middle,             695,,             695
2023-2024,136,Chesapeake City,160,Norfolk Highlands Primary,             281,,             281
2023-2024,136,Chesapeake City,80,Oscar F. Smith High,"           2,318",,"           2,318"
2023-2024,136,Chesapeake City,10,Oscar Smith Middle,             976,,             976
2023-2024,136,Chesapeake City,730,Portlock Primary,             547,,             547
2023-2024,136,Chesapeake City,200,Rena B. Wright Primary,             271,,             271
2023-2024,136,Chesapeake City,620,Southeastern Elementary,             783,,             783
2023-2024,136,Chesapeake City,600,Southwestern Elementary,             550,,             550
2023-2024,136,Chesapeake City,750,Sparrow Road Intermediate,             433,,             433
2023-2024,136,Chesapeake City,40,Thurgood Marshall Elementary,             407,,             407
2023-2024,136,Chesapeake City,971,Truitt Intermediate,             245,,             245
2023-2024,136,Chesapeake City,840,Western Branch High,"           2,123",,"           2,123"
2023-2024,136,Chesapeake City,810,Western Branch Intermediate,             773,,             773
2023-2024,136,Chesapeake City,740,Western Branch Middle,             904,,             904
2023-2024,136,Chesapeake City,110,Western Branch Primary,             805,,             805
2023-2024,21,Chesterfield County,620,A.M. Davis Elementary,             737,,             737
2023-2024,21,Chesterfield County,861,Alberta Smith Elementary,             675,               2,             677
2023-2024,21,Chesterfield County,631,Bailey Bridge Middle,"           1,442",               2,"           1,444"
2023-2024,21,Chesterfield County,660,Bellwood Elementary,             486,,             486
2023-2024,21,Chesterfield County,430,Bensley Elementary,             581,,             581
2023-2024,21,Chesterfield County,510,Bettie Weaver Elementary,             613,,             613
2023-2024,21,Chesterfield County,130,Beulah Elementary,             993,,             993
2023-2024,21,Chesterfield County,20,Bon Air Elementary,             526,,             526
2023-2024,21,Chesterfield County,50,C.C. Wells Elementary,             582,,             582
2023-2024,21,Chesterfield County,492,C.E. Curtis Elementary,             772,,             772
2023-2024,21,Chesterfield County,30,Carver College and Career Academy,             286,,             286
2023-2024,21,Chesterfield County,420,Carver Middle,"           1,013",,"           1,013"
2023-2024,21,Chesterfield County,33,Chester Early Childhood Learning Academy,             378,,             378
2023-2024,21,Chesterfield County,93,Chesterfield Virtual School,             570,,             570
2023-2024,21,Chesterfield County,150,Clover Hill Elementary,             877,,             877
2023-2024,21,Chesterfield County,740,Clover Hill High,"           1,801",               2,"           1,803"
2023-2024,21,Chesterfield County,840,Cosby High,"           2,536",               2,"           2,538"
2023-2024,21,Chesterfield County,560,Crestwood Elementary,             600,,             600
2023-2024,21,Chesterfield County,480,Ecoff Elementary,             757,,             757
2023-2024,21,Chesterfield County,870,Elizabeth Davis Middle,"           1,325",,"           1,325"
2023-2024,21,Chesterfield County,850,Elizabeth Scott Elementary,             757,,             757
2023-2024,21,Chesterfield County,390,Enon Elementary,             796,,             796
2023-2024,21,Chesterfield County,350,Ettrick Elementary,             514,,             514
2023-2024,21,Chesterfield County,300,Evergreen Elementary,             823,,             823
2023-2024,21,Chesterfield County,590,Falling Creek Elementary,             796,,             796
2023-2024,21,Chesterfield County,670,Falling Creek Middle,"           1,388",,"           1,388"
2023-2024,21,Chesterfield County,180,Grange Hall Elementary,             748,,             748
2023-2024,21,Chesterfield County,70,Greenfield Elementary,             485,,             485
2023-2024,21,Chesterfield County,460,Harrowgate Elementary,             473,,             473
2023-2024,21,Chesterfield County,60,Hopkins Road Elementary,             753,,             753
2023-2024,21,Chesterfield County,550,J.A. Chalkley Elementary,             868,,             868
2023-2024,21,Chesterfield County,650,J.B. Watkins Elementary,             831,,             831
2023-2024,21,Chesterfield County,500,J.G. Hening Elementary,             877,,             877
2023-2024,21,Chesterfield County,400,Jacobs Road Elementary,             742,,             742
2023-2024,21,Chesterfield County,770,James River High,"           1,869",               3,"           1,872"
2023-2024,21,Chesterfield County,10,Lloyd C. Bird High,"           2,127",               8,"           2,135"
2023-2024,21,Chesterfield County,632,Manchester High,"           2,246",,"           2,246"
2023-2024,21,Chesterfield County,600,Manchester Middle,"           1,111",,"           1,111"
2023-2024,21,Chesterfield County,780,Marguerite F. Christian Elementary,             590,               1,             591
2023-2024,21,Chesterfield County,370,Matoaca Elementary,             636,,             636
2023-2024,21,Chesterfield County,530,Matoaca High,"           1,650",               7,"           1,657"
2023-2024,21,Chesterfield County,110,Matoaca Middle,             806,,             806
2023-2024,21,Chesterfield County,580,Meadowbrook High,"           1,964",               1,"           1,965"
2023-2024,21,Chesterfield County,320,Midlothian High,"           2,046",               5,"           2,051"
2023-2024,21,Chesterfield County,40,Midlothian Middle,"           1,297",               2,"           1,299"
2023-2024,21,Chesterfield County,280,Monacan High,"           1,643",               2,"           1,645"
2023-2024,21,Chesterfield County,92,Moseley Elementary,             925,,             925
2023-2024,21,Chesterfield County,360,O.B. Gates Elementary,             617,,             617
2023-2024,21,Chesterfield County,90,Old Hundred Elementary,             972,,             972
2023-2024,21,Chesterfield County,380,Providence Elementary,             641,,             641
2023-2024,21,Chesterfield County,690,Providence Middle,"           1,024",               1,"           1,025"
2023-2024,21,Chesterfield County,700,Reams Road Elementary,             609,,             609
2023-2024,21,Chesterfield County,730,Robious Elementary,             677,,             677
2023-2024,21,Chesterfield County,760,Robious Middle,"           1,115",               1,"           1,116"
2023-2024,21,Chesterfield County,720,Salem Church Elementary,             510,,             510
2023-2024,21,Chesterfield County,722,Salem Church Middle,             871,,             871
2023-2024,21,Chesterfield County,800,Spring Run Elementary,             866,,             866
2023-2024,21,Chesterfield County,340,Swift Creek Elementary,             737,,             737
2023-2024,21,Chesterfield County,270,Swift Creek Middle,"           1,135",,"           1,135"
2023-2024,21,Chesterfield County,410,Thelma Crenshaw Elementary,             660,,             660
2023-2024,21,Chesterfield County,610,Thomas Dale High,"           2,570",              12,"           2,582"
2023-2024,21,Chesterfield County,880,Tomahawk Creek Middle,"           1,612",,"           1,612"
2023-2024,21,Chesterfield County,290,W.W. Gordon Elementary,             609,,             609
2023-2024,21,Chesterfield County,860,Winterpock Elementary,             798,,             798
2023-2024,21,Chesterfield County,440,Woolridge Elementary,             798,,             798
2023-2024,22,Clarke County,250,Boyce Elementary,             300,,             300
2023-2024,22,Clarke County,10,Clarke County High,             701,               1,             702
2023-2024,22,Clarke County,290,D.G. Cooley Elementary,             497,,             497
2023-2024,22,Clarke County,280,Johnson-Williams Middle,             423,               2,             425
2023-2024,202,Colonial Beach,22,Colonial Beach Elementary,             379,,             379
2023-2024,202,Colonial Beach,21,Colonial Beach High,             226,,             226
2023-2024,106,Colonial Heights City,40,Colonial Heights High,             857,,             857
2023-2024,106,Colonial Heights City,20,Colonial Heights Middle,             648,,             648
2023-2024,106,Colonial Heights City,50,Lakeview Elementary,             439,,             439
2023-2024,106,Colonial Heights City,30,North Elementary,             338,,             338
2023-2024,106,Colonial Heights City,60,Tussing Elementary,             649,,             649
2023-2024,23,Craig County,11,Craig County High,             261,,             261
2023-2024,23,Craig County,10,McCleary Elementary,             209,,             209
2023-2024,24,Culpeper County,240,A.G. Richardson Elementary,             568,,             568
2023-2024,24,Culpeper County,480,Culpeper County High,"           1,232",,"           1,232"
2023-2024,24,Culpeper County,20,Culpeper Middle,"           1,059",,"           1,059"
2023-2024,24,Culpeper County,50,Eastern View High,"           1,542",,"           1,542"
2023-2024,24,Culpeper County,450,Emerald Hill Elementary,             691,,             691
2023-2024,24,Culpeper County,470,Farmington Elementary,             454,,             454
2023-2024,24,Culpeper County,581,Floyd T. Binns Middle,             786,,             786
2023-2024,24,Culpeper County,582,Galbreath-Marshall Building,               8,,               8
2023-2024,24,Culpeper County,10,Pearl Sample Elementary,             653,,             653
2023-2024,24,Culpeper County,460,Sycamore Park Elementary,             700,,             700
2023-2024,24,Culpeper County,40,Yowell Elementary,             675,,             675
2023-2024,25,Cumberland County,140,Cumberland Elementary,             516,,             516
2023-2024,25,Cumberland County,151,Cumberland High,             359,,             359
2023-2024,25,Cumberland County,152,Cumberland Middle,             358,,             358
2023-2024,108,Danville City,490,Edwin A. Gibson Elementary,             463,,             463
2023-2024,108,Danville City,20,Forest Hills Elementary,             205,,             205
2023-2024,108,Danville City,190,G.L.H. Johnson Elementary,             605,,             605
2023-2024,108,Danville City,1374,Galileo Magnet High,             279,,             279
2023-2024,108,Danville City,210,George Washington High,"           1,288",,"           1,288"
2023-2024,108,Danville City,260,O. Trent Bonner Middle,             573,,             573
2023-2024,108,Danville City,250,Park Avenue Elementary,             340,,             340
2023-2024,108,Danville City,139,R.I.S.E Academy at the John M. Langston Campus,             128,,             128
2023-2024,108,Danville City,40,Schoolfield Elementary,             529,,             529
2023-2024,108,Danville City,30,The Northside Preschool,             122,,             122
2023-2024,108,Danville City,1372,Westwood Middle,             554,,             554
2023-2024,108,Danville City,220,Woodberry Hills Elementary,             378,,             378
2023-2024,26,Dickenson County,20,Clintwood Elementary,             273,,             273
2023-2024,26,Dickenson County,281,Ridgeview Elementary ,             592,,             592
2023-2024,26,Dickenson County,275,Ridgeview High,             580,,             580
2023-2024,26,Dickenson County,280,Ridgeview Middle,             438,,             438
2023-2024,27,Dinwiddie County,500,Dinwiddie County High,"           1,323",,"           1,323"
2023-2024,27,Dinwiddie County,471,Dinwiddie County Middle,             927,,             927
2023-2024,27,Dinwiddie County,310,Dinwiddie Elementary,             335,,             335
2023-2024,27,Dinwiddie County,250,Midway Elementary,             330,,             330
2023-2024,27,Dinwiddie County,10,Southside Elementary,             523,,             523
2023-2024,27,Dinwiddie County,180,Sunnyside Elementary,             250,,             250
