School Year,Division Number,Division Name,School Number,School Name,FT Count,PT Count,Total Count
2021-2022,1,Accomack County,701,Accawmacke Elementary,             408,,             408
2021-2022,1,Accomack County,540,Arcadia High,             687,,             687
2021-2022,1,Accomack County,704,Arcadia Middle ,             547,,             547
2021-2022,1,Accomack County,80,Chincoteague Elementary,             226,,             226
2021-2022,1,Accomack County,580,Chincoteague High,             266,,             266
2021-2022,1,Accomack County,600,Kegotank Elementary,             475,,             475
2021-2022,1,Accomack County,702,Metompkin Elementary,             558,,             558
2021-2022,1,Accomack County,70,Nandua High,             651,               1,             652
2021-2022,1,Accomack County,703,Nandua Middle,             455,,             455
2021-2022,1,Accomack County,590,Pungoteague Elementary,             436,,             436
2021-2022,1,Accomack County,530,Tangier Combined,              42,,              42
2021-2022,2,Albemarle County,160,Agnor-Hurt Elementary,             456,,             456
2021-2022,2,Albemarle County,880,Albemarle High,"           1,911",               6,"           1,917"
2021-2022,2,Albemarle County,1053,Baker-Butler Elem,             682,,             682
2021-2022,2,Albemarle County,100,Broadus Wood Elementary,             259,,             259
2021-2022,2,Albemarle County,941,Brownsville Elementary,             756,,             756
2021-2022,2,Albemarle County,890,Community Lab School,             194,,             194
2021-2022,2,Albemarle County,340,Crozet Elementary,             325,,             325
2021-2022,2,Albemarle County,10,Hollymead Elementary,             342,,             342
2021-2022,2,Albemarle County,950,Jack Jouett Middle,             694,,             694
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,             598,               2,             600
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,             839,               3,             842
2021-2022,2,Albemarle County,1051,Lakeside Middle,             545,               3,             548
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,             329,               2,             331
2021-2022,2,Albemarle County,40,Mary Carr Greer Elementary,             481,,             481
2021-2022,2,Albemarle County,250,Meriwether Lewis Elementary,             321,,             321
2021-2022,2,Albemarle County,1052,Monticello High,"           1,213",               7,"           1,220"
2021-2022,2,Albemarle County,150,Mountain View Elementary,             731,,             731
2021-2022,2,Albemarle County,540,Red Hill Elementary,             189,,             189
2021-2022,2,Albemarle County,30,Scottsville Elementary,             216,,             216
2021-2022,2,Albemarle County,920,Stone Robinson Elementary,             470,,             470
2021-2022,2,Albemarle County,240,Stony Point Elementary,             188,,             188
2021-2022,2,Albemarle County,910,Virginia L. Murray Elementary,             268,,             268
2021-2022,2,Albemarle County,140,Western Albemarle High,"           1,152",               5,"           1,157"
2021-2022,2,Albemarle County,930,Woodbrook Elementary,             562,,             562
2021-2022,101,Alexandria City,210,Alexandria City High,"           4,402",,"           4,402"
2021-2022,101,Alexandria City,120,Charles Barrett Elementary,             547,               3,             550
2021-2022,101,Alexandria City,160,Cora Kelly School for Math Science and Technology,             278,,             278
2021-2022,101,Alexandria City,110,Douglas Macarthur Elementary,             562,               5,             567
2021-2022,101,Alexandria City,360,Early Childhood Center,             179,,             179
2021-2022,101,Alexandria City,350,Ferdinand T. Day Elementary,             571,               2,             573
2021-2022,101,Alexandria City,140,Francis C. Hammond Middle,"           1,423",               1,"           1,424"
2021-2022,101,Alexandria City,100,George Mason Elementary,             345,               2,             347
2021-2022,101,Alexandria City,130,George Washington Middle,"           1,443",               4,"           1,447"
2021-2022,101,Alexandria City,220,James K. Polk Elementary,             755,               2,             757
2021-2022,101,Alexandria City,90,Jefferson-Houston PK-8 School,             641,               3,             644
2021-2022,101,Alexandria City,230,John Adams Elementary,             691,,             691
2021-2022,101,Alexandria City,80,Lyles-Crouch Elementary,             393,               7,             400
2021-2022,101,Alexandria City,30,Mount Vernon Elementary,             885,               3,             888
2021-2022,101,Alexandria City,60,Naomi L. Brooks Elementary,             338,               2,             340
2021-2022,101,Alexandria City,50,Patrick Henry K-8 School,             896,,             896
2021-2022,101,Alexandria City,333,Samuel W. Tucker Elementary,             729,               2,             731
2021-2022,101,Alexandria City,190,William Ramsay Elementary,             598,,             598
