School Year,Division Number,Division Name,School Number,School Name,FT Count,PT Count,Total Count
2019-2020,1,Accomack County,701,Accawmacke Elementary,             456,,             456
2019-2020,1,Accomack County,540,Arcadia High,             714,,             714
2019-2020,1,Accomack County,704,Arcadia Middle ,             573,,             573
2019-2020,1,Accomack County,80,Chincoteague Elementary,             245,,             245
2019-2020,1,Accomack County,580,Chincoteague High,             292,,             292
2019-2020,1,Accomack County,600,Kegotank Elementary,             566,,             566
2019-2020,1,Accomack County,702,Metompkin Elementary,             600,,             600
2019-2020,1,Accomack County,70,Nandua High,             681,               1,             682
2019-2020,1,Accomack County,703,Nandua Middle,             504,,             504
2019-2020,1,Accomack County,590,Pungoteague Elementary,             484,,             484
2019-2020,1,Accomack County,530,Tangier Combined,              46,,              46
2019-2020,2,Albemarle County,160,Agnor-Hurt Elementary,             475,,             475
2019-2020,2,Albemarle County,1060,Albemarle County Community Public Charter,              56,,              56
2019-2020,2,Albemarle County,880,Albemarle High,"           1,950",              12,"           1,962"
2019-2020,2,Albemarle County,1053,Baker-Butler Elem,             684,,             684
2019-2020,2,Albemarle County,100,Broadus Wood Elementary,             287,,             287
2019-2020,2,Albemarle County,941,Brownsville Elementary,             861,,             861
2019-2020,2,Albemarle County,340,Crozet Elementary,             342,,             342
2019-2020,2,Albemarle County,10,Hollymead Elementary,             429,,             429
2019-2020,2,Albemarle County,950,Jack Jouett Middle,             654,               1,             655
2019-2020,2,Albemarle County,69,Jackson P. Burley Middle,             586,               2,             588
2019-2020,2,Albemarle County,942,Joseph T. Henley Middle,             917,               2,             919
2019-2020,2,Albemarle County,20,Leslie H. Walton Middle,             343,               2,             345
2019-2020,2,Albemarle County,40,Mary Carr Greer Elementary,             522,,             522
2019-2020,2,Albemarle County,250,Meriwether Lewis Elementary,             404,,             404
2019-2020,2,Albemarle County,1052,Monticello High,"           1,207",              10,"           1,217"
2019-2020,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,             596,               2,             598
2019-2020,2,Albemarle County,890,Murray High,              85,,              85
2019-2020,2,Albemarle County,150,Paul H. Cale Elementary,             770,,             770
2019-2020,2,Albemarle County,540,Red Hill Elementary,             214,,             214
2019-2020,2,Albemarle County,30,Scottsville Elementary,             233,,             233
2019-2020,2,Albemarle County,920,Stone Robinson Elementary,             508,,             508
2019-2020,2,Albemarle County,240,Stony Point Elementary,             238,,             238
2019-2020,2,Albemarle County,910,Virginia L. Murray Elementary,             256,,             256
2019-2020,2,Albemarle County,140,Western Albemarle High,"           1,207",,"           1,207"
2019-2020,2,Albemarle County,930,Woodbrook Elementary,             580,,             580
2019-2020,101,Alexandria City,120,Charles Barrett Elementary,             598,,             598
2019-2020,101,Alexandria City,160,Cora Kelly Magnet Elementary,             352,               2,             354
2019-2020,101,Alexandria City,110,Douglas Macarthur Elementary,             663,               1,             664
2019-2020,101,Alexandria City,360,Early Childhood Center,             200,,             200
2019-2020,101,Alexandria City,350,Ferdinand T. Day Elementary,             524,,             524
2019-2020,101,Alexandria City,140,Francis C. Hammond Middle,"           1,468",,"           1,468"
2019-2020,101,Alexandria City,100,George Mason Elementary,             452,               2,             454
2019-2020,101,Alexandria City,130,George Washington Middle,"           1,582",               1,"           1,583"
