School Year,Division Number,Division Name,School Number,School Name,FT Count,PT Count,Total Count
2019-2020,101,Alexandria City,220,James K. Polk Elementary,             774,,             774
2019-2020,101,Alexandria City,90,Jefferson-Houston Elementary,             660,               1,             661
2019-2020,101,Alexandria City,230,John Adams Elementary,             684,,             684
2019-2020,101,Alexandria City,80,Lyles-Crouch Elementary,             485,               2,             487
2019-2020,101,Alexandria City,60,Maury Elementary,             392,               1,             393
2019-2020,101,Alexandria City,30,Mount Vernon Elementary,             913,,             913
2019-2020,101,Alexandria City,50,Patrick Henry Elementary,             893,,             893
2019-2020,101,Alexandria City,333,Samuel W. Tucker Elementary,             797,,             797
2019-2020,101,Alexandria City,210,T.C. Williams High,"           4,148",               2,"           4,150"
2019-2020,101,Alexandria City,190,William Ramsay Elementary,             710,,             710
2019-2020,3,Alleghany County,310,Alleghany High,             616,,             616
2019-2020,3,Alleghany County,110,Callaghan Elementary,             242,,             242
2019-2020,3,Alleghany County,1040,Clifton Middle,             448,,             448
2019-2020,3,Alleghany County,1041,Mountain View Elementary,             519,,             519
2019-2020,3,Alleghany County,90,Sharon Elementary,             199,,             199
2019-2020,4,Amelia County,220,Amelia County Elementary,             675,               2,             677
2019-2020,4,Amelia County,10,Amelia County High,             507,,             507
2019-2020,4,Amelia County,210,Amelia County Middle,             547,,             547
2019-2020,5,Amherst County,780,Amelon Elementary,             427,,             427
2019-2020,5,Amherst County,750,Amherst County High,"           1,179",,"           1,179"
2019-2020,5,Amherst County,790,Amherst Elementary,             272,,             272
2019-2020,5,Amherst County,670,Amherst Middle,             399,,             399
2019-2020,5,Amherst County,770,Central Elementary,             375,,             375
2019-2020,5,Amherst County,760,Elon Elementary,             348,,             348
2019-2020,5,Amherst County,500,Madison Heights Elementary,             394,,             394
2019-2020,5,Amherst County,20,Monelison Middle,             618,,             618
2019-2020,5,Amherst County,740,Temperance Elementary,             103,,             103
2019-2020,6,Appomattox County,260,Appomattox County High,             677,,             677
2019-2020,6,Appomattox County,110,Appomattox Elementary,             503,,             503
2019-2020,6,Appomattox County,160,Appomattox Middle,             515,,             515
2019-2020,6,Appomattox County,250,Appomattox Primary,             584,,             584
2019-2020,7,Arlington County,350,Abingdon Elementary,             749,,             749
2019-2020,7,Arlington County,160,Alice West Fleet Elementary,             658,,             658
2019-2020,7,Arlington County,618,Arlington Community High,             194,,             194
2019-2020,7,Arlington County,613,Arlington Science Focus,             714,,             714
2019-2020,7,Arlington County,470,Arlington Traditional,             589,,             589
2019-2020,7,Arlington County,490,Ashlawn Elementary,             736,,             736
2019-2020,7,Arlington County,150,Barcroft Elementary,             448,,             448
2019-2020,7,Arlington County,250,Barrett Elementary,             564,,             564
2019-2020,7,Arlington County,615,Campbell Elementary,             447,,             447
2019-2020,7,Arlington County,90,Carlin Springs Elementary,             646,,             646
2019-2020,7,Arlington County,622,Claremont Immersion,             739,,             739
2019-2020,7,Arlington County,626,Discovery Elementary,             603,,             603
2019-2020,7,Arlington County,628,Dorothy Hamm Middle,             775,,             775
2019-2020,7,Arlington County,200,Dr. Charles R. Drew Elementary,             462,,             462
2019-2020,7,Arlington County,111,Francis Scott Key Elementary,             708,,             708
2019-2020,7,Arlington County,100,Glebe Elementary,             575,,             575
2019-2020,7,Arlington County,611,Gunston Middle,"           1,162",,"           1,162"
2019-2020,7,Arlington County,614,Hoffman-Boston Elementary,             516,,             516
2019-2020,7,Arlington County,37,Integration Station,              36,,              36
2019-2020,7,Arlington County,440,Jamestown Elementary,             617,,             617
2019-2020,7,Arlington County,180,Jefferson Middle,"           1,129",,"           1,129"
2019-2020,7,Arlington County,500,Kenmore Middle,"           1,044",,"           1,044"
2019-2020,7,Arlington County,460,Long Branch Elementary,             518,,             518
2019-2020,7,Arlington County,380,McKinley Elementary,             783,,             783
2019-2020,7,Arlington County,627,Montessori Public School of Arlington,             452,,             452
2019-2020,7,Arlington County,410,Nottingham Elementary,             485,,             485
2019-2020,7,Arlington County,360,Oakridge Elementary,             623,,             623
2019-2020,7,Arlington County,510,Randolph Elementary,             460,,             460
2019-2020,7,Arlington County,240,Swanson Middle,"           1,014",,"           1,014"
2019-2020,7,Arlington County,420,Taylor Elementary,             694,,             694
2019-2020,7,Arlington County,211,Tuckahoe Elementary,             527,,             527
2019-2020,7,Arlington County,450,Wakefield High,"           2,490",,"           2,490"
2019-2020,7,Arlington County,80,Washington-Liberty High,"           2,493",,"           2,493"
2019-2020,7,Arlington County,480,Williamsburg Middle,"           1,005",,"           1,005"
2019-2020,7,Arlington County,330,Yorktown High,"           2,496",,"           2,496"
2019-2020,8,Augusta County,212,Beverley Manor Middle,             706,,             706
2019-2020,8,Augusta County,660,Buffalo Gap High,             486,,             486
2019-2020,8,Augusta County,30,Cassell Elementary,             677,,             677
2019-2020,8,Augusta County,140,Churchville Elementary,             396,,             396
2019-2020,8,Augusta County,370,Craigsville Elementary,             152,,             152
2019-2020,8,Augusta County,842,Edward G. Clymore Elementary,             795,,             795
2019-2020,8,Augusta County,670,Fort Defiance High,             772,,             772
2019-2020,8,Augusta County,843,Guy K. Stump Elementary,             445,,             445
2019-2020,8,Augusta County,40,North River Elementary,             258,,             258
2019-2020,8,Augusta County,740,Riverheads Elementary,             716,,             716
2019-2020,8,Augusta County,680,Riverheads High,             454,               1,             455
2019-2020,8,Augusta County,90,S. Gordon Stewart Middle,             500,,             500
2019-2020,8,Augusta County,440,Stuarts Draft Elementary,             593,,             593
2019-2020,8,Augusta County,730,Stuarts Draft High,             707,               1,             708
2019-2020,8,Augusta County,60,Stuarts Draft Middle,             557,,             557
2019-2020,8,Augusta County,640,Wilson Elementary,             663,,             663
2019-2020,8,Augusta County,720,Wilson Memorial High,             797,               1,             798
2019-2020,8,Augusta County,844,Wilson Middle,             665,,             665
2019-2020,9,Bath County,140,Bath County High,             191,,             191
2019-2020,9,Bath County,120,Millboro Elementary,             148,,             148
2019-2020,9,Bath County,150,Valley Elementary,             190,,             190
2019-2020,10,Bedford County,480,Bedford Elementary,             453,,             453
2019-2020,10,Bedford County,1200,Bedford Primary,             288,,             288
2019-2020,10,Bedford County,30,Big Island Elementary,             149,,             149
2019-2020,10,Bedford County,160,Boonsboro Elementary,             351,,             351
2019-2020,10,Bedford County,500,Forest Elementary,             343,,             343
2019-2020,10,Bedford County,1211,Forest Middle,             925,               1,             926
2019-2020,10,Bedford County,1214,Goodview Elementary,             502,,             502
2019-2020,10,Bedford County,980,Huddleston Elementary,             265,,             265
2019-2020,10,Bedford County,1212,Jefferson Forest High,"           1,384",,"           1,384"
2019-2020,10,Bedford County,1180,Liberty High,             753,,             753
2019-2020,10,Bedford County,490,Liberty Middle,             594,,             594
2019-2020,10,Bedford County,970,Moneta Elementary,             211,,             211
2019-2020,10,Bedford County,180,Montvale Elementary,             267,,             267
2019-2020,10,Bedford County,610,New London Academy Elementary,             315,,             315
2019-2020,10,Bedford County,1170,Otter River Elementary,             236,,             236
2019-2020,10,Bedford County,1190,Staunton River High,             935,               5,             940
2019-2020,10,Bedford County,1191,Staunton River Middle,             672,,             672
2019-2020,10,Bedford County,640,Stewartsville Elementary,             338,               1,             339
2019-2020,10,Bedford County,1213,Thomas Jefferson Elementary,             574,,             574
2019-2020,11,Bland County,250,Bland County Elementary ,             353,,             353
2019-2020,11,Bland County,260,Bland County High,             340,,             340
2019-2020,12,Botetourt County,220,Breckinridge Elementary,             212,,             212
2019-2020,12,Botetourt County,20,Buchanan Elementary,             290,,             290
2019-2020,12,Botetourt County,420,Central Academy Middle,             372,,             372
2019-2020,12,Botetourt County,390,Cloverdale Elementary,             292,,             292
2019-2020,12,Botetourt County,400,Colonial Elementary,             409,,             409
2019-2020,12,Botetourt County,30,Eagle Rock Elementary,             148,,             148
2019-2020,12,Botetourt County,460,Greenfield Elementary,             442,,             442
2019-2020,12,Botetourt County,430,James River High,             521,,             521
2019-2020,12,Botetourt County,440,Lord Botetourt High,"           1,054",,"           1,054"
2019-2020,12,Botetourt County,450,Read Mountain Middle,             680,,             680
2019-2020,12,Botetourt County,40,Troutville Elementary,             252,,             252
2019-2020,102,Bristol City,60,Highland View Elementary,             191,,             191
2019-2020,102,Bristol City,100,Joseph Van Pelt Elementary,             468,,             468
2019-2020,102,Bristol City,70,Stonewall Jackson Elementary,             260,,             260
2019-2020,102,Bristol City,80,Virginia High,             641,,             641
2019-2020,102,Bristol City,10,Virginia Middle,             494,,             494
2019-2020,102,Bristol City,90,Washington-Lee Elementary,             201,,             201
2019-2020,13,Brunswick County,650,Brunswick High,             498,,             498
2019-2020,13,Brunswick County,660,James S. Russell Middle,             346,,             346
2019-2020,13,Brunswick County,690,Meherrin Powellton Elementary,             212,,             212
2019-2020,13,Brunswick County,700,Red Oak-Sturgeon Elementary,             187,,             187
2019-2020,13,Brunswick County,720,Totaro Elementary,             295,,             295
2019-2020,14,Buchanan County,90,Council Elementary/Middle School,             194,,             194
2019-2020,14,Buchanan County,1000,Council High ,             122,,             122
2019-2020,14,Buchanan County,990,Grundy High,             382,,             382
2019-2020,14,Buchanan County,120,Hurley Elementary/Middle,             402,,             402
2019-2020,14,Buchanan County,1020,Hurley High,             239,,             239
2019-2020,14,Buchanan County,1040,Riverview Elementary/Middle,             782,,             782
2019-2020,14,Buchanan County,1041,Twin Valley Elementary/Middle,             338,,             338
2019-2020,14,Buchanan County,1042,Twin Valley High,             217,,             217
2019-2020,15,Buckingham County,724,Buckingham Co Elementary,             483,,             483
2019-2020,15,Buckingham County,20,Buckingham Co Prekindergarten Center,             111,,             111
2019-2020,15,Buckingham County,723,Buckingham Co Primary,             452,,             452
2019-2020,15,Buckingham County,700,Buckingham County High,             573,,             573
2019-2020,15,Buckingham County,721,Buckingham County Middle,             494,,             494
2019-2020,103,Buena Vista City,40,Enderly Heights Elementary,             177,,             177
2019-2020,103,Buena Vista City,70,F.W. Kling Jr. Elementary,             238,,             238
2019-2020,103,Buena Vista City,62,Parry McCluer High School,             355,,             355
2019-2020,103,Buena Vista City,61,Parry McCluer Middle School,             125,,             125
2019-2020,16,Campbell County,560,Altavista Elementary,             495,,             495
2019-2020,16,Campbell County,200,Altavista High,             675,,             675
2019-2020,16,Campbell County,650,Brookneal Elementary,             362,,             362
2019-2020,16,Campbell County,720,Brookville High,             952,,             952
2019-2020,16,Campbell County,20,Brookville Middle,             745,,             745
2019-2020,16,Campbell County,130,Concord Elementary,             407,,             407
2019-2020,16,Campbell County,690,Leesville Road Elementary,             665,,             665
2019-2020,16,Campbell County,821,Rustburg Elementary,             453,,             453
2019-2020,16,Campbell County,222,Rustburg High,             822,,             822
2019-2020,16,Campbell County,211,Rustburg Middle,             639,,             639
2019-2020,16,Campbell County,60,Tomahawk Elementary,             698,,             698
2019-2020,16,Campbell County,542,William Campbell High,             427,,             427
2019-2020,16,Campbell County,710,Yellow Branch Elementary,             581,,             581
2019-2020,17,Caroline County,620,Bowling Green Elementary,             740,,             740
2019-2020,17,Caroline County,460,Caroline High,"           1,161",,"           1,161"
2019-2020,17,Caroline County,450,Caroline Middle,             943,,             943
2019-2020,17,Caroline County,9020,Lewis and Clark Elementary,             918,,             918
2019-2020,17,Caroline County,630,Madison Elementary,             491,,             491
2019-2020,18,Carroll County,1230,Carroll County High,"           1,098",,"           1,098"
2019-2020,18,Carroll County,450,Carroll County Middle,             806,,             806
2019-2020,18,Carroll County,1180,Fancy Gap Elementary,             139,,             139
2019-2020,18,Carroll County,1150,Gladesboro Elementary,             118,,             118
2019-2020,18,Carroll County,1210,Gladeville Elementary,             289,,             289
2019-2020,18,Carroll County,1170,Hillsville Elementary,             501,,             501
2019-2020,18,Carroll County,1160,Laurel Elementary,             237,,             237
2019-2020,18,Carroll County,1130,Oakland Elementary,             185,,             185
2019-2020,18,Carroll County,1110,St. Paul,             340,,             340
2019-2020,19,Charles City County,80,Charles City County Elementary,             347,,             347
2019-2020,19,Charles City County,100,Charles City County High,             273,,             273
2019-2020,20,Charlotte County,470,Bacon District Elementary,             151,,             151
2019-2020,20,Charlotte County,210,Central Middle,             380,,             380
2019-2020,20,Charlotte County,100,Eureka Elementary,             448,,             448
2019-2020,20,Charlotte County,450,Phenix Elementary,             240,,             240
2019-2020,20,Charlotte County,460,Randolph-Henry High,             544,,             544
2019-2020,104,Charlottesville City,100,Buford Middle,             529,               1,             530
2019-2020,104,Charlottesville City,70,Burnley-Moran Elementary,             377,,             377
2019-2020,104,Charlottesville City,140,Charlottesville High,"           1,225",,"           1,225"
2019-2020,104,Charlottesville City,50,Clark Elementary,             316,,             316
2019-2020,104,Charlottesville City,90,Greenbrier Elementary,             377,,             377
2019-2020,104,Charlottesville City,120,Jackson-Via Elementary,             343,,             343
2019-2020,104,Charlottesville City,10,Johnson Elementary,             359,,             359
2019-2020,104,Charlottesville City,40,Venable Elementary,             346,,             346
2019-2020,104,Charlottesville City,110,Walker Upper Elementary,             670,               1,             671
2019-2020,136,Chesapeake City,630,B.M. Williams Primary,             934,,             934
2019-2020,136,Chesapeake City,860,Butts Road Intermediate,             655,,             655
2019-2020,136,Chesapeake City,770,Butts Road Primary,             545,,             545
2019-2020,136,Chesapeake City,90,Camelot Elementary,             518,,             518
2019-2020,136,Chesapeake City,900,Cedar Road Elementary,             838,,             838
2019-2020,136,Chesapeake City,700,Crestwood Intermediate,             735,,             735
2019-2020,136,Chesapeake City,560,Crestwood Middle,             576,,             576
2019-2020,136,Chesapeake City,660,Deep Creek Central Elementary,             792,,             792
2019-2020,136,Chesapeake City,210,Deep Creek Elementary,             781,,             781
2019-2020,136,Chesapeake City,100,Deep Creek High,"           1,562",,"           1,562"
2019-2020,136,Chesapeake City,610,Deep Creek Middle,             870,,             870
2019-2020,136,Chesapeake City,640,Edwin W. Chittum Elementary,             780,,             780
2019-2020,136,Chesapeake City,720,G.A. Treakle Elementary,             505,,             505
2019-2020,136,Chesapeake City,50,George W. Carver Intermediate,             572,,             572
2019-2020,136,Chesapeake City,820,Georgetown Primary,             843,,             843
2019-2020,136,Chesapeake City,950,Grassfield Elementary,"           1,135",,"           1,135"
2019-2020,136,Chesapeake City,960,Grassfield High,"           2,329",,"           2,329"
2019-2020,136,Chesapeake City,120,Great Bridge High,"           1,543",,"           1,543"
2019-2020,136,Chesapeake City,850,Great Bridge Intermediate,             711,,             711
2019-2020,136,Chesapeake City,590,Great Bridge Middle,"           1,352",,"           1,352"
2019-2020,136,Chesapeake City,680,Great Bridge Primary,             651,,             651
2019-2020,136,Chesapeake City,870,Greenbrier Intermediate,             683,,             683
2019-2020,136,Chesapeake City,972,Greenbrier Middle,             944,,             944
2019-2020,136,Chesapeake City,140,Greenbrier Primary,             762,,             762
2019-2020,136,Chesapeake City,340,Hickory Elementary,             523,,             523
2019-2020,136,Chesapeake City,890,Hickory High,"           1,686",,"           1,686"
2019-2020,136,Chesapeake City,280,Hickory Middle,"           1,312",,"           1,312"
2019-2020,136,Chesapeake City,920,Hugo A. Owens Middle,"           1,271",,"           1,271"
2019-2020,136,Chesapeake City,830,Indian River High,"           1,740",,"           1,740"
2019-2020,136,Chesapeake City,710,Indian River Middle,             791,,             791
2019-2020,136,Chesapeake City,973,Jolliff Middle,             738,,             738
2019-2020,136,Chesapeake City,160,Norfolk Highlands Primary,             333,,             333
2019-2020,136,Chesapeake City,80,Oscar F. Smith High,"           2,230",,"           2,230"
2019-2020,136,Chesapeake City,10,Oscar Smith Middle,"           1,096",,"           1,096"
2019-2020,136,Chesapeake City,730,Portlock Primary,             587,,             587
2019-2020,136,Chesapeake City,200,Rena B. Wright Primary,             332,,             332
2019-2020,136,Chesapeake City,620,Southeastern Elementary,             828,,             828
2019-2020,136,Chesapeake City,600,Southwestern Elementary,             569,,             569
2019-2020,136,Chesapeake City,750,Sparrow Road Intermediate,             494,,             494
2019-2020,136,Chesapeake City,40,Thurgood Marshall Elementary,             502,,             502
2019-2020,136,Chesapeake City,971,Truitt Intermediate,             284,,             284
2019-2020,136,Chesapeake City,840,Western Branch High,"           2,148",,"           2,148"
2019-2020,136,Chesapeake City,810,Western Branch Intermediate,             793,,             793
2019-2020,136,Chesapeake City,740,Western Branch Middle,             916,,             916
2019-2020,136,Chesapeake City,110,Western Branch Primary,             808,,             808
2019-2020,21,Chesterfield County,620,A.M. Davis Elementary,             731,               1,             732
2019-2020,21,Chesterfield County,861,Alberta Smith Elementary,             618,,             618
2019-2020,21,Chesterfield County,631,Bailey Bridge Middle,"           1,576",,"           1,576"
2019-2020,21,Chesterfield County,660,Bellwood Elementary,             584,,             584
2019-2020,21,Chesterfield County,430,Bensley Elementary,             662,,             662
2019-2020,21,Chesterfield County,510,Bettie Weaver Elementary,             673,,             673
2019-2020,21,Chesterfield County,130,Beulah Elementary,             913,,             913
2019-2020,21,Chesterfield County,20,Bon Air Elementary,             624,,             624
2019-2020,21,Chesterfield County,50,C.C. Wells Elementary,             643,,             643
2019-2020,21,Chesterfield County,492,C.E. Curtis Elementary,             745,,             745
2019-2020,21,Chesterfield County,30,Carver College and Career Academy,             277,,             277
2019-2020,21,Chesterfield County,420,Carver Middle,"           1,024",,"           1,024"
2019-2020,21,Chesterfield County,150,Clover Hill Elementary,             747,,             747
2019-2020,21,Chesterfield County,740,Clover Hill High,"           1,761",               4,"           1,765"
2019-2020,21,Chesterfield County,840,Cosby High,"           2,198",               3,"           2,201"
2019-2020,21,Chesterfield County,560,Crestwood Elementary,             578,,             578
2019-2020,21,Chesterfield County,480,Ecoff Elementary,             713,,             713
2019-2020,21,Chesterfield County,870,Elizabeth Davis Middle,"           1,231",               3,"           1,234"
2019-2020,21,Chesterfield County,850,Elizabeth Scott Elementary,             802,,             802
2019-2020,21,Chesterfield County,390,Enon Elementary,             801,,             801
2019-2020,21,Chesterfield County,350,Ettrick Elementary,             579,,             579
2019-2020,21,Chesterfield County,300,Evergreen Elementary,             962,,             962
2019-2020,21,Chesterfield County,590,Falling Creek Elementary,             780,               1,             781
2019-2020,21,Chesterfield County,670,Falling Creek Middle,"           1,488",,"           1,488"
2019-2020,21,Chesterfield County,180,Grange Hall Elementary,             836,,             836
2019-2020,21,Chesterfield County,70,Greenfield Elementary,             629,,             629
2019-2020,21,Chesterfield County,460,Harrowgate Elementary,             494,,             494
2019-2020,21,Chesterfield County,60,Hopkins Road Elementary,             750,               1,             751
2019-2020,21,Chesterfield County,550,J.A. Chalkley Elementary,             822,               2,             824
2019-2020,21,Chesterfield County,650,J.B. Watkins Elementary,             814,,             814
2019-2020,21,Chesterfield County,500,J.G. Hening Elementary,             937,,             937
2019-2020,21,Chesterfield County,400,Jacobs Road Elementary,             709,,             709
2019-2020,21,Chesterfield County,770,James River High,"           1,989",               3,"           1,992"
2019-2020,21,Chesterfield County,10,Lloyd C. Bird High,"           1,824",               1,"           1,825"
2019-2020,21,Chesterfield County,632,Manchester High,"           2,138",               4,"           2,142"
2019-2020,21,Chesterfield County,600,Manchester Middle,"           1,136",               1,"           1,137"
2019-2020,21,Chesterfield County,780,Marguerite F. Christian Elementary,             774,,             774
2019-2020,21,Chesterfield County,370,Matoaca Elementary,             394,,             394
2019-2020,21,Chesterfield County,530,Matoaca High,"           1,604",               4,"           1,608"
2019-2020,21,Chesterfield County,110,Matoaca Middle,             999,,             999
2019-2020,21,Chesterfield County,580,Meadowbrook High,"           1,916",               4,"           1,920"
2019-2020,21,Chesterfield County,320,Midlothian High,"           1,897",               3,"           1,900"
2019-2020,21,Chesterfield County,40,Midlothian Middle,"           1,361",               1,"           1,362"
2019-2020,21,Chesterfield County,280,Monacan High,"           1,583",               1,"           1,584"
2019-2020,21,Chesterfield County,360,O.B. Gates Elementary,             676,               3,             679
2019-2020,21,Chesterfield County,90,Old Hundred Elementary,             804,,             804
2019-2020,21,Chesterfield County,380,Providence Elementary,             643,,             643
2019-2020,21,Chesterfield County,690,Providence Middle,"           1,104",               1,"           1,105"
2019-2020,21,Chesterfield County,700,Reams Road Elementary,             491,,             491
2019-2020,21,Chesterfield County,730,Robious Elementary,             724,,             724
2019-2020,21,Chesterfield County,760,Robious Middle,"           1,241",               2,"           1,243"
2019-2020,21,Chesterfield County,720,Salem Church Elementary,             613,,             613
2019-2020,21,Chesterfield County,722,Salem Church Middle,             922,               2,             924
2019-2020,21,Chesterfield County,800,Spring Run Elementary,             922,,             922
2019-2020,21,Chesterfield County,340,Swift Creek Elementary,             663,               1,             664
2019-2020,21,Chesterfield County,270,Swift Creek Middle,"           1,118",               1,"           1,119"
2019-2020,21,Chesterfield County,410,Thelma Crenshaw Elementary,             657,,             657
2019-2020,21,Chesterfield County,610,Thomas Dale High,"           2,509",               4,"           2,513"
2019-2020,21,Chesterfield County,880,Tomahawk Creek Middle,"           1,554",               4,"           1,558"
2019-2020,21,Chesterfield County,290,W.W. Gordon Elementary,             616,,             616
2019-2020,21,Chesterfield County,860,Winterpock Elementary,"           1,280",,"           1,280"
2019-2020,21,Chesterfield County,440,Woolridge Elementary,             761,,             761
2019-2020,22,Clarke County,250,Boyce Elementary,             311,,             311
2019-2020,22,Clarke County,10,Clarke County High,             664,               2,             666
2019-2020,22,Clarke County,290,D.G. Cooley Elementary,             466,,             466
2019-2020,22,Clarke County,280,Johnson-Williams Middle,             483,,             483
2019-2020,202,Colonial Beach,22,Colonial Beach Elementary,             422,,             422
2019-2020,202,Colonial Beach,21,Colonial Beach High,             230,,             230
2019-2020,106,Colonial Heights City,40,Colonial Heights High,             877,,             877
2019-2020,106,Colonial Heights City,20,Colonial Heights Middle,             646,,             646
2019-2020,106,Colonial Heights City,50,Lakeview Elementary,             410,,             410
2019-2020,106,Colonial Heights City,30,North Elementary,             382,,             382
2019-2020,106,Colonial Heights City,60,Tussing Elementary,             584,,             584
2019-2020,107,Covington City,350,Covington High,             356,,             356
2019-2020,107,Covington City,260,Edgemont Primary,             354,,             354
2019-2020,107,Covington City,360,Jeter-Watson Intermediate,             308,,             308
2019-2020,23,Craig County,11,Craig County High,             331,,             331
2019-2020,23,Craig County,10,McCleary Elementary,             257,,             257
2019-2020,24,Culpeper County,240,A.G. Richardson Elementary,             589,,             589
2019-2020,24,Culpeper County,480,Culpeper County High,"           1,170",,"           1,170"
2019-2020,24,Culpeper County,20,Culpeper Middle,"           1,135",               3,"           1,138"
2019-2020,24,Culpeper County,50,Eastern View High,"           1,410",               2,"           1,412"
2019-2020,24,Culpeper County,450,Emerald Hill Elementary,             786,,             786
2019-2020,24,Culpeper County,470,Farmington Elementary,             510,,             510
2019-2020,24,Culpeper County,581,Floyd T. Binns Middle,             896,,             896
2019-2020,24,Culpeper County,582,Galbreath-Marshall Building,               6,,               6
2019-2020,24,Culpeper County,10,Pearl Sample Elementary,             615,,             615
2019-2020,24,Culpeper County,460,Sycamore Park Elementary,             688,,             688
2019-2020,24,Culpeper County,40,Yowell Elementary,             711,,             711
2019-2020,25,Cumberland County,140,Cumberland Elementary,             536,,             536
2019-2020,25,Cumberland County,151,Cumberland High,             405,,             405
2019-2020,25,Cumberland County,152,Cumberland Middle,             380,,             380
2019-2020,108,Danville City,490,Edwin A. Gibson Elementary,             609,,             609
2019-2020,108,Danville City,20,Forest Hills Elementary,             237,,             237
2019-2020,108,Danville City,190,G.L.H. Johnson Elementary,             347,,             347
2019-2020,108,Danville City,1374,Galileo Magnet High,             286,,             286
2019-2020,108,Danville City,210,George Washington High,"           1,250",,"           1,250"
2019-2020,108,Danville City,200,Grove Park Preschool,             124,,             124
2019-2020,108,Danville City,260,O. Trent Bonner Middle,             684,,             684
2019-2020,108,Danville City,250,Park Avenue Elementary,             442,,             442
2019-2020,108,Danville City,40,Schoolfield Elementary,             498,,             498
2019-2020,108,Danville City,30,The Northside Preschool,             112,,             112
2019-2020,108,Danville City,1372,Westwood Middle,             581,,             581
2019-2020,108,Danville City,220,Woodberry Hills Elementary,             282,,             282
2019-2020,108,Danville City,1379,Woodrow Wilson Intermediate,             250,,             250
2019-2020,26,Dickenson County,20,Clintwood Elementary,             443,,             443
2019-2020,26,Dickenson County,530,Ervinton Elementary,             140,,             140
2019-2020,26,Dickenson County,275,Ridgeview High,             580,,             580
2019-2020,26,Dickenson County,280,Ridgeview Middle,             462,,             462
2019-2020,26,Dickenson County,860,Sandlick Elementary,             439,,             439
2019-2020,27,Dinwiddie County,500,Dinwiddie County High,"           1,309",,"           1,309"
2019-2020,27,Dinwiddie County,471,Dinwiddie County Middle,"           1,006",,"           1,006"
2019-2020,27,Dinwiddie County,310,Dinwiddie Elementary,             335,,             335
2019-2020,27,Dinwiddie County,250,Midway Elementary,             390,,             390
2019-2020,27,Dinwiddie County,10,Southside Elementary,             502,,             502
