LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2389,Lynchburg Juvenile Detention Home,510004202389,Yes,459922.0,7.0,359232.0,58850.0,0.0,-9.0,0.0,-9.0,2.0,100690.0,434575.0,0.0,0.0,0.0,0.0,2.0,100690.0,535265.0,59850.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2390,New River Valley Juvenile Detention Home,510004202390,Yes,176716.0,3.0,176716.0,25350.0,0.0,-9.0,0.0,-9.0,0.0,-9.0,223752.0,0.0,0.0,0.0,0.0,0.0,0.0,223752.0,26350.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2391,Newport News Juvenile Detention Home,510004202391,Yes,805021.0,11.0,661320.0,74770.0,1.0,19508.0,0.0,-9.0,2.0,124193.0,780823.0,1.0,19508.0,0.0,0.0,2.0,124193.0,924524.0,75770.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2392,Norfolk Juvenile Detention Center,510004202392,Yes,661784.0,10.0,491418.0,45860.0,0.0,-9.0,0.0,-9.0,2.0,170366.0,715937.0,0.0,0.0,0.0,0.0,2.0,170366.0,886303.0,46860.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2393,Piedmont Regional Juvenile Detention Center,510004202393,Yes,199970.0,4.0,199970.0,22800.0,0.0,-9.0,0.0,-9.0,0.0,-9.0,199970.0,0.0,0.0,0.0,0.0,0.0,0.0,199970.0,23800.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2394,Crater Juvenile Detention Home,510004202394,Yes,228357.0,3.0,188090.0,31665.0,0.0,-9.0,0.0,-9.0,1.0,40267.0,188090.0,0.0,0.0,0.0,0.0,1.0,40267.0,228357.0,32665.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004202395,Yes,738984.0,9.0,615827.0,53500.0,0.0,-9.0,0.0,-9.0,2.0,123157.0,683558.0,0.0,0.0,0.0,0.0,2.0,123157.0,806715.0,54500.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2396,Roanoke Valley Juvenile Detention Home,510004202396,Yes,447168.0,5.0,326031.0,55900.0,0.0,-9.0,0.0,-9.0,1.0,121137.0,384900.0,0.0,0.0,0.0,0.0,1.0,121137.0,506037.0,56900.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2397,Rappahannock Juvenile Detention Home,510004202397,Yes,574764.0,9.0,413696.0,32500.0,0.0,-9.0,0.0,-9.0,2.0,161068.0,468553.0,0.0,0.0,0.0,0.0,2.0,161068.0,629621.0,33500.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2398,Shenandoah Valley Juvenile Detention Home,510004202398,Yes,519381.0,7.0,382537.0,51120.0,0.0,-9.0,0.0,-9.0,2.0,136844.0,432979.0,0.0,0.0,0.0,0.0,2.0,136844.0,569823.0,62120.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2399,Middle Peninsula Juvenile Detention Home,510004202399,Yes,603820.0,8.0,476237.0,48500.0,0.0,-9.0,0.0,-9.0,2.0,127583.0,625524.0,0.0,0.0,0.0,0.0,2.0,127583.0,753107.0,49500.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2403,Prince William Juv. Detention Home,510004202403,Yes,932691.0,9.0,688840.0,131893.0,0.0,-9.0,1.0,73204.0,2.0,170647.0,738789.0,0.0,0.0,1.0,73204.0,2.0,170647.0,982640.0,132893.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2476,Virginia Beach Juvenile Detention Home,510004202476,Yes,649225.0,9.0,509828.0,19552.0,0.0,-9.0,0.0,-9.0,2.0,139397.0,575890.0,0.0,0.0,0.0,0.0,2.0,139397.0,715287.0,39552.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2890,N.W.  (Northwestern) Regional Juvenile Detention Home,510004202890,Yes,323673.0,4.0,244468.0,22850.0,0.0,-9.0,0.0,-9.0,1.0,79205.0,304156.0,0.0,0.0,0.0,0.0,1.0,79205.0,383361.0,23850.0
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,2558,Virginia School For Deaf,510005802558,No,1254576.37,14.0,712186.04,72996.66,6.0,175784.0,6.0,269068.33,2.0,97538.0,712186.04,7.0,203156.0,6.5,308370.26,2.0,97538.0,1321250.3,185794.77
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,2559,Virginia School For Blind,510005802559,No,956672.43,11.0,414292.1,47846.69,6.0,175784.0,6.0,269058.33,2.0,97538.0,460341.83,6.0,175784.0,6.5,308370.26,2.0,97538.0,1042034.09,119432.81
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000006,No,978971.0,16.0,733079.0,90910.28,1.0,18086.0,2.0,105710.0,1.0,99666.0,885369.0,1.0,18086.0,20.0,916798.0,1.0,99666.0,1034551.0,90910.28
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,1571973.0,27.0,1245053.0,111458.71,4.0,84660.0,2.0,85363.0,2.0,156897.0,1346398.0,4.0,84660.0,30.0,1379715.0,2.0,156897.0,1621272.0,115884.62
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000009,No,2436516.0,41.0,1903986.0,191965.71,12.0,254716.0,3.0,141926.0,2.0,135887.0,2236301.0,15.0,316587.0,49.0,2275741.0,2.0,135887.0,2814973.0,280678.72
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,12,Pungoteague Elementary,510006000012,No,1712883.0,33.0,1412319.0,123907.65,8.0,166321.0,2.0,92829.0,2.0,153981.0,1750091.0,12.0,244431.0,41.0,1791505.0,2.0,153981.0,2035935.0,167414.02
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,14,Tangier Combined,510006000014,No,587189.0,10.0,501802.0,30780.08,1.0,0.0,10.0,0.0,1.0,85387.0,501802.0,1.0,19579.0,10.0,501802.0,1.0,85387.0,1108570.0,32652.48
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1737,Accawmacke Elementary,510006001737,No,2091737.0,38.0,1696282.0,169935.67,6.0,126723.0,3.0,132168.0,2.0,136564.0,1993892.0,9.0,185555.0,45.0,2039598.0,2.0,136564.0,2361717.0,215662.29
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1738,Metompkin Elementary,510006001738,No,2129072.0,39.0,1673026.0,174484.16,6.0,135415.0,3.0,136578.0,3.0,184053.0,1967989.0,12.0,269440.0,47.0,2009189.0,3.0,184053.0,2462683.0,240908.09
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2003,Nandua High,510006002003,No,2968937.0,51.0,2461659.0,253625.93,5.0,94131.0,5.0,251923.0,2.0,161224.0,2702690.0,6.0,126232.0,57.0,2760853.0,2.0,161224.0,3048309.0,264493.04
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2028,Arcadia High,510006002028,No,2907301.0,49.0,2351862.0,269058.01,3.0,74503.0,5.0,246216.0,3.0,234720.0,2589315.0,4.0,94873.0,55.0,2636867.0,3.0,234720.0,2966460.0,293024.02
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2433,Nandua Middle,510006002433,No,2472753.0,45.0,2087359.0,146048.1,3.0,79308.0,3.0,151998.0,2.0,154088.0,2400772.0,6.0,143902.0,52.0,2432201.0,2.0,154088.0,2730192.0,165168.22
