School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2020-2021,1,Accomack County ,540,Arcadia High,              14
2020-2021,1,Accomack County ,704,Arcadia Middle ,               1
2020-2021,1,Accomack County ,70,Nandua High,              17
2020-2021,1,Accomack County ,703,Nandua Middle,               1
2020-2021,1,Accomack County ,530,Tangier Combined,               1
2020-2021,2,Albemarle County ,880,Albemarle High,              23
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,               3
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,               3
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,               0
2020-2021,2,Albemarle County ,1052,Monticello High,              20
2020-2021,2,Albemarle County ,890,Murray School,               1
2020-2021,2,Albemarle County ,140,Western Albemarle High,               3
2020-2021,101,Alexandria City ,140,Francis C. Hammond Middle,              13
2020-2021,101,Alexandria City ,130,George Washington Middle,               8
2020-2021,101,Alexandria City ,210,T.C. Williams High School,              79
2020-2021,3,Alleghany County ,310,Alleghany High,              13
2020-2021,3,Alleghany County ,1040,Clifton Middle,               0
2020-2021,4,Amelia County ,10,Amelia County High,               7
2020-2021,5,Amherst County ,750,Amherst County High,              14
2020-2021,5,Amherst County ,20,Monelison Middle,               3
2020-2021,6,Appomattox County ,260,Appomattox County High,               5
2020-2021,6,Appomattox County ,160,Appomattox Middle,               1
2020-2021,7,Arlington County ,618,Arlington Community High,               8
2020-2021,7,Arlington County ,611,Gunston Middle,               1
2020-2021,7,Arlington County ,180,Jefferson Middle,               1
2020-2021,7,Arlington County ,500,Kenmore Middle,               3
2020-2021,7,Arlington County ,240,Swanson Middle,               1
2020-2021,7,Arlington County ,450,Wakefield High,              36
2020-2021,7,Arlington County ,80,Washington-Liberty High,              36
2020-2021,7,Arlington County ,330,Yorktown High,              13
2020-2021,8,Augusta County ,660,Buffalo Gap High,               8
2020-2021,8,Augusta County ,670,Fort Defiance High,               3
2020-2021,8,Augusta County ,680,Riverheads High,               3
2020-2021,8,Augusta County ,90,S. Gordon Stewart Middle,               1
2020-2021,8,Augusta County ,730,Stuarts Draft High,               3
2020-2021,8,Augusta County ,60,Stuarts Draft Middle,               1
2020-2021,8,Augusta County ,720,Wilson Memorial High,              13
2020-2021,8,Augusta County ,844,Wilson Middle,               0
2020-2021,10,Bedford County ,1212,Jefferson Forest High,              13
2020-2021,10,Bedford County ,1180,Liberty High,              15
2020-2021,10,Bedford County ,1190,Staunton River High,              15
2020-2021,10,Bedford County ,1191,Staunton River Middle,               1
2020-2021,11,Bland County ,260,Bland County High,               4
2020-2021,12,Botetourt County ,420,Central Academy Middle,               1
2020-2021,12,Botetourt County ,430,James River High,               7
2020-2021,12,Botetourt County ,440,Lord Botetourt High,               4
2020-2021,102,Bristol City ,80,Virginia High,              12
2020-2021,13,Brunswick County ,650,Brunswick High,              15
2020-2021,14,Buchanan County ,1000,Council High ,               1
2020-2021,14,Buchanan County ,990,Grundy High,               2
2020-2021,14,Buchanan County ,1020,Hurley High,               1
2020-2021,15,Buckingham County ,700,Buckingham County High,               3
2020-2021,15,Buckingham County ,721,Buckingham County Middle,               2
2020-2021,103,Buena Vista City ,62,Parry McCluer High School,               8
2020-2021,16,Campbell County ,200,Altavista High,               6
2020-2021,16,Campbell County ,720,Brookville High,              10
2020-2021,16,Campbell County ,222,Rustburg High,               7
2020-2021,16,Campbell County ,211,Rustburg Middle,               1
2020-2021,16,Campbell County ,542,William Campbell High,               1
2020-2021,17,Caroline County ,460,Caroline High,              11
2020-2021,17,Caroline County ,450,Caroline Middle,               5
2020-2021,18,Carroll County ,1230,Carroll County High,               6
2020-2021,18,Carroll County ,450,Carroll County Middle,               1
2020-2021,19,Charles City County ,100,Charles City County High,               4
2020-2021,20,Charlotte County ,460,Randolph-Henry High,               3
2020-2021,104,Charlottesville City ,100,Buford Middle,              10
2020-2021,104,Charlottesville City ,140,Charlottesville High,              24
2020-2021,136,Chesapeake City ,560,Crestwood Middle,               1
2020-2021,136,Chesapeake City ,100,Deep Creek High,              44
2020-2021,136,Chesapeake City ,610,Deep Creek Middle,               5
2020-2021,136,Chesapeake City ,960,Grassfield High,              11
2020-2021,136,Chesapeake City ,120,Great Bridge High,              14
2020-2021,136,Chesapeake City ,590,Great Bridge Middle,               1
2020-2021,136,Chesapeake City ,972,Greenbrier Middle,               4
2020-2021,136,Chesapeake City ,890,Hickory High,               3
2020-2021,136,Chesapeake City ,920,Hugo A. Owens Middle,               1
2020-2021,136,Chesapeake City ,830,Indian River High,              29
2020-2021,136,Chesapeake City ,710,Indian River Middle,               2
2020-2021,136,Chesapeake City ,973,Jolliff Middle,               0
2020-2021,136,Chesapeake City ,80,Oscar F. Smith High,              53
2020-2021,136,Chesapeake City ,10,Oscar Smith Middle,               1
2020-2021,136,Chesapeake City ,840,Western Branch High,              29
2020-2021,136,Chesapeake City ,740,Western Branch Middle,               3
2020-2021,21,Chesterfield County ,631,Bailey Bridge Middle,               1
2020-2021,21,Chesterfield County ,30,Carver College and Career Academy,              49
2020-2021,21,Chesterfield County ,420,Carver Middle,               7
2020-2021,21,Chesterfield County ,740,Clover Hill High,              11
2020-2021,21,Chesterfield County ,840,Cosby High,               3
2020-2021,21,Chesterfield County ,870,Elizabeth Davis Middle,               9
2020-2021,21,Chesterfield County ,670,Falling Creek Middle,              15
2020-2021,21,Chesterfield County ,770,James River High,              31
2020-2021,21,Chesterfield County ,10,Lloyd C. Bird High,              49
2020-2021,21,Chesterfield County ,632,Manchester High,              31
2020-2021,21,Chesterfield County ,600,Manchester Middle,               2
2020-2021,21,Chesterfield County ,530,Matoaca High,              24
2020-2021,21,Chesterfield County ,110,Matoaca Middle,               3
2020-2021,21,Chesterfield County ,580,Meadowbrook High,              99
2020-2021,21,Chesterfield County ,320,Midlothian High,              12
2020-2021,21,Chesterfield County ,280,Monacan High,              13
2020-2021,21,Chesterfield County ,690,Providence Middle,               5
2020-2021,21,Chesterfield County ,760,Robious Middle,               5
2020-2021,21,Chesterfield County ,722,Salem Church Middle,               5
2020-2021,21,Chesterfield County ,610,Thomas Dale High,              39
2020-2021,21,Chesterfield County ,880,Tomahawk Creek Middle,               2
2020-2021,22,Clarke County ,10,Clarke County High,               1
2020-2021,202,Colonial Beach ,21,Colonial Beach High,               1
2020-2021,106,Colonial Heights City ,40,Colonial Heights High,               7
2020-2021,106,Colonial Heights City ,20,Colonial Heights Middle,               3
2020-2021,107,Covington City ,350,Covington High,               1
2020-2021,23,Craig County ,11,Craig County High,               3
2020-2021,24,Culpeper County ,480,Culpeper County High,              26
2020-2021,24,Culpeper County ,20,Culpeper Middle,               3
2020-2021,24,Culpeper County ,50,Eastern View High,              48
2020-2021,24,Culpeper County ,581,Floyd T. Binns Middle,               2
2020-2021,25,Cumberland County ,151,Cumberland High,               8
2020-2021,108,Danville City ,210,George Washington High,              64
2020-2021,108,Danville City ,260,O. Trent Bonner Middle,               3
2020-2021,26,Dickenson County ,275,Ridgeview High,               3
2020-2021,27,Dinwiddie County ,500,Dinwiddie County High,              17
2020-2021,27,Dinwiddie County ,471,Dinwiddie County Middle,               1
2020-2021,28,Essex County ,10,Essex High,               2
2020-2021,28,Essex County ,150,Essex Intermediate,               2
2020-2021,29,Fairfax County ,660,Annandale High,              46
2020-2021,29,Fairfax County ,2201,Bryant High,              79
2020-2021,29,Fairfax County ,2222,Carson Middle,               1
2020-2021,29,Fairfax County ,200,Centreville High,              46
2020-2021,29,Fairfax County ,131,Chantilly High,              17
2020-2021,29,Fairfax County ,1270,Edison High,              21
2020-2021,29,Fairfax County ,190,Fairfax County Adult High,             222
2020-2021,29,Fairfax County ,20,Fairfax High,              33
2020-2021,29,Fairfax County ,1100,Falls Church High,              72
2020-2021,29,Fairfax County ,1170,Glasgow Middle,               8
2020-2021,29,Fairfax County ,1800,Hayfield Secondary,              12
2020-2021,29,Fairfax County ,32,Herndon High,              78
2020-2021,29,Fairfax County ,33,Herndon Middle,               3
2020-2021,29,Fairfax County ,1521,Holmes Middle,               2
2020-2021,29,Fairfax County ,350,Hughes Middle,               3
2020-2021,29,Fairfax County ,1120,Irving Middle,               1
2020-2021,29,Fairfax County ,673,Jackson Middle,               2
2020-2021,29,Fairfax County ,1070,Justice High,             112
2020-2021,29,Fairfax County ,1901,Key Center,               4
2020-2021,29,Fairfax County ,1900,Key Middle,               3
2020-2021,29,Fairfax County ,1760,Kilmer Middle,               4
2020-2021,29,Fairfax County ,90,Lake Braddock Secondary,              12
2020-2021,29,Fairfax County ,1460,Langley High,               3
2020-2021,29,Fairfax County ,1110,Lanier Middle,               3
2020-2021,29,Fairfax County ,1020,Lewis High,              41
2020-2021,29,Fairfax County ,2233,Liberty Middle,               6
2020-2021,29,Fairfax County ,1150,Longfellow Middle,               1
2020-2021,29,Fairfax County ,1060,Madison High,              13
2020-2021,29,Fairfax County ,1290,Marshall High,              27
2020-2021,29,Fairfax County ,790,McLean High,               5
2020-2021,29,Fairfax County ,420,Mount Vernon High,              49
2020-2021,29,Fairfax County ,2211,Mountain View High,              60
2020-2021,29,Fairfax County ,1710,Oakton High,              10
2020-2021,29,Fairfax County ,1130,Poe Middle,               5
2020-2021,29,Fairfax County ,1960,Robinson Secondary,               6
2020-2021,29,Fairfax County ,1300,Sandburg Middle,               3
2020-2021,29,Fairfax County ,2241,South County High,               7
2020-2021,29,Fairfax County ,1990,South Lakes High,              24
2020-2021,29,Fairfax County ,1140,Thoreau Middle,               2
2020-2021,29,Fairfax County ,1160,Twain Middle,               2
2020-2021,29,Fairfax County ,900,West Potomac High,              39
2020-2021,29,Fairfax County ,1610,West Springfield High,               4
2020-2021,29,Fairfax County ,2228,Westfield High,              29
2020-2021,29,Fairfax County ,1550,Whitman Middle,               6
2020-2021,29,Fairfax County ,1260,Woodson High,               9
2020-2021,109,Falls Church City ,251,George Mason High,               5
2020-2021,30,Fauquier County ,701,Fauquier High,              14
2020-2021,30,Fauquier County ,510,Kettle Run High,               7
2020-2021,30,Fauquier County ,851,Liberty High,              11
2020-2021,30,Fauquier County ,10,Marshall Middle,               1
2020-2021,31,Floyd County ,660,Floyd County High,               2
2020-2021,32,Fluvanna County ,260,Fluvanna County High,              21
2020-2021,135,Franklin City ,20,Franklin High,               8
2020-2021,135,Franklin City ,561,Joseph P. King Jr. Middle,               1
2020-2021,33,Franklin County ,31,Benjamin Franklin Middle,               1
2020-2021,33,Franklin County ,1311,Franklin County High,              48
2020-2021,34,Frederick County ,586,Admiral Richard E. Byrd Middle,               3
2020-2021,34,Frederick County ,460,Frederick County Middle,               1
2020-2021,34,Frederick County ,30,James Wood High,              17
2020-2021,34,Frederick County ,420,James Wood Middle,               2
2020-2021,34,Frederick County ,584,Millbrook High,              38
2020-2021,34,Frederick County ,581,Sherando High,              26
2020-2021,110,Fredericksburg City ,40,James Monroe High,              42
2020-2021,110,Fredericksburg City ,273,Walker-Grant Middle,               7
2020-2021,111,Galax City ,31,Galax High,               9
2020-2021,35,Giles County ,461,Giles High,               3
2020-2021,35,Giles County ,470,Narrows High,               1
2020-2021,36,Gloucester County ,260,Gloucester High,              23
2020-2021,36,Gloucester County ,802,Page Middle,               1
2020-2021,36,Gloucester County ,280,Peasley Middle,               2
2020-2021,37,Goochland County ,220,Goochland High,               5
2020-2021,38,Grayson County ,430,Grayson Highlands,               1
2020-2021,39,Greene County ,72,William Monroe High,               8
2020-2021,40,Greensville County ,200,Greensville County High,              11
2020-2021,41,Halifax County ,10,Halifax County High,              30
2020-2021,41,Halifax County ,1480,Halifax County Middle,               1
2020-2021,112,Hampton City ,350,Benjamin Syms Middle,               1
2020-2021,112,Hampton City ,430,Bethel High,               6
2020-2021,112,Hampton City ,450,C. Alton Lindsay Middle,               3
2020-2021,112,Hampton City ,300,Cesar Tarrant Middle,               2
2020-2021,112,Hampton City ,70,Francis W. Jones Magnet Middle,               1
2020-2021,112,Hampton City ,280,Hampton High,              17
2020-2021,112,Hampton City ,640,Hunter B. Andrews,               2
2020-2021,112,Hampton City ,320,Kecoughtan High,               9
2020-2021,112,Hampton City ,50,Phoebus High,               6
2020-2021,42,Hanover County ,62,Atlee High,               2
2020-2021,42,Hanover County ,440,Bell Creek Middle,               1
2020-2021,42,Hanover County ,554,Hanover High,               4
2020-2021,42,Hanover County ,450,Liberty Middle,               3
2020-2021,42,Hanover County ,370,Mechanicsville High,              12
2020-2021,42,Hanover County ,400,Patrick Henry High,              24
2020-2021,113,Harrisonburg City ,12,Harrisonburg High,              61
2020-2021,113,Harrisonburg City ,111,Skyline Middle,               3
2020-2021,113,Harrisonburg City ,80,Thomas Harrison Middle,               1
2020-2021,43,Henrico County ,500,Brookland Middle,              10
2020-2021,43,Henrico County ,160,Deep Run High,              13
2020-2021,43,Henrico County ,410,Douglas S. Freeman High,              55
2020-2021,43,Henrico County ,92,Elko Middle,               3
2020-2021,43,Henrico County ,510,Fairfield Middle,               6
2020-2021,43,Henrico County ,390,George H. Moody Middle,               0
2020-2021,43,Henrico County ,96,Glen Allen High,              12
2020-2021,43,Henrico County ,610,Henrico High,              50
2020-2021,43,Henrico County ,670,Hermitage High,              54
