School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2021-2022,1,Accomack County ,540,Arcadia High,               9
2021-2022,1,Accomack County ,704,Arcadia Middle ,               1
2021-2022,1,Accomack County ,580,Chincoteague High,               1
2021-2022,1,Accomack County ,70,Nandua High,              17
2021-2022,2,Albemarle County ,880,Albemarle High,              31
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,               1
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,               2
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,               2
2021-2022,2,Albemarle County ,1052,Monticello High,              20
2021-2022,2,Albemarle County ,140,Western Albemarle High,               5
2021-2022,101,Alexandria City ,210,Alexandria City High,              78
2021-2022,101,Alexandria City ,140,Francis C. Hammond Middle,               3
2021-2022,101,Alexandria City ,130,George Washington Middle,               3
2021-2022,101,Alexandria City ,50,Patrick Henry K-8 School,               3
2021-2022,3,Alleghany County ,310,Alleghany High,               7
2021-2022,4,Amelia County ,10,Amelia County High,               4
2021-2022,5,Amherst County ,750,Amherst County High,              15
2021-2022,5,Amherst County ,670,Amherst Middle,               2
2021-2022,6,Appomattox County ,260,Appomattox County High,              20
2021-2022,7,Arlington County ,618,Arlington Community High,              15
2021-2022,7,Arlington County ,611,Gunston Middle,               1
2021-2022,7,Arlington County ,180,Jefferson Middle,               4
2021-2022,7,Arlington County ,500,Kenmore Middle,               3
2021-2022,7,Arlington County ,450,Wakefield High,              33
2021-2022,7,Arlington County ,80,Washington-Liberty High,              40
2021-2022,7,Arlington County ,480,Williamsburg Middle,               1
2021-2022,7,Arlington County ,330,Yorktown High,              16
2021-2022,8,Augusta County ,212,Beverley Manor Middle,               2
2021-2022,8,Augusta County ,660,Buffalo Gap High,              11
2021-2022,8,Augusta County ,670,Fort Defiance High,               7
2021-2022,8,Augusta County ,680,Riverheads High,               3
2021-2022,8,Augusta County ,90,S. Gordon Stewart Middle,               1
2021-2022,8,Augusta County ,730,Stuarts Draft High,               4
2021-2022,8,Augusta County ,60,Stuarts Draft Middle,               1
2021-2022,8,Augusta County ,720,Wilson Memorial High,              19
2021-2022,8,Augusta County ,844,Wilson Middle,               4
2021-2022,9,Bath County ,140,Bath County High,               3
2021-2022,10,Bedford County ,1212,Jefferson Forest High,               3
2021-2022,10,Bedford County ,1180,Liberty High,              15
2021-2022,10,Bedford County ,490,Liberty Middle,               1
2021-2022,10,Bedford County ,1190,Staunton River High,              14
2021-2022,10,Bedford County ,1191,Staunton River Middle,               1
2021-2022,11,Bland County ,260,Bland County High,               2
2021-2022,12,Botetourt County ,430,James River High,               4
