School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2022-2023,89,Stafford County ,421,Brooke Point High,              48
2022-2023,89,Stafford County ,424,Colonial Forge High,              22
2022-2023,89,Stafford County ,432,Donald B. Dixon-Lyle R. Smith Middle,               1
2022-2023,89,Stafford County ,10,Edward E. Drew Jr. Middle,               2
2022-2023,89,Stafford County ,430,Mountain View High ,              25
2022-2023,89,Stafford County ,30,North Stafford High,              30
2022-2023,89,Stafford County ,426,Rodney E. Thompson Middle,               5
2022-2023,89,Stafford County ,440,Shirley C. Heim Middle,               5
2022-2023,89,Stafford County ,112,Stafford Middle,              10
2022-2023,89,Stafford County ,20,Stafford Senior High,              23
2022-2023,89,Stafford County ,162,T. Benton Gayle Middle,               1
2022-2023,126,Staunton City ,110,Shelburne Middle,               1
2022-2023,126,Staunton City ,30,Staunton High,               8
2022-2023,127,Suffolk City ,397,Colonel Fred Cherry Middle,               1
2022-2023,127,Suffolk City ,390,Forest Glen Middle,               2
2022-2023,127,Suffolk City ,370,John F. Kennedy Middle,               3
2022-2023,127,Suffolk City ,380,John Yeates Middle,               2
2022-2023,127,Suffolk City ,395,King's Fork High,              73
2022-2023,127,Suffolk City ,393,King's Fork Middle,              16
2022-2023,127,Suffolk City ,300,Lakeland High,              57
2022-2023,127,Suffolk City ,240,Nansemond River High,              28
2022-2023,91,Sussex County ,340,Sussex Central High,              18
2022-2023,92,Tazewell County ,940,Graham High,               9
2022-2023,92,Tazewell County ,10,Graham Middle,               1
2022-2023,92,Tazewell County ,821,Richlands High,               7
2022-2023,92,Tazewell County ,823,Richlands Middle,               0
2022-2023,92,Tazewell County ,890,Tazewell High,               3
2022-2023,92,Tazewell County ,100,Tazewell Middle,               1
2022-2023,128,Virginia Beach City ,530,Bayside High,              20
2022-2023,128,Virginia Beach City ,700,Bayside Middle,               7
2022-2023,128,Virginia Beach City ,790,Brandon Middle,               3
2022-2023,128,Virginia Beach City ,980,Corporate Landing Middle,               1
2022-2023,128,Virginia Beach City ,610,First Colonial High,              21
2022-2023,128,Virginia Beach City ,440,Floyd Kellam High,               5
2022-2023,128,Virginia Beach City ,30,Frank W. Cox High,              16
2022-2023,128,Virginia Beach City ,1050,Green Run Collegiate,               2
2022-2023,128,Virginia Beach City ,10,Green Run High,              18
2022-2023,128,Virginia Beach City ,740,Independence Middle,               1
2022-2023,128,Virginia Beach City ,620,Kempsville High,              26
2022-2023,128,Virginia Beach City ,690,Kempsville Middle,               2
2022-2023,128,Virginia Beach City ,1030,Landstown High,              45
2022-2023,128,Virginia Beach City ,931,Landstown Middle,               0
2022-2023,128,Virginia Beach City ,970,Larkspur Middle,               8
2022-2023,128,Virginia Beach City ,730,Lynnhaven Middle,               6
2022-2023,128,Virginia Beach City ,960,Ocean Lakes High,              13
2022-2023,128,Virginia Beach City ,640,Plaza Middle,               2
2022-2023,128,Virginia Beach City ,321,Princess Anne High,              16
2022-2023,128,Virginia Beach City ,850,Salem High,              11
2022-2023,128,Virginia Beach City ,920,Tallwood High,              13
2022-2023,128,Virginia Beach City ,140,Virginia Beach Middle,               4
2022-2023,93,Warren County ,250,Skyline High,              13
2022-2023,93,Warren County ,260,Skyline Middle,               2
2022-2023,93,Warren County ,230,Warren County High,              11
2022-2023,93,Warren County ,280,Warren County Middle,               2
2022-2023,94,Washington County ,1030,Abingdon High,               8
2022-2023,94,Washington County ,40,Damascus Middle,               1
2022-2023,94,Washington County ,1110,E.B. Stanley Middle,               6
2022-2023,94,Washington County ,1060,Holston High,               5
2022-2023,94,Washington County ,1040,John S. Battle High,               3
2022-2023,94,Washington County ,1050,Patrick Henry High,               2
2022-2023,94,Washington County ,620,Wallace Middle,               2
2022-2023,130,Waynesboro City ,640,Kate Collins Middle ,               1
2022-2023,130,Waynesboro City ,600,Waynesboro High ,              21
2022-2023,207,West Point ,290,West Point Middle/High,               3
2022-2023,95,Westmoreland County ,120,Westmoreland High,               4
2022-2023,131,Williamsburg-James City County ,25,James Blair Middle,               1
2022-2023,131,Williamsburg-James City County ,202,Jamestown High,               9
2022-2023,131,Williamsburg-James City County ,90,Lafayette High,              13
2022-2023,131,Williamsburg-James City County ,204,Warhill High,               5
2022-2023,132,Winchester City ,70,Daniel Morgan Middle,               2
2022-2023,132,Winchester City ,40,John Handley High,              26
2022-2023,96,Wise County ,1000,Central High,               2
2022-2023,96,Wise County ,651,Coeburn Middle,               1
2022-2023,96,Wise County ,652,Eastside High,               4
2022-2023,96,Wise County ,1010,Union High,               2
2022-2023,97,Wythe County ,721,George Wythe High,               4
2022-2023,97,Wythe County ,202,Rural Retreat High,               2
2022-2023,97,Wythe County ,1075,Scott Memorial Middle,               2
2022-2023,98,York County ,20,Bruton High,               8
2022-2023,98,York County ,332,Grafton High,               4
2022-2023,98,York County ,200,Queens Lake Middle,               2
2022-2023,98,York County ,230,Tabb High,               3
2022-2023,98,York County ,30,York High,               9
2022-2023,98,York County ,60,Yorktown Middle,               0
