School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2022-2023,21,Chesterfield County ,870,Elizabeth Davis Middle,               8
2022-2023,21,Chesterfield County ,670,Falling Creek Middle,               9
2022-2023,21,Chesterfield County ,770,James River High,              50
2022-2023,21,Chesterfield County ,10,Lloyd C. Bird High,              57
2022-2023,21,Chesterfield County ,632,Manchester High,              41
2022-2023,21,Chesterfield County ,600,Manchester Middle,               7
2022-2023,21,Chesterfield County ,530,Matoaca High,              22
2022-2023,21,Chesterfield County ,110,Matoaca Middle,               5
2022-2023,21,Chesterfield County ,580,Meadowbrook High,              67
2022-2023,21,Chesterfield County ,320,Midlothian High,              17
2022-2023,21,Chesterfield County ,280,Monacan High,              28
2022-2023,21,Chesterfield County ,690,Providence Middle,               6
2022-2023,21,Chesterfield County ,722,Salem Church Middle,               6
2022-2023,21,Chesterfield County ,270,Swift Creek Middle,               4
2022-2023,21,Chesterfield County ,610,Thomas Dale High,              53
2022-2023,22,Clarke County ,10,Clarke County High,               1
2022-2023,202,Colonial Beach ,21,Colonial Beach High,               2
2022-2023,106,Colonial Heights City ,40,Colonial Heights High,              26
2022-2023,106,Colonial Heights City ,20,Colonial Heights Middle,               2
2022-2023,23,Craig County ,11,Craig County High,               9
2022-2023,24,Culpeper County ,480,Culpeper County High,              48
2022-2023,24,Culpeper County ,20,Culpeper Middle,               2
2022-2023,24,Culpeper County ,50,Eastern View High,              56
2022-2023,24,Culpeper County ,581,Floyd T. Binns Middle,               4
2022-2023,25,Cumberland County ,151,Cumberland High,               3
2022-2023,108,Danville City ,1374,Galileo Magnet High,               1
2022-2023,108,Danville City ,210,George Washington High,             105
2022-2023,108,Danville City ,260,O. Trent Bonner Middle,               6
2022-2023,108,Danville City ,139,R.I.S.E Academy at the John M. Langston Campus,               6
2022-2023,108,Danville City ,1372,Westwood Middle,               5
2022-2023,26,Dickenson County ,275,Ridgeview High,              14
2022-2023,26,Dickenson County ,280,Ridgeview Middle,               1
2022-2023,27,Dinwiddie County ,500,Dinwiddie County High,              32
2022-2023,27,Dinwiddie County ,471,Dinwiddie County Middle,               5
2022-2023,28,Essex County ,10,Essex High,               1
2022-2023,29,Fairfax County ,660,Annandale High,              63
2022-2023,29,Fairfax County ,2201,Bryant High,              68
2022-2023,29,Fairfax County ,2222,Carson Middle,               2
2022-2023,29,Fairfax County ,200,Centreville High,              43
2022-2023,29,Fairfax County ,131,Chantilly High,              21
2022-2023,29,Fairfax County ,1190,Cooper Middle,               1
2022-2023,29,Fairfax County ,1270,Edison High,              35
2022-2023,29,Fairfax County ,190,Fairfax County Adult High,             199
2022-2023,29,Fairfax County ,20,Fairfax High,              30
2022-2023,29,Fairfax County ,1100,Falls Church High,              76
2022-2023,29,Fairfax County ,1170,Glasgow Middle,               7
2022-2023,29,Fairfax County ,1800,Hayfield Secondary,               9
2022-2023,29,Fairfax County ,32,Herndon High,              72
2022-2023,29,Fairfax County ,33,Herndon Middle,               4
2022-2023,29,Fairfax County ,1521,Holmes Middle,               2
2022-2023,29,Fairfax County ,1120,Irving Middle,               1
2022-2023,29,Fairfax County ,673,Jackson Middle,               6
2022-2023,29,Fairfax County ,1110,Johnson Middle,               2
2022-2023,29,Fairfax County ,1070,Justice High,              85
2022-2023,29,Fairfax County ,1900,Key Middle,               5
2022-2023,29,Fairfax County ,1761,Kilmer Center,               3
2022-2023,29,Fairfax County ,1760,Kilmer Middle,               3
2022-2023,29,Fairfax County ,90,Lake Braddock Secondary,              12
2022-2023,29,Fairfax County ,1460,Langley High,               3
2022-2023,29,Fairfax County ,1020,Lewis High,              24
2022-2023,29,Fairfax County ,2233,Liberty Middle,               3
2022-2023,29,Fairfax County ,1060,Madison High,               5
2022-2023,29,Fairfax County ,1290,Marshall High,              23
2022-2023,29,Fairfax County ,790,McLean High,               9
2022-2023,29,Fairfax County ,420,Mount Vernon High,              34
2022-2023,29,Fairfax County ,2211,Mountain View High,              66
2022-2023,29,Fairfax County ,1710,Oakton High,              18
2022-2023,29,Fairfax County ,1130,Poe Middle,               4
2022-2023,29,Fairfax County ,1960,Robinson Secondary,               8
2022-2023,29,Fairfax County ,300,Rocky Run Middle,               1
2022-2023,29,Fairfax County ,1300,Sandburg Middle,               5
2022-2023,29,Fairfax County ,2241,South County High,              10
2022-2023,29,Fairfax County ,1990,South Lakes High,              22
2022-2023,29,Fairfax County ,2070,Stone Middle,               1
2022-2023,29,Fairfax County ,1140,Thoreau Middle,               3
2022-2023,29,Fairfax County ,1160,Twain Middle,               4
