School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2019-2020,29,Fairfax County ,2233,Liberty Middle,               1
2019-2020,29,Fairfax County ,1150,Longfellow Middle,               3
2019-2020,29,Fairfax County ,1060,Madison High,               9
2019-2020,29,Fairfax County ,1290,Marshall High,              20
2019-2020,29,Fairfax County ,790,McLean High,               8
2019-2020,29,Fairfax County ,420,Mount Vernon High,              47
2019-2020,29,Fairfax County ,2211,Mountain View High,              66
2019-2020,29,Fairfax County ,1710,Oakton High,              10
2019-2020,29,Fairfax County ,1130,Poe Middle,               3
2019-2020,29,Fairfax County ,1960,Robinson Secondary,               4
2019-2020,29,Fairfax County ,300,Rocky Run Middle,               2
2019-2020,29,Fairfax County ,1300,Sandburg Middle,               8
2019-2020,29,Fairfax County ,2241,South County High,               7
2019-2020,29,Fairfax County ,2420,South County Middle,               1
2019-2020,29,Fairfax County ,1990,South Lakes High,              25
2019-2020,29,Fairfax County ,1140,Thoreau Middle,               1
2019-2020,29,Fairfax County ,1160,Twain Middle,               3
2019-2020,29,Fairfax County ,900,West Potomac High,              37
2019-2020,29,Fairfax County ,1610,West Springfield High,               5
2019-2020,29,Fairfax County ,2228,Westfield High,              22
2019-2020,29,Fairfax County ,1550,Whitman Middle,              13
2019-2020,29,Fairfax County ,1260,Woodson High,              16
2019-2020,109,Falls Church City ,251,George Mason High,               8
2019-2020,30,Fauquier County ,701,Fauquier High,               3
2019-2020,30,Fauquier County ,510,Kettle Run High,               3
2019-2020,30,Fauquier County ,851,Liberty High,              12
2019-2020,30,Fauquier County ,660,Warrenton Middle,               1
2019-2020,31,Floyd County ,660,Floyd County High,               1
2019-2020,32,Fluvanna County ,260,Fluvanna County High,               4
2019-2020,32,Fluvanna County ,320,Fluvanna Middle,               1
2019-2020,135,Franklin City ,20,Franklin High,               5
2019-2020,33,Franklin County ,1311,Franklin County High,              34
2019-2020,33,Franklin County ,1481,Gereau Center for Applied Technology & Career Exploration,               2
2019-2020,34,Frederick County ,30,James Wood High,               5
2019-2020,34,Frederick County ,420,James Wood Middle,               3
2019-2020,34,Frederick County ,584,Millbrook High,              24
2019-2020,34,Frederick County ,480,Robert E. Aylor Middle,               1
2019-2020,34,Frederick County ,581,Sherando High,              20
2019-2020,110,Fredericksburg City ,40,James Monroe High,              31
2019-2020,110,Fredericksburg City ,273,Walker-Grant Middle,               1
2019-2020,111,Galax City ,31,Galax High,               4
2019-2020,35,Giles County ,461,Giles High,              11
2019-2020,35,Giles County ,470,Narrows High,               6
2019-2020,36,Gloucester County ,260,Gloucester High,              18
2019-2020,36,Gloucester County ,802,Page Middle,               2
2019-2020,37,Goochland County ,220,Goochland High,               2
2019-2020,39,Greene County ,72,William Monroe High,              20
2019-2020,40,Greensville County ,190,Edward W. Wyatt Middle,               1
2019-2020,40,Greensville County ,200,Greensville County High,              14
2019-2020,41,Halifax County ,10,Halifax County High,              23
2019-2020,41,Halifax County ,1480,Halifax County Middle,               1
2019-2020,112,Hampton City ,350,Benjamin Syms Middle,               1
2019-2020,112,Hampton City ,430,Bethel High,              19
2019-2020,112,Hampton City ,450,C. Alton Lindsay Middle,               4
2019-2020,112,Hampton City ,300,Cesar Tarrant Middle,               4
2019-2020,112,Hampton City ,280,Hampton High,              19
2019-2020,112,Hampton City ,640,Hunter B. Andrews,               1
2019-2020,112,Hampton City ,320,Kecoughtan High,               8
2019-2020,112,Hampton City ,50,Phoebus High,              16
2019-2020,112,Hampton City ,380,Thomas Eaton Middle,               1
2019-2020,42,Hanover County ,62,Atlee High,               8
2019-2020,42,Hanover County ,61,Chickahominy Middle,               1
2019-2020,42,Hanover County ,554,Hanover High,               5
2019-2020,42,Hanover County ,370,Lee Davis High,              14
2019-2020,42,Hanover County ,450,Liberty Middle,               1
2019-2020,42,Hanover County ,553,Oak Knoll Middle,               1
2019-2020,42,Hanover County ,400,Patrick Henry High,              23
2019-2020,113,Harrisonburg City ,12,Harrisonburg High,              60
2019-2020,113,Harrisonburg City ,111,Skyline Middle,               2
2019-2020,113,Harrisonburg City ,80,Thomas Harrison Middle,               2
2019-2020,43,Henrico County ,500,Brookland Middle,               5
2019-2020,43,Henrico County ,160,Deep Run High,               4
2019-2020,43,Henrico County ,410,Douglas S. Freeman High,              24
2019-2020,43,Henrico County ,92,Elko Middle,               7
2019-2020,43,Henrico County ,510,Fairfield Middle,               3
2019-2020,43,Henrico County ,390,George H. Moody Middle,               6
2019-2020,43,Henrico County ,96,Glen Allen High,               9
2019-2020,43,Henrico County ,610,Henrico High,              46
2019-2020,43,Henrico County ,670,Hermitage High,              60
2019-2020,43,Henrico County ,190,Highland Springs High,              76
2019-2020,43,Henrico County ,100,Hungary Creek Middle ,               1
2019-2020,43,Henrico County ,600,John Randolph Tucker High,              59
