LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FIREARM_IND,SCH_HOMICIDE_IND,SCH_OFFENSE_RAPE,SCH_OFFENSE_BATT,SCH_OFFENSE_ROBWW,SCH_OFFENSE_ROBWX,SCH_OFFENSE_ROBWOW,SCH_OFFENSE_ATTWW,SCH_OFFENSE_ATTWX,SCH_OFFENSE_ATTWOW,SCH_OFFENSE_THRWW,SCH_OFFENSE_THRWX,SCH_OFFENSE_THRWOW,SCH_OFFENSE_POSSWX
HI,HAWAII,1500030,Hawaii Department of Education,40,Keaau Middle School,150003000040,No,No,No,0,4,0,0,0,0,0,0,0,0,8,0
HI,HAWAII,1500030,Hawaii Department of Education,41,Kealakehe Elementary School,150003000041,No,No,No,0,1,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,42,Keaukaha Elementary School,150003000042,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000043,No,No,No,0,1,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,44,Konawaena Elementary School,150003000044,No,No,No,0,1,0,0,0,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,No,No,0,0,0,0,0,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,46,Laupahoehoe Community - PCS,150003000046,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,47,Mountain View Elementary School,150003000047,No,No,No,0,0,0,0,0,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,48,Naalehu Elementary School,150003000048,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,49,Paauilo Elementary & Intermediate School,150003000049,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,50,Pahoa High & Intermediate School,150003000050,No,No,No,0,1,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,51,Waiakea Elementary School,150003000051,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,52,Waiakea High School,150003000052,No,No,No,0,0,0,0,0,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,53,Waiakea Intermediate School,150003000053,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,54,Waiakeawaena Elementary School,150003000054,No,No,No,0,1,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,55,Waimea Elementary School,150003000055,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,56,Henry Perrine Baldwin High School,150003000056,No,No,No,0,0,0,0,0,0,0,0,0,0,8,0
HI,HAWAII,1500030,Hawaii Department of Education,57,Haiku Elementary School,150003000057,No,No,No,0,1,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,58,Hana High & Elementary School,150003000058,No,No,No,0,0,0,0,0,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,59,Iao Intermediate School,150003000059,No,No,No,0,0,0,0,0,0,0,0,0,1,6,0
HI,HAWAII,1500030,Hawaii Department of Education,60,Kahului Elementary School,150003000060,No,No,No,0,4,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,61,King Kamehameha III Elementary School,150003000061,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,62,Kaunakakai Elementary School,150003000062,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,64,Kihei Elementary School,150003000064,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,65,Kilohana Elementary School,150003000065,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,66,Kualapuu School - Public Conversion Charter,150003000066,No,No,No,0,0,0,0,0,0,0,0,0,0,5,0
HI,HAWAII,1500030,Hawaii Department of Education,67,Kula Elementary School,150003000067,No,No,No,0,0,0,0,0,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,68,Lahaina Intermediate School,150003000068,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,69,Lahainaluna High School,150003000069,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,70,Lanai High & Elementary School,150003000070,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,71,Lihikai Elementary School,150003000071,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,72,Makawao Elementary School,150003000072,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,73,Maui High School,150003000073,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,74,Maunaloa Elementary School,150003000074,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,75,Molokai High School,150003000075,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,76,Paia Elementary School,150003000076,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,77,Pukalani Elementary School,150003000077,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,79,Waihee Elementary School,150003000079,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,80,Wailuku Elementary School,150003000080,No,No,No,0,2,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,81,Eleele Elementary School,150003000081,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,82,Hanalei Elementary School,150003000082,No,No,No,0,0,0,0,0,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,83,Kalaheo Elementary School,150003000083,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,84,Kapaa Elementary School,150003000084,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,85,Kapaa High School,150003000085,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,86,Kauai High School,150003000086,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,88,Kekaha Elementary School,150003000088,No,No,No,0,11,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,89,Kilauea Elementary School,150003000089,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,90,Koloa Elementary School,150003000090,No,No,No,0,0,0,0,0,0,0,0,0,0,4,0
HI,HAWAII,1500030,Hawaii Department of Education,91,Niihau High & Elementary School,150003000091,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,92,Waimea Canyon Middle School,150003000092,No,No,No,0,0,0,0,0,0,0,0,0,0,4,0
HI,HAWAII,1500030,Hawaii Department of Education,93,Waimea High School,150003000093,No,No,No,0,1,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,94,Elsie H Wilcox Elementary School,150003000094,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,96,Hawaii School for the Deaf and Blind,150003000096,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,98,Olomana School,150003000098,Yes,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,99,Mililani Mauka Elementary School,150003000099,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,100,Castle High School,150003000100,No,No,No,0,0,0,0,0,0,0,0,0,0,8,0
HI,HAWAII,1500030,Hawaii Department of Education,101,Aikahi Elementary School,150003000101,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,102,Mililani High School,150003000102,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,103,Moanalua High School,150003000103,No,No,No,0,2,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,104,Moanalua Elementary School,150003000104,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,105,Mililani Waena Elementary School,150003000105,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,106,Mililani Uka Elementary School,150003000106,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,107,Makalapa Elementary School,150003000107,No,No,No,0,0,0,0,0,0,0,0,0,0,4,0
HI,HAWAII,1500030,Hawaii Department of Education,108,Leilehua High School,150003000108,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,109,Waiau Elementary School,150003000109,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,110,Waianae High School,150003000110,No,No,No,0,1,0,0,2,0,0,0,0,0,14,0
HI,HAWAII,1500030,Hawaii Department of Education,111,Waianae Elementary School,150003000111,No,No,No,0,1,0,0,0,0,0,0,0,0,13,0
HI,HAWAII,1500030,Hawaii Department of Education,112,Pohakea Elementary School,150003000112,No,No,No,0,0,0,0,0,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,113,Pearl City Highlands School,150003000113,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,114,Pearl City High School,150003000114,No,No,No,0,0,0,0,0,0,0,0,0,0,5,0
HI,HAWAII,1500030,Hawaii Department of Education,115,Pearl City Elementary School,150003000115,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,116,Palisades Elementary School,150003000116,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,117,Nanakuli High & Intermediate School,150003000117,No,No,No,0,2,0,0,0,0,0,0,1,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,118,Nanakuli Elementary School,150003000118,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,119,Nanaikapono Elementary School,150003000119,No,No,No,0,1,0,0,0,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,120,Momilani Elementary School,150003000120,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,121,Mauka Lani Elementary School,150003000121,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,122,Manana Elementary School,150003000122,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
