LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
TX,TEXAS,4800009,WIMBERLEY ISD,6198,WIMBERLEY H S,480000906198,No,3963578.59,53.88,2625218.22,438060.02,7.0,99392.23,5.0,171004.03,4.0,292051.0,2664292.94,7.5,108517.83,5.0,171004.03,4.0,292051.0,4043319.71,447032.41
TX,TEXAS,4800009,WIMBERLEY ISD,6499,SCUDDER PRI,480000906499,No,1573043.41,23.0,1108128.26,96862.45,13.0,226650.42,3.0,75321.2,2.0,113321.0,1167323.26,13.0,232713.71,3.0,75321.2,2.0,144960.0,1679859.11,102305.39
TX,TEXAS,4800009,WIMBERLEY ISD,7342,DANFORTH J H,480000907342,No,2316081.1,36.5,1783126.75,145778.72,4.0,56836.9,2.0,52749.5,2.0,146188.0,1880560.0,8.0,127797.3,2.0,52749.5,2.0,146188.0,2485399.75,146878.72
TX,TEXAS,4800010,HAYS CISD,5244,JACK C HAYS H S,480001005244,No,8883644.0,126.78,6694587.0,1282048.41,3.74,81416.0,19.0,1492618.0,7.0,615023.0,7457653.0,13.08,293308.0,19.0,1545328.0,7.0,615023.0,9911312.0,1291164.02
TX,TEXAS,4800010,HAYS CISD,5245,KYLE EL,480001005245,No,2490663.0,39.89,2086136.0,102459.87,0.93,20547.0,4.0,228308.0,2.0,155672.0,2450776.0,6.86,131747.0,4.0,228308.0,2.0,155672.0,2966503.0,107354.44
TX,TEXAS,4800010,HAYS CISD,6199,R C BARTON MIDDLE,480001006199,No,2312668.0,32.32,1745978.0,189506.29,1.0,17892.0,5.0,295536.0,3.0,253262.0,1948608.0,5.0,101071.0,5.0,295536.0,3.0,253262.0,2598477.0,189506.29
TX,TEXAS,4800010,HAYS CISD,6346,TOM GREEN EL,480001006346,No,2490663.0,39.89,2086136.0,94610.09,0.93,20547.0,4.0,228308.0,2.0,155672.0,2450776.0,6.86,131747.0,4.0,228308.0,2.0,155672.0,2966503.0,150577.57
TX,TEXAS,4800010,HAYS CISD,7343,BUDA EL,480001007343,No,2064674.0,31.75,1642092.0,78641.27,0.93,20547.0,4.0,245784.0,2.0,156251.0,2130132.0,14.55,296271.0,4.0,245784.0,2.0,156251.0,2828438.0,101069.56
TX,TEXAS,4800010,HAYS CISD,8835,LIVE OAK ACADEMY,480001008835,No,849406.0,10.68,562705.0,33032.9,0.9,19683.0,1.0,96584.0,2.0,170434.0,610555.0,0.9,19683.0,1.5,96584.0,2.0,170434.0,897256.0,33032.9
TX,TEXAS,4800010,HAYS CISD,8836,ERIC DAHLSTROM MIDDLE,480001008836,No,2495368.0,41.0,2040941.0,239338.35,1.0,17563.0,3.43,190105.0,3.0,246759.0,2289981.0,3.0,52794.0,3.43,190105.0,3.0,246759.0,2779639.0,239338.35
TX,TEXAS,4800010,HAYS CISD,8837,LAURA B WALLACE MIDDLE,480001008837,No,2588218.0,41.8,2043491.0,231434.07,0.87,25238.0,5.0,291092.0,3.0,228397.0,2439121.0,4.62,99257.0,5.0,291092.0,3.0,228397.0,3057867.0,251792.55
TX,TEXAS,4800010,HAYS CISD,8838,ELM GROVE EL,480001008838,No,2064674.0,31.75,1642092.0,116380.62,0.93,20547.0,4.0,245784.0,2.0,156251.0,2130132.0,14.55,296271.0,4.0,245784.0,2.0,156251.0,2828438.0,116380.62
TX,TEXAS,4800010,HAYS CISD,8839,SUSIE FUENTES EL,480001008839,No,2359608.0,35.53,1948901.0,87144.53,0.97,17049.0,3.74,228489.0,2.0,165169.0,2364049.0,8.97,175896.0,3.74,228489.0,2.0,165169.0,2933603.0,103406.97
TX,TEXAS,4800010,HAYS CISD,8840,HEMPHILL EL,480001008840,No,2839262.0,44.87,2285587.0,117224.43,2.67,59671.0,5.0,279004.0,3.0,215000.0,2789667.0,9.35,193619.0,6.0,337488.0,3.0,215000.0,3535774.0,320741.9
TX,TEXAS,4800010,HAYS CISD,9290,TOBIAS EL,480001009290,No,2454128.0,40.99,2074720.0,105371.97,0.93,21052.0,4.0,222692.0,2.0,135664.0,2460365.0,9.93,180855.0,4.0,222692.0,2.0,135664.0,2999576.0,110411.37
TX,TEXAS,4800010,HAYS CISD,9624,LEHMAN H S,480001009624,No,8235585.0,124.31,6373360.0,1427789.88,0.93,15659.0,15.09,1245732.0,8.0,600834.0,7278561.0,9.74,199596.0,15.09,1245732.0,8.0,600834.0,9324723.0,1456582.31
TX,TEXAS,4800010,HAYS CISD,10804,ARMANDO CHAPA MIDDLE,480001010804,No,2585881.0,42.63,2015384.0,271538.58,1.0,19762.0,6.0,310676.0,3.0,240059.0,2412954.0,4.89,101209.0,6.0,338882.0,3.0,240059.0,3093104.0,318249.76
TX,TEXAS,4800010,HAYS CISD,10805,D J RED SIMON MIDDLE,480001010805,No,2599763.0,41.45,2041154.0,250404.6,1.0,19358.0,5.0,291449.0,3.0,247802.0,2505948.0,8.77,173151.0,6.0,343438.0,3.0,247802.0,3270339.0,254047.2
TX,TEXAS,4800010,HAYS CISD,10806,LAURA B NEGLEY EL,480001010806,No,2658809.0,42.33,2200347.0,85964.86,2.93,62436.0,4.0,238711.0,2.0,157315.0,2617177.0,14.9,296901.0,4.0,238711.0,2.0,157315.0,3310104.0,85964.86
