LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000029,No,80.0,78.0,2.0,2.0,1.0,80.0,77.0,42.0,6.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,30,Hilo Intermediate School,150003000030,No,35.0,34.0,1.0,1.0,1.0,35.0,33.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,31,Hilo Union Elementary School,150003000031,No,32.0,32.0,0.0,3.0,1.0,32.0,29.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,32,Holualoa Elementary School,150003000032,No,26.0,25.0,1.0,3.0,2.0,26.0,22.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,33,Honaunau Elementary School,150003000033,No,12.5,12.5,0.0,1.0,1.0,14.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,45.0,40.0,5.0,3.0,5.0,45.0,42.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,35,Hookena Elementary School,150003000035,No,8.0,5.0,3.0,4.0,0.0,11.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000036,No,27.0,25.0,2.0,2.0,1.0,27.0,25.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,37,Chiefess Kapiolani Elementary School,150003000037,No,26.0,26.0,0.0,2.0,0.0,26.0,24.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,38,Kau High & Pahala Elementary School,150003000038,No,44.0,36.0,8.0,10.0,6.0,44.0,34.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,39,Kaumana Elementary School,150003000039,No,19.0,19.0,0.0,1.0,0.0,19.0,18.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,40,Keaau Middle School,150003000040,No,52.0,51.0,1.0,3.0,1.0,52.0,49.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,41,Kealakehe Elementary School,150003000041,No,70.5,65.0,5.5,11.5,5.0,72.0,58.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,42,Keaukaha Elementary School,150003000042,No,32.0,32.0,0.0,1.0,1.0,32.0,31.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000043,No,21.0,20.5,0.5,0.0,2.5,22.0,21.0,14.5,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,44,Konawaena Elementary School,150003000044,No,37.0,36.0,1.0,2.0,3.0,37.0,35.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,54.0,43.0,11.0,10.0,6.0,54.0,44.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,46,Laupahoehoe Community - PCS,150003000046,No,46.5,40.5,6.0,3.0,3.0,25.0,19.0,12.0,1.0,0.0,0.0,0.75,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,47,Mountain View Elementary School,150003000047,No,36.0,35.0,1.0,1.0,5.0,36.0,35.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,48,Naalehu Elementary School,150003000048,No,29.0,27.0,2.0,7.0,1.0,29.0,22.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,49,Paauilo Elementary & Intermediate School,150003000049,No,15.0,14.0,1.0,3.0,1.0,15.0,11.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,50,Pahoa High & Intermediate School,150003000050,No,34.0,34.0,0.0,0.0,2.0,34.0,33.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,51,Waiakea Elementary School,150003000051,No,60.0,59.0,1.0,6.0,0.0,60.0,54.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,52,Waiakea High School,150003000052,No,82.0,82.0,0.0,6.0,2.0,82.0,76.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,53,Waiakea Intermediate School,150003000053,No,57.0,56.0,1.0,4.0,1.0,57.0,53.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,54,Waiakeawaena Elementary School,150003000054,No,48.0,48.0,0.0,1.0,1.0,48.0,46.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,55,Waimea Elementary School,150003000055,No,36.5,34.5,2.0,4.0,0.0,37.0,32.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,56,Henry Perrine Baldwin High School,150003000056,No,78.0,75.0,3.0,4.0,6.0,78.0,71.0,43.0,7.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,57,Haiku Elementary School,150003000057,No,33.0,32.0,1.0,4.0,4.0,33.0,28.0,19.0,0.5,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,58,Hana High & Elementary School,150003000058,No,30.0,29.0,1.0,0.0,4.0,30.0,30.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,59,Iao Intermediate School,150003000059,No,61.0,55.0,6.0,5.0,6.0,61.0,55.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,60,Kahului Elementary School,150003000060,No,64.0,56.0,8.0,9.0,9.0,65.0,56.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,61,King Kamehameha III Elementary School,150003000061,No,48.0,44.0,4.0,5.0,4.0,48.0,43.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,62,Kaunakakai Elementary School,150003000062,No,21.0,21.0,0.0,0.0,1.0,21.0,21.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,64,Kihei Elementary School,150003000064,No,59.0,57.0,2.0,8.0,6.0,59.0,50.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,65,Kilohana Elementary School,150003000065,No,8.0,8.0,0.0,1.0,1.0,8.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,66,Kualapuu School - Public Conversion Charter,150003000066,No,22.5,21.0,1.5,4.0,0.0,22.0,17.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,67,Kula Elementary School,150003000067,No,33.0,31.0,2.0,4.0,1.0,33.0,28.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,68,Lahaina Intermediate School,150003000068,No,45.0,41.0,4.0,9.0,4.0,45.0,35.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,69,Lahainaluna High School,150003000069,No,62.0,57.0,5.0,4.0,3.0,62.0,57.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,70,Lanai High & Elementary School,150003000070,No,46.0,40.0,6.0,4.0,7.0,46.0,42.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,71,Lihikai Elementary School,150003000071,No,57.0,56.0,1.0,2.0,3.0,57.0,55.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,72,Makawao Elementary School,150003000072,No,40.0,40.0,0.0,4.0,1.0,40.0,36.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,73,Maui High School,150003000073,No,122.0,117.0,5.0,4.0,7.0,122.0,112.0,75.0,10.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,74,Maunaloa Elementary School,150003000074,No,6.0,6.0,0.0,1.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,75,Molokai High School,150003000075,No,24.0,22.0,2.0,1.0,0.0,24.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,76,Paia Elementary School,150003000076,No,21.5,21.5,0.0,0.0,2.0,22.0,20.0,13.5,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,77,Pukalani Elementary School,150003000077,No,31.0,27.0,4.0,4.0,5.0,31.0,26.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0
