LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_PSENR_NONIDEA_A3,SCH_PSENR_NONIDEA_A4,SCH_PSENR_NONIDEA_A5,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_504_M,SCH_ENR_504_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_LEPENR_HI_M,SCH_LEPENR_HI_F,SCH_LEPENR_AM_M,SCH_LEPENR_AM_F,SCH_LEPENR_AS_M,SCH_LEPENR_AS_F,SCH_LEPENR_HP_M,SCH_LEPENR_HP_F,SCH_LEPENR_BL_M,SCH_LEPENR_BL_F,SCH_LEPENR_WH_M,SCH_LEPENR_WH_F,SCH_LEPENR_TR_M,SCH_LEPENR_TR_F,TOT_LEPENR_M,TOT_LEPENR_F,SCH_LEPPROGENR_HI_M,SCH_LEPPROGENR_HI_F,SCH_LEPPROGENR_AM_M,SCH_LEPPROGENR_AM_F,SCH_LEPPROGENR_AS_M,SCH_LEPPROGENR_AS_F,SCH_LEPPROGENR_HP_M,SCH_LEPPROGENR_HP_F,SCH_LEPPROGENR_BL_M,SCH_LEPPROGENR_BL_F,SCH_LEPPROGENR_WH_M,SCH_LEPPROGENR_WH_F,SCH_LEPPROGENR_TR_M,SCH_LEPPROGENR_TR_F,TOT_LEPPROGENR_M,TOT_LEPPROGENR_F,SCH_LEPPROGENR_IDEA_M,SCH_LEPPROGENR_IDEA_F,SCH_IDEAENR_HI_M,SCH_IDEAENR_HI_F,SCH_IDEAENR_AM_M,SCH_IDEAENR_AM_F,SCH_IDEAENR_AS_M,SCH_IDEAENR_AS_F,SCH_IDEAENR_HP_M,SCH_IDEAENR_HP_F,SCH_IDEAENR_BL_M,SCH_IDEAENR_BL_F,SCH_IDEAENR_WH_M,SCH_IDEAENR_WH_F,SCH_IDEAENR_TR_M,SCH_IDEAENR_TR_F,TOT_IDEAENR_M,TOT_IDEAENR_F,SCH_IDEAENR_LEP_M,SCH_IDEAENR_LEP_F,SCH_504ENR_HI_M,SCH_504ENR_HI_F,SCH_504ENR_AM_M,SCH_504ENR_AM_F,SCH_504ENR_AS_M,SCH_504ENR_AS_F,SCH_504ENR_HP_M,SCH_504ENR_HP_F,SCH_504ENR_BL_M,SCH_504ENR_BL_F,SCH_504ENR_WH_M,SCH_504ENR_WH_F,SCH_504ENR_TR_M,SCH_504ENR_TR_F,TOT_504ENR_M,TOT_504ENR_F,SCH_504ENR_LEP_M,SCH_504ENR_LEP_F
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000011,No,No,Yes,Yes,2,0,0,0,1,0,3,0,0,0,2,1,0,0,8,1,0,0,8,1,25,33,0,1,25,12,41,40,1,3,86,108,32,38,210,235,8,10,6,3,34,10,2,2,0,0,3,0,0,2,0,0,3,3,0,3,8,10,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,3,2,0,0,4,0,13,3,0,1,10,3,4,1,34,10,0,0,0,1,0,0,1,0,1,0,0,0,3,2,1,0,6,3,0,0
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,59,65,1,1,40,34,83,74,7,9,160,166,51,58,401,407,30,24,21,28,56,20,6,9,0,0,12,5,4,4,2,0,5,1,1,5,30,24,3,1,0,0,3,2,1,1,1,0,1,0,0,0,9,4,0,0,6,2,0,0,4,2,19,5,0,1,20,6,7,4,56,20,0,0,0,3,0,0,2,0,0,9,3,0,13,14,3,2,21,28,0,0
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,No,Yes,Yes,0,0,0,0,2,0,0,0,0,0,0,1,1,1,3,2,0,0,2,2,60,62,0,0,61,50,87,78,1,0,15,12,98,93,322,295,14,11,12,5,33,18,2,1,0,0,6,7,3,2,0,0,0,0,3,1,14,11,2,2,0,0,3,4,0,2,0,0,0,0,0,0,5,8,0,1,5,5,0,0,3,3,13,4,1,0,2,1,9,5,33,18,0,1,1,0,0,0,3,1,1,2,0,0,1,0,6,2,12,5,0,0
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,No,Yes,Yes,0,0,0,0,1,1,2,2,0,0,0,0,2,0,5,3,0,0,5,3,69,56,0,0,38,52,91,86,0,0,11,7,69,82,278,283,21,14,5,3,40,24,8,2,0,0,4,5,6,5,0,0,0,0,3,2,21,14,3,0,0,0,2,0,2,1,0,0,0,0,1,0,8,1,3,0,11,5,0,0,6,2,11,13,0,0,1,0,11,4,40,24,3,0,2,0,0,0,1,0,1,1,0,0,0,0,1,2,5,3,0,0
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,No,Yes,Yes,0,0,0,0,0,0,2,0,0,0,1,1,1,0,4,1,0,0,4,1,14,12,0,0,9,10,21,18,0,0,7,3,17,13,68,56,5,9,0,1,12,5,1,1,0,0,4,8,0,0,0,0,0,0,0,0,5,9,0,2,0,0,2,3,0,0,0,0,0,0,0,0,2,5,0,1,1,2,0,0,0,0,5,2,0,0,2,1,4,0,12,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,30,31,0,1,83,67,133,155,0,0,27,38,23,27,296,319,23,21,16,12,59,32,1,1,0,0,10,13,9,5,0,0,3,0,0,2,23,21,0,0,0,0,6,2,1,1,0,0,0,0,0,0,7,3,4,0,9,5,0,0,8,4,30,21,0,0,7,0,5,2,59,32,4,0,1,2,0,0,2,2,10,6,0,0,2,1,1,1,16,12,0,0
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,No,Yes,Yes,0,0,0,0,0,0,4,2,0,0,3,1,6,3,13,6,1,0,13,6,23,22,0,0,10,10,132,142,0,0,76,53,104,97,345,324,27,23,7,3,54,17,0,5,0,0,7,5,14,9,0,0,1,1,5,3,27,23,0,1,0,0,4,4,9,2,0,0,0,0,1,2,14,9,3,0,1,2,0,0,1,0,23,8,0,0,10,3,19,4,54,17,2,0,1,1,0,0,0,0,2,0,0,0,3,0,1,2,7,3,0,0
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,13,18,0,0,3,2,13,10,0,0,105,93,41,30,175,153,9,5,5,5,13,9,0,0,0,0,0,1,0,0,0,0,8,2,1,2,9,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,11,6,0,1,13,9,0,0,0,2,0,0,0,0,0,0,0,0,5,3,0,0,5,5,0,0
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,No,Yes,Yes,3,0,0,0,1,0,0,1,0,0,0,0,1,0,5,1,2,0,3,1,45,24,0,0,23,21,46,56,3,2,27,25,45,27,189,155,12,10,6,2,30,10,2,1,0,0,4,1,1,2,1,2,0,1,4,3,12,10,1,0,0,0,0,3,1,0,0,1,0,0,2,0,4,4,2,0,8,2,0,0,5,2,6,5,1,0,3,0,7,1,30,10,2,0,1,0,0,0,1,0,0,1,0,0,1,1,3,0,6,2,0,0
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,No,Yes,Yes,5,3,0,0,0,0,0,0,2,0,12,3,0,0,19,6,2,0,19,6,147,124,0,1,8,15,4,5,29,26,266,208,24,23,478,402,31,21,17,13,71,29,25,7,0,0,3,6,1,1,1,2,1,4,0,1,31,21,13,1,0,0,2,2,1,1,1,1,0,0,0,1,17,6,6,0,17,13,0,0,1,0,0,0,7,1,42,14,4,1,71,29,6,0,8,3,0,0,0,1,0,0,2,0,7,8,0,1,17,13,0,0
